CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
517;27;401;L;3;0;G322;36;265;54;1031;;4
517;27;472;L;3;0;G322;36;315;41;1031;;4
517;27;116;L;3;0;;311;393;288;89;;4
517;27;117;L;3;0;;312;288;79;89;;4
517;27;118;L;3;0;;313;79;97;89;;4
517;27;119;L;3;0;;314;97;393;89;;4
517;27;61;L;3;0;G75;263;494;267;115;;4
517;27;68;L;3;0;G75;263;19;20;115;;4
517;27;1016;L;3;0;;112;10;82;1205;;4
517;27;1020;L;3;0;;112;478;245;1205;;4
517;27;79;L;3;0;;358;29;267;120;;4
517;27;112;L;3;0;;358;288;355;120;;4
517;27;1115;L;3;0;;156;62;134;1118;;4
517;27;803;L;3;0;;156;68;163;1118;;4
517;27;788;L;3;0;;196;134;68;787;;4
517;27;791;L;3;0;;196;471;117;787;;4
