CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
518;28;2448;518;28;2454
518;28;2454;518;28;2458
518;28;2458;518;28;2448
518;28;2452;518;28;2456
518;28;2456;518;28;2460
518;28;2460;518;28;2452
518;28;77;518;28;3381
518;28;3381;518;28;77
518;28;27;518;28;78
518;28;78;518;28;224
518;28;224;518;28;27
518;28;3571;518;28;3573
518;28;3573;518;28;3571
518;28;712;518;28;1405
518;28;1405;518;28;2092
518;28;2092;518;28;712
518;28;28;518;28;227
518;28;227;518;28;299
518;28;299;518;28;28
518;28;228;518;28;831
518;28;831;518;28;3610
518;28;3610;518;28;228
518;28;29;518;28;231
518;28;231;518;28;932
518;28;932;518;28;29
518;28;22;518;28;30
518;28;30;518;28;234
518;28;234;518;28;2093
518;28;2093;518;28;22
518;28;31;518;28;2088
518;28;2088;518;28;31
518;28;32;518;28;237
518;28;237;518;28;368
518;28;368;518;28;32
518;28;33;518;28;354
518;28;354;518;28;2089
518;28;2089;518;28;33
518;28;34;518;28;146
518;28;146;518;28;34
518;28;36;518;28;249
518;28;249;518;28;3386
518;28;3386;518;28;36
518;28;225;518;28;786
518;28;786;518;28;225
518;28;233;518;28;468
518;28;468;518;28;233
518;28;3498;518;28;3574
518;28;3574;518;28;3498
518;28;240;518;28;1710
518;28;1710;518;28;240
518;28;256;518;28;258
518;28;258;518;28;3284
518;28;3284;518;28;3389
518;28;3389;518;28;3391
518;28;3391;518;28;256
518;28;38;518;28;106
518;28;106;518;28;259
518;28;259;518;28;423
518;28;423;518;28;38
518;28;260;518;28;1200
518;28;1200;518;28;260
518;28;163;518;28;165
518;28;165;518;28;263
518;28;263;518;28;163
518;28;39;518;28;57
518;28;57;518;28;39
518;28;83;518;28;612
518;28;612;518;28;614
518;28;614;518;28;83
518;28;84;518;28;113
518;28;113;518;28;575
518;28;575;518;28;84
518;28;85;518;28;587
518;28;587;518;28;85
518;28;86;518;28;557
518;28;557;518;28;86
518;28;88;518;28;265
518;28;265;518;28;88
518;28;90;518;28;513
518;28;513;518;28;90
518;28;37;518;28;67
518;28;67;518;28;251
518;28;251;518;28;253
518;28;253;518;28;407
518;28;407;518;28;409
518;28;409;518;28;3388
518;28;3388;518;28;37
518;28;255;518;28;1142
518;28;1142;518;28;255
518;28;248;518;28;377
518;28;377;518;28;480
518;28;480;518;28;248
518;28;697;518;28;2123
518;28;2123;518;28;697
518;28;72;518;28;765
518;28;765;518;28;72
518;28;73;518;28;2133
