CID;LID;NID;NAME;NCOMMENT
518;1;1852;亚洲;
518;1;1853;中国;
518;1;3283;广东省;
518;1;3284;深圳市;
518;1;5186;１０号干线;
518;1;5182;香港;
518;1;5187;１０号干线深圳出入口;
518;1;1920;Ｇ１０７;
518;1;1928;北环大道;
518;1;3716;北环大道Ｇ１０７入口匝道;
518;1;3701;北环大道南侧;
518;1;4318;北环大道南侧Ｇ１０７入口匝道;
518;1;3666;北环大道西侧;
518;1;3715;北环大道西侧Ｇ１０７入口匝道;
518;1;2347;宝安大道;
518;1;4759;广深公路;
518;1;1953;深南大道;
518;1;3208;泥岗西路;
518;1;1892;南海大道;
518;1;3218;科苑大道;
518;1;2761;沙河东路;
518;1;1881;南坪快速路;
518;1;4998;深云村出口;
518;1;3298;福龙路;
518;1;1883;新洲路;
518;1;1884;彩田路;
518;1;1885;皇岗路;
518;1;3411;金湖路;
518;1;1882;北环大道辅路;
518;1;5315;深圳南北环立交;
518;1;2982;三号路;
518;1;2070;南山大道;
518;1;2071;艺园路;
518;1;2074;铜鼓路;
518;1;2571;沙河西路;
518;1;2077;龙珠四路;
518;1;2078;侨香路;
518;1;3250;香梅路;
518;1;3251;景田路;
518;1;3253;梅村路;
518;1;3254;中康路;
518;1;3255;凯丰路;
518;1;1890;布心路;
518;1;2090;洪湖西路;
518;1;2012;沙湾路;
518;1;2249;文锦北路;
518;1;2092;翠竹路;
518;1;2093;东昌路;
518;1;2094;东晓路;
518;1;4731;沿河北路;
518;1;3307;布吉路;
518;1;4710;东黎街（莞长路）;
518;1;1933;新安二路;
518;1;1977;创业二路;
518;1;1935;新安五路;
518;1;1936;西乡大道;
518;1;1937;航城大道;
518;1;2107;洲石公路;
518;1;5312;凯成二路;
518;1;1939;机场二道;
518;1;1940;机场道;
518;1;1941;怀德南路;
518;1;4708;翠岗西路;
518;1;1944;福永大道;
518;1;1945;凤凰路;
518;1;1946;凤塘大道;
518;1;4709;兴业一路;
518;1;1949;创新路;
518;1;3340;新沙路;
518;1;5314;新桥立交桥;
518;1;3299;芙蓉西路;
518;1;3300;东方大道;
518;1;2374;沙江路;
518;1;2084;泥岗东路;
518;1;5321;红岭路;
518;1;2934;宝岗路;
518;1;3211;笋岗西路;
518;1;3131;八卦路;
518;1;3022;深南东路;
518;1;2005;爱国路;
518;1;2009;怡景路;
518;1;2022;黄贝路;
518;1;3646;沿河南路;
518;1;2941;人民南路;
518;1;3116;南湖路;
518;1;3118;江背路;
518;1;3123;东门南路;
518;1;2038;新安路;
518;1;3126;文锦南路;
518;1;3019;北斗路;
518;1;4948;沈海高速公路;
518;1;3279;横安路;
518;1;4793;人民四路;
518;1;1856;外环路;
518;1;3528;南浦路;
518;1;4958;京港澳高速公路;
518;1;3269;南光高速公路;
518;1;1980;松白公路;
518;1;5459;羊台山工业路;
518;1;1869;龙大高速公路;
518;1;1870;观澜大道;
518;1;4959;珠三角环线高速公路;
518;1;3581;平新北路;
518;1;3529;丹平路;
518;1;5180;排榜立交;
518;1;3641;荷坳服务区;
518;1;4738;深惠路;
518;1;3286;深汕公路;
518;1;4951;长深高速公路;
518;1;3289;丹梓中路;
518;1;5143;Ｓ３５８;
518;1;5322;百鸽路;
518;1;3573;吉政路;
518;1;1960;布沙路;
518;1;3578;布澜路;
518;1;3312;丹沙路;
518;1;5144;埔厦路;
518;1;5135;力嘉路;
518;1;5136;保安街;
518;1;5323;如意路;
518;1;5324;龙城大道;
518;1;5139;龙岗路;
518;1;2774;丰田路;
518;1;5140;吉祥一路;
518;1;5141;教育中路;
518;1;5325;富坪路;
518;1;3288;坪梓路;
518;1;5419;盐排高速公路;
518;1;5460;坤达服务区;
518;1;3290;水官高速公路;
518;1;3306;盐坝高速公路;
518;1;5418;梧桐山大道;
518;1;3567;福田南路;
518;1;2726;洪浪南路;
518;1;2057;益田路;
518;1;2170;国花路;
518;1;1876;清平高速公路;
518;1;2239;红岗路;
518;1;2363;西环路;
518;1;5463;出入口;
518;1;5151;坪辉路;
518;1;5227;盛宝路;
518;1;3492;龙翔大道;
518;1;3653;布龙收费站;
518;1;3292;红棉四路;
518;1;5266;罗沙路;
518;1;4918;西乡路;
518;1;4742;恩上公路;
518;1;3272;深盐路;
518;1;4973;洪安路;
518;1;5428;东海道;
518;1;3273;环梅路;
518;1;4812;Ｓ３６０;
518;1;3275;溪坪路;
518;1;4811;深葵公路;
518;1;4813;坪癸公路;
518;1;1976;宝石公路;
518;1;4779;根玉路;
518;1;4939;北环路;
518;1;4739;人民路;
