CID;LID;NID;NTRANSLATION
518;2;1852;ya zhou
518;3;1852;Asia
518;2;1853;zhong guo
518;3;1853;China
518;2;3283;guang dong sheng
518;3;3283;GUANGDONG
518;2;3284;shen zhen shi
518;3;3284;Shenzhen
518;2;5186;10 hao gan xian
518;3;5186;Route 10
518;2;5182;xiang gang
518;3;5182;Hong Kong
518;2;5187;10 hao gan xian shen zhen chu ru kou
518;3;5187;Route 10 Shenzhen Exit and Extrance Ramp
518;2;1920;G107
518;3;1920;G107
518;2;1928;bei huan da dao
518;3;1928;Beihuan Blvd
518;2;3716;bei huan da dao G107 ru kou za dao
518;3;3716;Beihuan Blvd G107 Entrance Ramp
518;2;3701;bei huan da dao nan ce
518;3;3701;Beihuan Blvd S
518;2;4318;bei huan da dao nan ce G107 ru kou za dao
518;3;4318;Beihuan Blvd S G107 Entrance Ramp
518;2;3666;bei huan da dao xi ce
518;3;3666;Beihuan Blvd W
518;2;3715;bei huan da dao xi ce G107 ru kou za dao
518;3;3715;Beihuan Blvd W G107 Entrance Ramp
518;2;2347;bao an da dao
518;3;2347;Baoan Blvd
518;2;4759;guang shen gong lu
518;3;4759;Guangshen Hwy
518;2;1953;shen nan da dao
518;3;1953;Shennan Blvd
518;2;3208;ni gang xi lu
518;3;3208;Nigang West Rd
518;2;1892;nan hai da dao
518;3;1892;Nanhai Blvd
518;2;3218;ke yuan da dao
518;3;3218;Keyuan Blvd
518;2;2761;sha he dong lu
518;3;2761;Shahe East Rd
518;2;1881;nan ping kuai su lu
518;3;1881;Nanping Expy
518;2;4998;shen yun cun chu kou
518;3;4998;Shenyun Village Exit Ramp
518;2;3298;fu long lu
518;3;3298;Fulong Rd
518;2;1883;xin zhou lu
518;3;1883;Xinzhou Rd
518;2;1884;cai tian lu
518;3;1884;Caitian Rd
518;2;1885;huang gang lu
518;3;1885;Huanggang Rd
518;2;3411;jin hu lu
518;3;3411;Jinhu Rd
518;2;1882;bei huan da dao fu lu
518;3;1882;Beihuan Blvd Side Rd
518;2;5315;shen zhen nan bei huan li jiao
518;3;5315;Shenzhennanbeihuan Jct
518;2;2982;san hao lu
518;3;2982;Sanhao Rd
518;2;2070;nan shan da dao
518;3;2070;Nanshan Blvd
518;2;2071;yi yuan lu
518;3;2071;Yiyuan Rd
518;2;2074;tong gu lu
518;3;2074;Tonggu Rd
518;2;2571;sha he xi lu
518;3;2571;Shahe Rd W
518;2;2077;long zhu si lu
518;3;2077;Longzhu 4th Rd
518;2;2078;qiao xiang lu
518;3;2078;Qiaoxiang Rd
518;2;3250;xiang mei lu
