CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
518;28;3408;;3409
518;28;3409;3408;
518;28;2448;;
518;28;2452;;
518;28;2454;;
518;28;77;;103
518;28;103;77;78
518;28;78;103;3573
518;28;3573;78;
518;28;1405;;27
518;28;27;1405;28
518;28;28;27;3610
518;28;3610;28;29
518;28;29;3610;30
518;28;30;29;3218
518;28;3218;30;31
518;28;31;3218;32
518;28;32;31;33
518;28;33;32;34
518;28;34;33;35
518;28;35;34;36
518;28;36;35;
518;28;224;;225
518;28;225;224;226
518;28;226;225;227
518;28;227;226;228
518;28;228;227;229
518;28;229;228;230
518;28;230;229;231
518;28;231;230;232
518;28;232;231;233
518;28;233;232;234
518;28;234;233;3574
518;28;3574;234;
518;28;2088;;235
518;28;235;2088;236
518;28;236;235;237
518;28;237;236;238
518;28;238;237;239
518;28;239;238;240
518;28;240;239;2089
518;28;2089;240;
518;28;258;;259
518;28;259;258;260
518;28;260;259;261
518;28;261;260;262
518;28;262;261;263
518;28;263;262;
518;28;3391;;38
518;28;38;3391;39
518;28;39;38;
518;28;3571;;83
518;28;83;3571;84
518;28;84;83;85
518;28;85;84;86
518;28;86;85;87
518;28;87;86;88
518;28;88;87;104
518;28;104;88;89
518;28;89;104;90
518;28;90;89;91
518;28;91;90;92
518;28;92;91;94
518;28;94;92;95
518;28;95;94;96
518;28;96;95;97
518;28;97;96;99
518;28;99;97;100
518;28;100;99;102
518;28;102;100;1499
518;28;1499;102;1500
518;28;1500;1499;1501
518;28;1501;1500;1502
518;28;1502;1501;
518;28;253;;255
518;28;255;253;256
518;28;256;255;
518;28;3388;;3389
518;28;3389;3388;
518;28;3386;;37
518;28;37;3386;
518;28;248;;249
518;28;249;248;250
518;28;250;249;251
518;28;251;250;
518;28;3604;;193
518;28;193;3604;194
518;28;194;193;195
518;28;195;194;
518;28;3395;;57
518;28;57;3395;
518;28;185;;186
518;28;186;185;187
518;28;187;186;188
518;28;188;187;189
518;28;189;188;190
518;28;190;189;191
518;28;191;190;192
518;28;192;191;
518;28;3393;;55
518;28;55;3393;56
518;28;56;55;
518;28;1458;;5
518;28;5;1458;6
518;28;6;5;7
518;28;7;6;16
518;28;16;7;1498
518;28;1498;16;17
518;28;17;1498;3606
518;28;3606;17;18
518;28;18;3606;19
518;28;19;18;20
518;28;20;19;3008
518;28;3008;20;1459
518;28;1459;3008;1460
518;28;1460;1459;2104
518;28;2104;1460;1461
518;28;1461;2104;1465
518;28;1465;1461;1469
518;28;1469;1465;1470
518;28;1470;1469;1471
518;28;1471;1470;
518;28;106;;3383
518;28;3383;106;
518;28;107;;108
518;28;108;107;109
518;28;109;108;110
518;28;110;109;1524
518;28;1524;110;1525
518;28;1525;1524;1526
518;28;1526;1525;1527
518;28;1527;1526;1528
518;28;1528;1527;1529
518;28;1529;1528;1530
518;28;1530;1529;1531
518;28;1531;1530;1532
518;28;1532;1531;1533
518;28;1533;1532;1534
518;28;1534;1533;1535
518;28;1535;1534;1536
518;28;1536;1535;1537
518;28;1537;1536;1538
518;28;1538;1537;2109
518;28;2109;1538;
518;28;1466;;1467
518;28;1467;1466;
518;28;1479;;3607
518;28;3607;1479;1480
518;28;1480;3607;1481
518;28;1481;1480;1482
518;28;1482;1481;
518;28;3322;;3323
518;28;3323;3322;3605
518;28;3605;3323;
518;28;8;;9
518;28;9;8;2994
518;28;2994;9;10
518;28;10;2994;11
518;28;11;10;12
518;28;12;11;2991
518;28;2991;12;13
518;28;13;2991;14
518;28;14;13;
518;28;67;;68
518;28;68;67;1431
518;28;1431;68;3608
518;28;3608;1431;69
518;28;69;3608;
518;28;2292;;3454
518;28;3454;2292;
518;28;2293;;2294
518;28;2294;2293;2295
518;28;2295;2294;
518;28;1473;;2413
518;28;2413;1473;3360
518;28;3360;2413;1475
518;28;1475;3360;1476
518;28;1476;1475;1477
518;28;1477;1476;2095
518;28;2095;1477;
518;28;2415;;2416
518;28;2416;2415;2417
518;28;2417;2416;3192
518;28;3192;2417;1452
518;28;1452;3192;1453
518;28;1453;1452;1454
518;28;1454;1453;1455
518;28;1455;1454;1456
518;28;1456;1455;1457
518;28;1457;1456;3169
518;28;3169;1457;
518;28;1447;;2993
518;28;2993;1447;1448
518;28;1448;2993;2406
518;28;2406;1448;1449
518;28;1449;2406;2407
518;28;2407;1449;1450
518;28;1450;2407;
518;28;3066;;3067
