CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
518;28;3408;P;1;13;;5186;5182;;3;;;3407;1;1;1;1;1;1;;;+11395905;+2247463;0;0
518;28;3409;P;1;3;;5186;5187;;3;;;3407;1;1;1;1;1;1;;;+11395085;+2249111;0;0
518;28;2448;P;4;0;;;3716;;3;;;2447;;;;;;;;;+11391197;+2254926;0;1
518;28;2452;P;4;0;;;4318;;3;;;2451;;;;;;;;;+11391326;+2254703;0;1
518;28;2454;P;4;0;;;3715;;3;;;2453;;;;;;;;;+11391154;+2254766;0;1
518;28;77;P;1;10;;1920;2347;;3;;;3572;1;1;1;1;1;1;;;+11391463;+2254165;0;1
518;28;103;P;1;10;;1920;1953;;3;;;3572;1;1;1;1;1;1;;;+11391450;+2254505;0;1
518;28;78;P;1;3;;1920;1928;;3;;;3572;1;1;1;1;1;1;;;+11391293;+2254819;0;1
518;28;3573;P;1;12;;1920;4759;;3;;;3572;1;1;1;1;1;1;;;+11390958;+2255324;0;1
518;28;1405;P;1;3;;1928;2347;;3;;;26;1;1;1;1;1;1;;;+11390938;+2254157;0;1
518;28;27;P;1;3;;1928;1920;;3;;;26;1;1;1;1;1;1;;;+11391293;+2254819;0;1
518;28;28;P;1;3;;1928;1892;;3;;;26;1;1;1;1;1;1;;;+11393349;+2255217;0;1
518;28;3610;P;1;10;;1928;3218;;3;;;26;1;1;1;1;1;1;;;+11394530;+2255226;0;1
518;28;29;P;1;3;;1928;2761;;3;;;26;1;1;1;1;1;1;;;+11396671;+2255378;0;1
518;28;30;P;1;1;;1928;1881;;3;;;26;1;1;1;1;1;1;;;+11398821;+2255547;0;0
518;28;3218;P;1;3;;1928;4998;;3;;;26;1;1;1;1;1;1;;;+11399843;+2255428;0;0
518;28;31;P;1;1;;1928;3298;;3;;;26;1;1;1;1;1;1;;;+11401995;+2255735;0;1
518;28;32;P;1;3;;1928;1883;;3;;;26;1;1;1;1;1;1;;;+11404512;+2256077;0;1
518;28;33;P;1;3;;1928;1884;;3;;;26;1;1;1;1;1;1;;;+11406738;+2256554;0;1
518;28;34;P;1;3;;1928;1885;;3;;;26;1;1;1;1;1;1;;;+11407269;+2256632;0;1
518;28;35;P;1;3;;1928;3411;;3;;;26;1;1;1;1;1;1;;;+11408777;+2256915;0;1
518;28;36;P;1;3;;1928;3208;;3;;;26;1;1;1;1;1;1;;;+11409241;+2256411;0;1
518;28;224;P;1;3;;1882;5315;;3;;223;;1;1;1;1;1;1;;;+11391293;+2254819;0;1
518;28;225;P;1;7;;1882;2070;;3;;223;;1;1;1;1;1;1;;;+11392324;+2255262;0;1
518;28;226;P;1;12;;1882;2071;;3;;223;;1;1;1;1;1;1;;;+11392806;+2255240;0;1
518;28;227;P;1;6;;1882;1892;;3;;223;;1;1;1;1;1;1;;;+11393349;+2255217;0;1
518;28;228;P;1;10;;1882;3218;;3;;223;;1;1;1;1;1;1;;;+11394530;+2255226;0;1
518;28;229;P;1;12;;1882;2074;;3;;223;;1;1;1;1;1;1;;;+11395327;+2255287;0;1
518;28;230;P;1;6;;1882;2571;;3;;223;;1;1;1;1;1;1;;;+11395725;+2255327;0;1
518;28;231;P;1;6;;1882;2761;;3;;223;;1;1;1;1;1;1;;;+11396671;+2255378;0;1
518;28;232;P;1;12;;1882;2077;;3;;223;;1;1;1;1;1;1;;;+11397157;+2255457;0;1
518;28;233;P;1;3;;1882;2078;;3;;223;;1;1;1;1;1;1;;;+11397498;+2255442;0;1
518;28;234;P;1;3;;1882;1881;;3;;223;;1;1;1;1;1;1;;;+11398821;+2255547;0;0
518;28;3574;P;1;3;;1882;2982;;3;;223;;1;1;1;1;1;1;;;+11399721;+2255448;2088;0
518;28;2088;P;1;3;;1882;3298;;3;;1434;;1;1;1;1;1;1;;;+11401995;+2255735;3574;1
518;28;235;P;1;6;;1882;3250;;3;;1434;;1;1;1;1;1;1;;;+11403012;+2255807;0;1
518;28;236;P;1;12;;1882;3251;;3;;1434;;1;1;1;1;1;1;;;+11403791;+2255947;0;1
518;28;237;P;1;6;;1882;1883;;3;;1434;;1;1;1;1;1;1;;;+11404512;+2256077;0;1
518;28;238;P;1;12;;1882;3253;;3;;1434;;1;1;1;1;1;1;;;+11405389;+2256231;0;1
518;28;239;P;1;12;;1882;3254;;3;;1434;;1;1;1;1;1;1;;;+11405926;+2256230;0;1
518;28;240;P;1;12;;1882;3255;;3;;1434;;1;1;1;1;1;1;;;+11406382;+2256434;0;1
518;28;2089;P;1;3;;1882;1884;;3;;1434;;1;1;1;1;1;1;;;+11406738;+2256554;0;1
518;28;258;P;1;6;;1890;2090;;3;;;257;1;1;1;1;1;1;;;+11411853;+2257389;0;1
518;28;259;P;1;6;;1890;2249;;3;;;257;1;1;1;1;1;1;;;+11412188;+2257392;0;1
518;28;260;P;1;6;;1890;2092;;3;;;257;1;1;1;1;1;1;;;+11412814;+2257404;0;1
518;28;261;P;1;12;;1890;2093;;3;;;257;1;1;1;1;1;1;;;+11413564;+2257508;0;1
518;28;262;P;1;12;;1890;2094;;3;;;257;1;1;1;1;1;1;;;+11413746;+2257454;0;1
518;28;263;P;1;10;;1890;2012;;3;;;257;1;1;1;1;1;1;;;+11414395;+2257224;0;1
518;28;3391;P;1;7;;1890;2090;;3;;;3390;1;1;1;1;1;1;;;+11411853;+2257389;0;1
518;28;38;P;1;3;;1890;3307;;3;;;3390;1;1;1;1;1;1;;;+11412188;+2257392;0;1
518;28;39;P;1;3;;1890;4731;;3;;;3390;1;1;1;1;1;1;;;+11413913;+2257398;0;1
518;28;3571;P;1;12;;4759;1920;;3;;;70;1;1;1;1;1;1;;;+11390958;+2255324;0;1
518;28;83;P;1;7;;4759;1933;;3;;;70;1;1;1;1;1;1;;;+11390615;+2255664;0;1
518;28;84;P;1;7;;4759;1977;;3;;;70;1;1;1;1;1;1;;;+11389778;+2256370;0;1
518;28;85;P;1;7;;4759;1935;;3;;;70;1;1;1;1;1;1;;;+11388680;+2257439;0;1
518;28;86;P;1;7;;4759;1936;;3;;;70;1;1;1;1;1;1;;;+11387698;+2258463;0;1
518;28;87;P;1;6;;4759;1937;;3;;;70;1;1;1;1;1;1;;;+11385951;+2260968;0;1
518;28;88;P;1;7;;4759;2107;;3;;;70;1;1;1;1;1;1;;;+11385654;+2261524;0;1
518;28;104;P;1;10;;4759;5312;;3;;;70;1;1;1;1;1;1;;;+11384501;+2263087;0;1
518;28;89;P;1;10;;4759;1939;;3;;;70;1;1;1;1;1;1;;;+11383522;+2264183;0;1
518;28;90;P;1;7;;4759;1940;;3;;;70;1;1;1;1;1;1;;;+11383172;+2264657;0;1
518;28;91;P;1;6;;4759;1941;;3;;;70;1;1;1;1;1;1;;;+11382717;+2265559;0;1
518;28;92;P;1;6;;4759;4708;;3;;;70;1;1;1;1;1;1;;;+11382867;+2266594;0;1
518;28;94;P;1;6;;4759;1944;;3;;;70;1;1;1;1;1;1;;;+11382871;+2267442;0;1
518;28;95;P;1;6;;4759;1945;;3;;;70;1;1;1;1;1;1;;;+11383227;+2268678;0;1
518;28;96;P;1;7;;4759;1946;;3;;;70;1;1;1;1;1;1;;;+11383286;+2269319;0;1
518;28;97;P;1;6;;4759;4709;;3;;;70;1;1;1;1;1;1;;;+11383321;+2270345;0;1
518;28;99;P;1;6;;4759;1949;;3;;;70;1;1;1;1;1;1;;;+11383883;+2271813;0;1
518;28;100;P;1;7;;4759;3340;;3;;;70;1;1;1;1;1;1;;;+11384154;+2272476;0;1
518;28;102;P;1;7;;4759;5314;;3;;;70;1;1;1;1;1;1;;;+11384482;+2273352;0;1
518;28;1499;P;1;6;;4759;3299;;3;;;70;1;1;1;1;1;1;;;+11384773;+2274492;0;1
518;28;1500;P;1;6;;4759;3300;;3;;;70;1;1;1;1;1;1;;;+11384995;+2276171;0;1
518;28;1501;P;1;6;;4759;2374;;3;;;70;1;1;1;1;1;1;;;+11384190;+2277608;0;1
518;28;1502;P;1;12;;4759;4710;;3;;;70;1;1;1;1;1;1;;;+11382747;+2279964;0;0
518;28;253;P;1;7;;2084;5321;;3;;;252;1;1;1;1;1;1;;;+11410415;+2256741;0;1
518;28;255;P;1;7;;2084;2934;;3;;;252;1;1;1;1;1;1;;;+11411186;+2257196;0;1
518;28;256;P;1;7;;2084;2090;;3;;;252;1;1;1;1;1;1;;;+11411853;+2257389;0;1
518;28;3388;P;1;1;;2084;5321;;3;;;3387;1;1;1;1;1;1;;;+11410415;+2256741;0;1
518;28;3389;P;1;7;;2084;2090;;3;;;3387;1;1;1;1;1;1;;;+11411853;+2257389;0;1
518;28;3386;P;1;3;;3208;1928;;3;;;3385;1;1;1;1;1;1;;;+11409241;+2256411;0;1
