CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
518;28;3407;L;1;1;10;5186;5182;5187;3;
518;28;2447;L;7;0;;;1920;1928;3;
518;28;2451;L;7;0;;;1920;3701;3;
518;28;2453;L;7;0;;;1920;3666;3;
518;28;3572;L;1;2;G107;1920;2347;4759;3;
518;28;26;L;1;1;G107;1928;2347;3208;3;
518;28;3611;L;1;2;G107;1882;5315;1884;3;
518;28;257;L;1;2;G107;1890;2090;2012;3;
518;28;3390;L;1;1;G107;1890;2090;4731;3;
518;28;70;L;1;2;G107;4759;1920;4710;3;
518;28;252;L;1;2;G107;2084;5321;2090;3;
518;28;3387;L;1;1;G107;2084;5321;2090;3;
518;28;3385;L;1;1;G107;3208;1928;5321;3;
518;28;247;L;1;2;G107;3208;3211;5321;3;
518;28;3603;L;1;2;G107;4731;3022;2005;3;
518;28;3394;L;1;1;G107;4731;2009;1890;3;
518;28;184;L;1;2;G107;3646;2941;3022;3;
518;28;3392;L;1;1;G107;3646;3126;2009;3;
518;28;15;L;1;1;G15;4948;3279;4793;3;
518;28;3382;L;1;2;G205;3307;1890;4738;3;
518;28;105;L;1;2;G205;4738;3307;5143;3;
518;28;1463;L;1;1;G25;4951;4948;3288;3;
518;28;1478;L;1;1;G25;4951;5419;4948;3;
518;28;3321;L;1;1;G25;5419;4951;3306;3;
518;28;3405;L;1;1;G4;4958;4759;3567;3;
518;28;66;L;1;1;S209;1876;2084;1881;3;
518;28;3452;L;1;3;S255;3529;3312;5151;3;
518;28;1472;L;1;1;S28;3290;1876;3492;3;
518;28;2414;L;1;1;S30;3306;5266;4918;3;
518;28;1446;L;1;1;S33;3269;2571;1869;3;
518;28;3065;L;1;3;S335;4739;3298;5075;3;
518;28;125;L;1;3;S359;5329;1977;5330;3;
518;28;112;L;1;3;S359;1977;4759;1976;3;
518;28;2288;L;1;3;S359;4782;4783;3378;3;
518;28;132;L;1;3;S359;5330;2571;2107;3;
518;28;2033;L;1;3;S360;3419;1960;5334;3;
518;28;1512;L;1;3;S360;1960;3419;2012;3;
518;28;2316;L;1;4;X004;2967;3407;2929;3;
518;28;1149;L;1;4;X004;2941;2940;3022;3;
518;28;269;L;1;4;X253;2107;4759;5330;3;
518;28;1632;L;1;4;X254;3340;5277;1883;3;
518;28;1834;L;1;4;X255;3379;2213;3380;3;
518;28;302;L;1;4;X256;2571;3178;5330;3;
518;28;749;L;1;4;X291;2659;2567;4958;3;
518;28;3612;L;1;4;X555;2562;2580;3218;3;
518;28;2342;L;1;4;X927;3592;3591;1912;3;
518;28;2274;L;1;4;Y211;3578;4738;3580;3;
518;28;1086;L;1;4;Y237;2059;2170;1993;3;
518;28;1100;L;1;4;Y604;2062;3020;2213;3;
518;28;1210;L;1;4;YG46;3012;2012;3007;3;
