CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
518;28;223;L;3;0;G107;1882;5315;2982;3611;;3
518;28;1434;L;3;0;G107;1882;3298;1884;3611;;3
518;28;2291;L;3;0;S255;3529;3312;5227;3452;;3
518;28;3453;L;3;0;S255;3529;3290;5151;3452;;3
518;28;2131;L;3;0;X555;2562;2580;2514;3612;;3
518;28;788;L;3;0;X555;2562;2070;3218;3612;;3
518;28;3188;L;3;0;;2122;2001;1892;3187;;3
518;28;1590;L;3;0;;2122;5175;3538;3187;;3
518;28;1879;L;3;0;;3001;2011;3389;1878;;3
518;28;1883;L;3;0;;3001;1890;2994;1878;;3
518;28;1887;L;3;0;;2094;2011;1890;1886;;3
518;28;1891;L;3;0;;2094;1890;4748;1886;;3
518;28;2400;L;3;0;;3375;3372;5465;3613;;3
518;28;1829;L;3;0;;3375;5327;5321;3613;;3
518;28;3004;L;3;0;;2618;2606;5154;3003;;3
518;28;803;L;3;0;;2618;1929;2571;3003;;3
518;28;1672;L;3;0;;3028;3020;2178;1692;;3
518;28;1693;L;3;0;;3028;1953;1993;1692;;3
518;28;514;L;3;0;;1937;2386;5367;2096;;3
518;28;1429;L;3;0;;1937;4759;3243;2096;;3
518;28;1542;L;3;0;;3323;2243;5157;2350;;3
518;28;2351;L;3;0;;3323;3419;3613;2350;;3
518;28;660;L;3;0;;2496;4760;5466;3614;;3
518;28;664;L;3;0;;2496;2347;4759;3614;;3
518;28;2167;L;3;0;;2864;2785;5371;2171;;3
518;28;2172;L;3;0;;2864;2184;3545;2171;;3
518;28;1648;L;3;0;;3147;5277;1953;1688;;3
518;28;1687;L;3;0;;3147;5384;1993;1688;;3
518;28;2408;L;3;0;;3116;3646;1904;3615;;3
518;28;1911;L;3;0;;3116;3021;3022;3615;;3
518;28;1823;L;3;0;;3372;3020;2210;1822;;3
518;28;1826;L;3;0;;3372;5402;2213;1822;;3
518;28;713;L;3;0;;3219;2110;3514;3469;;3
518;28;3470;L;3;0;;3219;5228;3178;3469;;3
518;28;2193;L;3;0;;3124;2038;5405;2194;;3
518;28;2197;L;3;0;;3124;3021;3022;2194;;3
518;28;1423;L;3;0;;2350;5326;5427;2098;;3
518;28;649;L;3;0;;2350;2347;4759;2098;;3
518;28;1560;L;3;0;;2567;2580;1892;2147;;3
518;28;2148;L;3;0;;2567;5171;3218;2147;;3
518;28;3000;L;3;0;;2057;3083;2879;2999;;3
518;28;1066;L;3;0;;2057;2181;1993;2999;;3
518;28;607;L;3;0;;2535;3331;3172;3616;;3
518;28;3345;L;3;0;;2535;1929;5228;3616;;3
518;28;1801;L;3;0;;2280;2213;5173;1805;;3
518;28;1806;L;3;0;;2280;3193;2205;1805;;3
