CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
518;28;223;;1434
518;28;1434;223;
518;28;2291;;3453
518;28;3453;2291;
518;28;2131;;788
518;28;788;2131;
518;28;3188;;1590
518;28;1590;3188;
518;28;1879;;1883
518;28;1883;1879;
518;28;1887;;1891
518;28;1891;1887;
518;28;2400;;1829
518;28;1829;2400;
518;28;3004;;803
518;28;803;3004;
518;28;1672;;1693
518;28;1693;1672;
518;28;514;;1429
518;28;1429;514;
518;28;1542;;2351
518;28;2351;1542;
518;28;660;;664
518;28;664;660;
518;28;2167;;2172
518;28;2172;2167;
518;28;1648;;1687
518;28;1687;1648;
518;28;2408;;1911
518;28;1911;2408;
518;28;1823;;1826
518;28;1826;1823;
518;28;713;;3470
518;28;3470;713;
518;28;2193;;2197
518;28;2197;2193;
518;28;1423;;649
518;28;649;1423;
518;28;1560;;2148
518;28;2148;1560;
518;28;3000;;1066
518;28;1066;3000;
518;28;607;;3345
518;28;3345;607;
518;28;1801;;1806
518;28;1806;1801;
