CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
519;29;2898;519;29;2924
519;29;2924;519;29;2898
519;29;45;519;29;575
519;29;575;519;29;703
519;29;703;519;29;45
519;29;577;519;29;1709
519;29;1709;519;29;577
519;29;578;519;29;1862
519;29;1862;519;29;578
519;29;2506;519;29;2783
519;29;2783;519;29;2506
519;29;35;519;29;582
519;29;582;519;29;35
519;29;2510;519;29;2511
519;29;2511;519;29;2510
519;29;1423;519;29;2494
519;29;2494;519;29;1423
519;29;2508;519;29;2512
519;29;2512;519;29;2508
519;29;2826;519;29;2827
519;29;2827;519;29;2826
519;29;2828;519;29;2831
519;29;2831;519;29;2828
519;29;78;519;29;89
519;29;89;519;29;561
519;29;561;519;29;78
519;29;1425;519;29;1906
519;29;1906;519;29;1425
519;29;566;519;29;2960
519;29;2960;519;29;566
519;29;617;519;29;626
519;29;626;519;29;617
519;29;619;519;29;1539
519;29;1539;519;29;619
519;29;569;519;29;620
519;29;620;519;29;569
519;29;538;519;29;891
519;29;891;519;29;538
519;29;892;519;29;2979
519;29;2979;519;29;892
519;29;883;519;29;893
519;29;893;519;29;2809
519;29;2809;519;29;2980
519;29;2980;519;29;883
519;29;855;519;29;894
519;29;894;519;29;2981
519;29;2981;519;29;855
519;29;146;519;29;148
519;29;148;519;29;895
519;29;895;519;29;2982
519;29;2982;519;29;146
519;29;896;519;29;965
519;29;965;519;29;896
519;29;610;519;29;2514
519;29;2514;519;29;2884
519;29;2884;519;29;2888
519;29;2888;519;29;610
519;29;107;519;29;109
519;29;109;519;29;2250
519;29;2250;519;29;2515
519;29;2515;519;29;107
519;29;714;519;29;1410
519;29;1410;519;29;714
519;29;59;519;29;239
519;29;239;519;29;1409
519;29;1409;519;29;59
519;29;367;519;29;509
519;29;509;519;29;2901
519;29;2901;519;29;367
519;29;510;519;29;2612
519;29;2612;519;29;510
519;29;1775;519;29;2333
519;29;2333;519;29;1775
519;29;2480;519;29;2605
519;29;2605;519;29;2480
519;29;2477;519;29;2905
519;29;2905;519;29;2477
519;29;82;519;29;168
519;29;168;519;29;500
519;29;500;519;29;82
519;29;502;519;29;2864
519;29;2864;519;29;502
519;29;503;519;29;640
519;29;640;519;29;503
519;29;504;519;29;1440
519;29;1440;519;29;504
