CID;LID;NID;NTRANSLATION
519;2;1;ya zhou
519;3;1;Asia
519;2;2;zhong guo
519;3;2;China
519;2;3;tian jin
519;3;3;TIANJIN
519;2;5;jing hu gao su gong lu
519;3;5;Jinghu Hwy
519;2;17;jin jin gong lu
519;3;17;Jinjin Hwy
519;2;22;jin han gong lu
519;3;22;Jinhan Hwy
519;2;26;jin cang gao su gong lu
519;3;26;Jincang Hwy
519;2;30;dong xing dao
519;3;30;Dongxing Ave
519;2;45;xian feng lu
519;3;45;Xianfeng Rd
519;2;49;wang gang lu
519;3;49;Wanggang Rd
519;2;50;ma ji lu
519;3;50;Maji Rd
519;2;54;ren huan lu
519;3;54;Renhuan Rd
519;2;56;huan yu lu
519;3;56;Huanyu Rd
519;2;59;zhong xing lu
519;3;59;Zhongxing Rd
519;2;66;xin ke dao
519;3;66;Xinke Ave
519;2;69;jin yang lu
519;3;69;Jinyang Rd
519;2;72;da ming dao
519;3;72;Daming Ave
519;2;86;deng zhou lu
519;3;86;Dengzhou Rd
519;2;89;yan ji dao
519;3;89;Yanji Ave
519;2;91;guo yuan bei dao
519;3;91;Guoyuan North Ave
519;2;92;tian zhong dao
519;3;92;Tianzhong Ave
519;2;93;shun yi dao
519;3;93;Shunyi Ave
519;2;96;pu ji he dao
519;3;96;Pujihe Ave
519;2;102;yang qiao bei da jie
519;3;102;Yangqiao North Ave
519;2;103;jin pu bei lu
519;3;103;Jinpu North Rd
519;2;105;huang wei lu
519;3;105;Huangwei Rd
519;2;106;zhi cheng lu
519;3;106;Zhicheng Rd
519;2;107;ba ma lu
519;3;107;Bamalu
519;2;110;san ma lu
519;3;110;Sanmalu
519;2;111;er ma lu
519;3;111;Ermalu
519;2;113;jin wei lu
519;3;113;Jinwei Rd
519;2;116;jin ting dao
519;3;116;Jinting Ave
519;2;117;jin tian dao
519;3;117;Jintian Ave
519;2;121;jin lai gong lu
519;3;121;Jinlai Hwy
519;2;126;ling bin lu
519;3;126;Lingbin Rd
519;2;129;ying feng dao
519;3;129;Yingfeng Ave
519;2;131;ying shui dao
519;3;131;Yingshui Ave
519;2;132;di nan dao
519;3;132;Dinan Ave
519;2;136;bao shan dao
519;3;136;Baoshan Ave
519;2;139;jia ling dao
519;3;139;Jialing Ave
519;2;141;wei shui dao
519;3;141;Weishui Ave
519;2;146;hong qi bei lu
519;3;146;Hongqi North Rd
519;2;148;xiang tan lu
519;3;148;Xiangtan Rd
519;2;152;hong hu zhong lu
519;3;152;Honghu Middle Rd
519;2;155;ding zi gu er hao lu
