CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
519;29;1520;L;1;1;G1;2164;2113;1493;3;
519;29;574;L;1;2;G103;2019;2175;1796;3;
519;29;2509;L;1;2;G103;1796;2019;2215;3;
519;29;560;L;1;2;G103;2389;2196;2211;3;
519;29;2507;L;1;2;G103;2215;1796;1405;3;
519;29;2427;L;1;2;G112;1416;2412;2356;3;
519;29;616;L;1;2;G112;546;602;762;3;
519;29;1408;L;1;2;G205;1776;2228;2225;3;
519;29;505;L;1;1;S1;358;2380;2379;3;
519;29;499;L;1;3;S101;2374;2211;2181;3;
519;29;2516;L;1;3;S102;2229;2388;2443;3;
519;29;370;L;1;3;S102;2380;358;2443;3;
519;29;324;L;1;3;S103;22;2175;2410;3;
519;29;386;L;1;3;S104;2447;2175;401;3;
519;29;2832;L;1;3;S105;496;2225;2027;3;
519;29;2841;L;1;3;S105;2448;2351;496;3;
519;29;1868;L;1;3;S105;2193;2225;1403;3;
519;29;525;L;1;3;S107;2205;2174;2225;3;
519;29;2485;L;1;1;S11;2189;914;1958;3;
519;29;1446;L;1;3;S110;2218;513;2427;3;
519;29;2526;L;1;3;S110;2454;2427;934;3;
519;29;447;L;1;3;S111;2455;2437;730;3;
519;29;418;L;1;3;S112;2403;2456;2173;3;
519;29;476;L;1;3;S116;2401;2396;2531;3;
519;29;464;L;1;3;S119;2138;2427;2206;3;
519;29;2416;L;1;3;S124;2460;1807;2337;3;
519;29;2611;L;1;1;S2;2198;358;2296;3;
519;29;1976;L;1;3;S204;1716;954;2387;3;
519;29;1876;L;1;3;S206;2399;468;496;3;
519;29;1851;L;1;3;S207;2450;1777;496;3;
519;29;1857;L;1;3;S208;2398;2399;2019;3;
519;29;2825;L;1;3;S214;2411;2422;2389;3;
519;29;490;L;1;3;S223;524;2218;2404;3;
519;29;458;L;1;3;S228;2427;121;2404;3;
519;29;1533;L;1;3;S230;175;2532;546;3;
519;29;2559;L;1;3;S230;2413;2244;2532;3;
519;29;2599;L;1;1;S2501;2181;5;2174;3;
519;29;32;L;1;1;S3;559;2175;2019;3;
519;29;2528;L;1;3;S308;2387;2377;1786;3;
519;29;1708;L;1;3;S308;401;2463;2388;3;
519;29;2855;L;1;4;;2249;1682;2387;3;
519;29;495;L;1;3;S310;2402;2396;2404;3;
519;29;966;L;1;4;;929;265;932;3;
519;29;1980;L;1;3;S318;2463;392;2398;3;
519;29;399;L;1;3;S318;388;2175;392;3;
519;29;2770;L;1;1;S4;2204;2225;2149;3;
519;29;1872;L;1;3;S50;17;468;1403;3;
519;29;135;L;1;3;;914;934;546;3;
519;29;2849;L;1;4;X431;359;22;2380;3;
519;29;2015;L;1;4;X437;364;2250;218;3;
519;29;713;L;1;4;X441;1367;1776;496;3;
519;29;627;L;1;4;X442;2217;2218;121;3;
519;29;621;L;1;4;X447;174;2218;602;3;
519;29;721;L;1;4;X461;2240;1776;496;3;
519;29;36;L;1;4;X471;560;2455;2206;3;
519;29;1727;L;1;4;X474;1713;2211;2374;3;
519;29;1629;L;1;4;X552;305;971;1186;3;
519;29;1517;L;1;4;X553;2467;2396;26;3;
519;29;2225;L;1;4;;1870;1260;1758;3;
519;29;983;L;1;4;;946;947;957;3;
519;29;976;L;1;4;;947;914;945;3;
519;29;2320;L;1;4;;635;216;1176;3;
519;29;970;L;1;4;;942;934;938;3;
519;29;2108;L;1;4;;1852;2257;1378;3;
519;29;1678;L;1;4;;1518;949;631;3;
519;29;1936;L;1;4;;1816;1788;1808;3;
519;29;2204;L;1;4;;1548;952;634;3;
519;29;1540;L;1;4;;2254;1500;2211;3;
519;29;2787;L;1;4;;1887;2199;1716;3;
519;29;265;L;1;3;;264;265;268;3;
519;29;613;L;1;4;;266;592;591;3;
519;29;2028;L;1;4;;382;1839;219;3;
519;29;2950;L;1;4;;2420;2421;1271;3;
519;29;2032;L;1;4;;1840;1061;204;3;
519;29;2036;L;1;4;;1062;670;1053;3;
519;29;1091;L;1;4;;1053;1058;1063;3;
519;29;3036;L;1;4;;1049;2471;1058;3;
519;29;2970;L;1;4;;459;2206;1052;3;
519;29;2953;L;1;4;;2421;2420;204;3;
519;29;1655;L;1;4;;1516;957;1187;3;
519;29;2912;L;1;1;S60;2395;5;1773;3;
519;29;1195;L;1;4;;1157;2473;1162;3;
519;29;1548;L;1;4;;1042;1056;1058;3;
519;29;1947;L;1;4;;1788;1727;1816;3;
519;29;585;L;1;4;;563;571;2206;3;
519;29;764;L;1;4;;726;730;1717;3;
519;29;2972;L;1;4;;2474;569;727;3;
519;29;769;L;1;4;;731;730;569;3;
519;29;780;L;1;4;;742;568;565;3;
519;29;775;L;1;4;;737;2261;565;3;
519;29;429;L;1;4;;415;574;2206;3;
519;29;433;L;1;4;;718;567;566;3;
519;29;2139;L;1;4;;995;1847;949;3;
519;29;2367;L;1;4;;1344;2475;2175;3;
519;29;1396;L;1;4;;267;1354;264;3;
519;29;2927;L;1;4;;901;1354;264;3;
519;29;2342;L;1;4;;592;1354;264;3;
519;29;1613;L;1;4;;1149;951;631;3;
519;29;2299;L;1;4;;2262;2263;2387;3;
519;29;1216;L;1;4;;1184;1518;1516;3;
519;29;704;L;1;4;;666;949;2225;3;
519;29;3018;L;1;4;;2537;2538;2225;3;
519;29;1227;L;1;4;;1195;1189;1161;3;
519;29;1152;L;1;4;;268;1446;931;3;
519;29;670;L;1;4;;2256;631;636;3;
519;29;2277;L;1;4;;1182;1162;219;3;
519;29;1609;L;1;4;;1513;1188;971;3;
519;29;2291;L;1;4;;86;1344;1345;3;
519;29;2790;L;1;4;;1809;1716;2189;3;
519;29;1941;L;1;4;;1808;671;2189;3;
519;29;594;L;1;4;;571;563;730;3;
519;29;801;L;1;4;;763;764;730;3;
519;29;1920;L;1;4;;1807;1810;1786;3;
519;29;1454;L;1;4;;787;906;1446;3;
519;29;217;L;1;3;;216;217;1347;3;
519;29;1362;L;1;4;;1319;2225;364;3;
519;29;2057;L;1;4;;1145;985;271;3;
519;29;2694;L;1;4;;2310;354;2309;3;
519;29;666;L;1;4;;1273;666;631;3;
519;29;1005;L;1;4;;968;969;1157;3;
519;29;188;L;1;3;;934;26;945;3;
519;29;962;L;1;4;;925;2265;2266;3;
519;29;2051;L;1;4;;950;970;1201;3;
519;29;2002;L;1;4;;1833;1051;1052;3;
519;29;2005;L;1;4;;1834;1051;1052;3;
519;29;2630;L;1;4;;1502;2301;89;3;
519;29;2863;L;1;4;;482;2374;2283;3;
519;29;1119;L;1;4;;1081;1082;639;3;
519;29;2860;L;1;4;;2242;121;1049;3;
519;29;2019;L;1;4;;218;216;219;3;
519;29;790;L;1;4;;730;2455;762;3;
519;29;1292;L;1;4;;1260;1063;1267;3;
519;29;957;L;1;4;;916;938;2265;3;
519;29;1551;L;1;4;;258;916;965;3;
519;29;1230;L;1;4;;1198;1188;1201;3;
519;29;1585;L;1;4;;996;1271;1188;3;
519;29;2464;L;1;4;;1232;2510;1271;3;
519;29;2624;L;1;4;;2300;1500;1502;3;
519;29;2180;L;1;4;;1189;949;1187;3;
519;29;1581;L;1;4;;1510;949;957;3;
519;29;1909;L;1;3;S11;1403;17;2191;3;
519;29;1460;L;1;4;;1162;1102;1350;3;
519;29;2443;L;1;4;;1730;1105;1162;3;
519;29;2998;L;1;4;;2526;912;2527;3;
519;29;2012;L;1;4;;1837;914;2031;3;
519;29;1675;L;1;4;;1267;1271;949;3;
519;29;1749;L;1;4;;971;906;1188;3;
519;29;609;L;1;4;;591;931;1359;3;
519;29;2885;L;1;4;;2370;932;546;3;
519;29;1793;L;1;4;;954;953;1716;3;
519;29;1567;L;1;4;;954;1271;1145;3;
519;29;1930;L;1;4;;953;496;954;3;
519;29;223;L;1;1;;670;223;666;3;
519;29;2983;L;1;4;;2522;1060;1155;3;
519;29;147;L;1;3;;146;546;1359;3;
519;29;125;L;1;3;;223;1049;934;3;
519;29;2346;L;1;1;;223;670;2243;3;
519;29;3027;L;1;4;;2540;2243;1058;3;
