CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
519;29;515;L;3;0;S105;496;2225;2193;2832;;3
519;29;2833;L;3;0;S105;496;2398;2027;2832;;3
519;29;169;L;3;0;S110;2218;513;2404;1446;;3
519;29;181;L;3;0;S110;2218;518;2427;1446;;3
519;29;402;L;3;0;S308;2387;2377;2249;2528;;3
519;29;2529;L;3;0;S308;2387;2249;1786;2528;;3
519;29;1544;L;3;0;;1049;2471;2206;3036;;3
519;29;1087;L;3;0;;1049;1052;1058;3036;;3
519;29;2368;L;3;0;;1344;2475;2371;2367;;3
519;29;1387;L;3;0;;1344;658;2175;2367;;3
519;29;2181;L;3;0;;1189;949;1539;2180;;3
519;29;2186;L;3;0;;1189;957;1187;2180;;3
519;29;1137;L;3;0;;1162;1102;1105;1460;;3
519;29;1200;L;3;0;;1162;1160;1187;1460;;3
519;29;2244;L;3;0;;1162;1730;1350;1460;;3
519;29;1621;L;3;0;;971;906;968;1749;;3
519;29;1746;L;3;0;;971;1149;1188;1749;;3
519;29;2350;L;3;0;;923;886;914;2349;;3
519;29;922;L;3;0;;923;2327;1354;2349;;3
519;29;359;L;3;0;;634;216;658;2561;;3
519;29;2562;L;3;0;;634;2277;1162;2561;;3
519;29;2763;L;3;0;;1329;1319;671;2817;;3
519;29;2321;L;3;0;;1329;1889;666;2817;;3
519;29;1273;L;3;0;;624;1260;1273;3037;;3
519;29;1817;L;3;0;;624;1758;631;3037;;3
519;29;2360;L;3;0;;1266;667;1237;2359;;3
519;29;2211;L;3;0;;1266;2328;631;2359;;3
519;29;1065;L;3;0;;1055;223;2546;3038;;3
519;29;2008;L;3;0;;1055;1033;934;3038;;3
519;29;38;L;3;0;S113;2175;787;1589;37;;3
519;29;49;L;3;0;S113;2225;1589;59;37;;3
519;29;65;L;3;0;S113;2206;59;2389;37;;3
519;29;77;L;3;0;S113;2211;2389;787;37;;3
519;29;1957;L;3;0;;1820;1727;1799;2588;;3
519;29;2589;L;3;0;;1820;2289;2290;2588;;3
