CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
519;29;515;;2833
519;29;2833;515;
519;29;169;;181
519;29;181;169;
519;29;402;;2529
519;29;2529;402;
519;29;1544;;1087
519;29;1087;1544;
519;29;2368;;1387
519;29;1387;2368;
519;29;2181;;2186
519;29;2186;2181;
519;29;1137;;1200
519;29;1200;1137;2244
519;29;2244;1200;
519;29;1621;;1746
519;29;1746;1621;
519;29;2350;;922
519;29;922;2350;
519;29;359;;2562
519;29;2562;359;
519;29;2763;;2321
519;29;2321;2763;
519;29;1273;;1817
519;29;1817;1273;
519;29;2360;;2211
519;29;2211;2360;
519;29;1065;;2008
519;29;2008;1065;
519;29;38;77;49
519;29;49;38;65
519;29;65;49;77
519;29;77;65;38
519;29;1957;;2589
519;29;2589;1957;
