CLASS;TCD;STCD;SDESC;SNATCODE;SNATDESC
A;1;0;Continent;;
A;3;0;Country;;
A;7;0;Order 1 area;;
A;8;0;Order 2 area;;
L;1;1;Motorway;;
P;1;3;Motorway junction;;
P;3;3;Service area;;
P;1;1;Motorway intersection;;
L;1;2;1st class road;;
P;1;6;Flyover;;
P;1;10;Traffic lights;;
P;1;12;T-junction;;
P;1;13;Intermediate node;;
P;1;11;Cross-roads;;
L;1;3;2nd class road;;
L;3;0;Order 1 segment;;
P;1;8;Roundabout;;
L;1;4;3rd class road;;
P;1;7;Underpass;;
P;3;8;Car park;;
P;1;9;Gyratory;;
P;3;2;Bridge;;
L;2;2;Other ring road;;
P;3;1;Tunnel;;
