CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
521;31;1;A;1;0;304471;
521;31;2;A;3;0;304472;1
521;31;3;A;7;0;304751;2
521;31;5;A;8;0;324385;3
521;31;4;A;8;0;263255;3
521;31;12;A;8;0;324461;3
521;31;11;A;8;0;324418;3
521;31;21;A;8;0;324578;3
521;31;9;A;8;0;324402;3
521;31;19;A;8;0;324553;3
521;31;13;A;8;0;324477;3
521;31;14;A;8;0;324494;3
521;31;8;A;8;0;324393;3
521;31;10;A;8;0;324408;3
521;31;15;A;8;0;324507;3
521;31;20;A;8;0;324563;3
521;31;16;A;8;0;324527;3
521;31;18;A;8;0;324539;3
521;31;17;A;8;0;324532;3
521;31;7;A;8;0;111984;3
521;31;6;A;8;0;35454;3
