CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
521;31;18507;521;31;18509
521;31;18509;521;31;18507
521;31;18510;521;31;18759
521;31;18759;521;31;18761
521;31;18761;521;31;18510
521;31;18511;521;31;18677
521;31;18677;521;31;18679
521;31;18679;521;31;18511
521;31;18512;521;31;18707
521;31;18707;521;31;18709
521;31;18709;521;31;18512
521;31;18513;521;31;18770
521;31;18770;521;31;19347
521;31;19347;521;31;18513
521;31;12402;521;31;12407
521;31;12407;521;31;13447
521;31;13447;521;31;12402
521;31;18403;521;31;18405
521;31;18405;521;31;18403
521;31;18530;521;31;18536
521;31;18536;521;31;18530
521;31;18537;521;31;19179
521;31;19179;521;31;18537
521;31;18538;521;31;18771
521;31;18771;521;31;18538
521;31;18539;521;31;19349
521;31;19349;521;31;18539
521;31;18540;521;31;18778
521;31;18778;521;31;18540
521;31;18541;521;31;18543
521;31;18543;521;31;18541
521;31;18406;521;31;18408
521;31;18408;521;31;18406
521;31;18409;521;31;18411
521;31;18411;521;31;18409
521;31;18412;521;31;18414
521;31;18414;521;31;18505
521;31;18505;521;31;18585
521;31;18585;521;31;18412
521;31;12409;521;31;12722
521;31;12722;521;31;12409
521;31;12691;521;31;13116
521;31;13116;521;31;12691
521;31;13117;521;31;13235
521;31;13235;521;31;13117
521;31;12410;521;31;13206
521;31;13206;521;31;12410
521;31;13118;521;31;13123
521;31;13123;521;31;13118
521;31;13119;521;31;13121
521;31;13121;521;31;13119
521;31;12411;521;31;12467
521;31;12467;521;31;12790
521;31;12790;521;31;12411
521;31;13120;521;31;13390
521;31;13390;521;31;13120
521;31;12412;521;31;12414
521;31;12414;521;31;12725
521;31;12725;521;31;13262
521;31;13262;521;31;12412
521;31;12405;521;31;12416
521;31;12416;521;31;12854
521;31;12854;521;31;12405
521;31;12406;521;31;13028
521;31;13028;521;31;13422
521;31;13422;521;31;12406
521;31;12688;521;31;12779
521;31;12779;521;31;13066
521;31;13066;521;31;12688
521;31;12415;521;31;12858
521;31;12858;521;31;12415
521;31;19318;521;31;19320
521;31;19320;521;31;19318
521;31;668;521;31;753
521;31;753;521;31;831
521;31;831;521;31;3025
521;31;3025;521;31;668
521;31;833;521;31;846
521;31;846;521;31;833
521;31;426;521;31;430
521;31;430;521;31;458
521;31;458;521;31;2048
521;31;2048;521;31;426
521;31;431;521;31;1116
521;31;1116;521;31;1118
521;31;1118;521;31;431
521;31;432;521;31;511
521;31;511;521;31;2554
521;31;2554;521;31;432
521;31;433;521;31;776
521;31;776;521;31;433
521;31;597;521;31;599
521;31;599;521;31;1522
521;31;1522;521;31;597
521;31;621;521;31;673
521;31;673;521;31;719
521;31;719;521;31;729
521;31;729;521;31;621
521;31;699;521;31;861
521;31;861;521;31;699
521;31;435;521;31;720
521;31;720;521;31;843
521;31;843;521;31;435
521;31;408;521;31;456
521;31;456;521;31;721
521;31;721;521;31;408
521;31;730;521;31;811
521;31;811;521;31;730
521;31;731;521;31;1242
521;31;1242;521;31;731
521;31;732;521;31;792
521;31;792;521;31;806
521;31;806;521;31;732
521;31;420;521;31;457
521;31;457;521;31;479
521;31;479;521;31;420
521;31;587;521;31;1039
521;31;1039;521;31;587
521;31;588;521;31;604
521;31;604;521;31;588
521;31;590;521;31;2708
521;31;2708;521;31;590
521;31;591;521;31;1107
521;31;1107;521;31;591
521;31;204;521;31;775
521;31;775;521;31;204
521;31;502;521;31;988
521;31;988;521;31;502
521;31;460;521;31;467
521;31;467;521;31;777
521;31;777;521;31;460
521;31;514;521;31;516
521;31;516;521;31;778
521;31;778;521;31;888
521;31;888;521;31;514
521;31;596;521;31;1492
521;31;1492;521;31;596
521;31;595;521;31;1048
521;31;1048;521;31;595
521;31;791;521;31;1256
521;31;1256;521;31;791
521;31;793;521;31;812
521;31;812;521;31;2639
521;31;2639;521;31;793
521;31;579;521;31;675
521;31;675;521;31;794
521;31;794;521;31;579
521;31;30091;521;31;30102
521;31;30102;521;31;30091
521;31;756;521;31;1499
521;31;1499;521;31;756
521;31;437;521;31;867
521;31;867;521;31;437
521;31;410;521;31;868
521;31;868;521;31;870
521;31;870;521;31;410
521;31;18612;521;31;19156
521;31;19156;521;31;18612
521;31;19080;521;31;19157
521;31;19157;521;31;19080
521;31;19071;521;31;19158
521;31;19158;521;31;19160
521;31;19160;521;31;19071
521;31;18493;521;31;18850
521;31;18850;521;31;18493
521;31;18494;521;31;18766
521;31;18766;521;31;18494
521;31;18495;521;31;18971
521;31;18971;521;31;18495
521;31;18496;521;31;18700
521;31;18700;521;31;19252
521;31;19252;521;31;19324
521;31;19324;521;31;18496
521;31;18497;521;31;18736
521;31;18736;521;31;18738
521;31;18738;521;31;18497
521;31;18498;521;31;18834
521;31;18834;521;31;18498
521;31;18499;521;31;18501
521;31;18501;521;31;19225
521;31;19225;521;31;18499
521;31;18701;521;31;18852
521;31;18852;521;31;18855
521;31;18855;521;31;18701
521;31;18742;521;31;18856
521;31;18856;521;31;18742
521;31;12942;521;31;13184
521;31;13184;521;31;12942
521;31;12940;521;31;13163
521;31;13163;521;31;12940
521;31;12929;521;31;12943
521;31;12943;521;31;12929
521;31;12431;521;31;12850
521;31;12850;521;31;12856
521;31;12856;521;31;12431
521;31;12881;521;31;12925
521;31;12925;521;31;13182
521;31;13182;521;31;12881
521;31;13011;521;31;13079
521;31;13079;521;31;13011
521;31;12968;521;31;13183
521;31;13183;521;31;12968
521;31;12851;521;31;12865
521;31;12865;521;31;12867
521;31;12867;521;31;12851
