CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
521;31;18509;;18510
521;31;18510;18509;18511
521;31;18511;18510;18512
521;31;18512;18511;18513
521;31;18513;18512;18514
521;31;18514;18513;
521;31;12402;;12403
521;31;12403;12402;13402
521;31;13402;12403;13403
521;31;13403;13402;13404
521;31;13404;13403;
521;31;18402;;18403
521;31;18403;18402;
521;31;18536;;18537
521;31;18537;18536;18538
521;31;18538;18537;18539
521;31;18539;18538;18540
521;31;18540;18539;18541
521;31;18541;18540;
521;31;18405;;18406
521;31;18406;18405;
521;31;18411;;18412
521;31;18412;18411;
521;31;18408;;18409
521;31;18409;18408;
521;31;12409;;13116
521;31;13116;12409;13117
521;31;13117;13116;12410
521;31;12410;13117;13118
521;31;13118;12410;13119
521;31;13119;13118;12411
521;31;12411;13119;13120
521;31;13120;12411;12412
521;31;12412;13120;
521;31;12405;;13172
521;31;13172;12405;12406
521;31;12406;13172;12407
521;31;12407;12406;
521;31;12414;;13066
521;31;13066;12414;12415
521;31;12415;13066;12416
521;31;12416;12415;
521;31;18543;;19318
521;31;19318;18543;
521;31;19320;;18544
521;31;18544;19320;18545
521;31;18545;18544;
521;31;18505;;18506
521;31;18506;18505;18507
521;31;18507;18506;
521;31;831;;832
521;31;832;831;833
521;31;833;832;834
521;31;834;833;
521;31;430;;431
521;31;431;430;432
521;31;432;431;433
521;31;433;432;
521;31;39060;;39061
521;31;39061;39060;39062
521;31;39062;39061;39063
521;31;39063;39062;
521;31;1522;;1523
521;31;1523;1522;
521;31;719;;861
521;31;861;719;720
521;31;720;861;721
521;31;721;720;
521;31;729;;730
521;31;730;729;731
521;31;731;730;732
521;31;732;731;
521;31;456;;457
521;31;457;456;964
521;31;964;457;458
521;31;458;964;
521;31;1471;;986
521;31;986;1471;1445
521;31;1445;986;1444
521;31;1444;1445;587
521;31;587;1444;588
521;31;588;587;589
521;31;589;588;590
521;31;590;589;591
521;31;591;590;592
521;31;592;591;775
521;31;775;592;988
521;31;988;775;776
521;31;776;988;777
521;31;777;776;778
521;31;778;777;
521;31;597;;596
521;31;596;597;595
521;31;595;596;790
521;31;790;595;791
521;31;791;790;792
521;31;792;791;793
521;31;793;792;794
521;31;794;793;
521;31;30102;;30103
521;31;30103;30102;
521;31;1499;;867
521;31;867;1499;868
521;31;868;867;
521;31;19156;;19157
521;31;19157;19156;19158
521;31;19158;19157;
521;31;18493;;18494
521;31;18494;18493;18495
521;31;18495;18494;18496
521;31;18496;18495;18497
521;31;18497;18496;18498
521;31;18498;18497;18499
521;31;18499;18498;
521;31;18855;;18856
521;31;18856;18855;
521;31;12942;;13163
521;31;13163;12942;12943
521;31;12943;13163;12944
521;31;12944;12943;
521;31;12850;;13182
521;31;13182;12850;13079
521;31;13079;13182;13183
521;31;13183;13079;12851
521;31;12851;13183;13080
521;31;13080;12851;13184
521;31;13184;13080;12852
521;31;12852;13184;
521;31;30078;;30079
521;31;30079;30078;30080
521;31;30080;30079;30081
521;31;30081;30080;30082
521;31;30082;30081;30083
521;31;30083;30082;30084
521;31;30084;30083;30085
521;31;30085;30084;
521;31;30069;;30070
521;31;30070;30069;30071
521;31;30071;30070;30072
521;31;30072;30071;30073
521;31;30073;30072;30074
521;31;30074;30073;30075
521;31;30075;30074;30076
521;31;30076;30075;
521;31;12070;;12071
521;31;12071;12070;
521;31;12078;;12066
521;31;12066;12078;12067
521;31;12067;12066;12068
521;31;12068;12067;12057
521;31;12057;12068;12058
521;31;12058;12057;12059
521;31;12059;12058;12072
521;31;12072;12059;
521;31;51052;;51053
521;31;51053;51052;51054
521;31;51054;51053;51055
521;31;51055;51054;51056
521;31;51056;51055;51057
521;31;51057;51056;51058
521;31;51058;51057;51059
521;31;51059;51058;51060
521;31;51060;51059;
521;31;79;;80
521;31;80;79;81
521;31;81;80;
521;31;83;;118
521;31;118;83;124
521;31;124;118;84
521;31;84;124;85
521;31;85;84;86
521;31;86;85;87
521;31;87;86;
521;31;18800;;18801
521;31;18801;18800;18802
521;31;18802;18801;
521;31;13037;;13197
521;31;13197;13037;12519
