CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
521;31;18509;P;1;12;;136982;112067;;7;;;18508;1;1;1;1;1;1;;;+11333170;+2247952;0;0
521;31;18510;P;1;6;;136982;199782;;7;;;18508;1;1;1;1;1;1;;;+11333697;+2249064;0;1
521;31;18511;P;1;6;;136982;112097;;7;;;18508;1;1;1;1;1;1;;;+11334438;+2250938;0;1
521;31;18512;P;1;6;;136982;199768;;7;;;18508;1;1;1;1;1;1;;;+11334396;+2252076;0;1
521;31;18513;P;1;6;;136982;199772;;7;;;18508;1;1;1;1;1;1;;;+11334192;+2254745;0;1
521;31;18514;P;1;8;;136982;112074;;7;;;18508;1;1;1;1;1;1;;;+11333950;+2255792;0;1
521;31;12402;P;1;10;;35473;35471;;6;;;12401;1;1;1;1;1;1;;;+11350354;+2227848;0;1
521;31;12403;P;1;8;;35473;35472;;6;;;12401;1;1;1;1;1;1;;;+11347367;+2231843;0;0
521;31;13402;P;1;6;;35473;35461;;6;;;12401;1;1;1;1;1;1;;;+11346095;+2232673;0;0
521;31;13403;P;1;10;;35473;49840;;6;;;12401;1;1;1;1;1;1;;;+11343344;+2233391;0;0
521;31;13404;P;1;8;;35473;49841;;6;;;12401;1;1;1;1;1;1;;;+11340644;+2234569;0;0
521;31;18402;P;1;10;;112000;112001;;7;;;18401;1;1;1;1;1;1;;;+11332370;+2241516;0;0
521;31;18403;P;1;12;;112000;112003;;7;;;18401;1;1;1;1;1;1;;;+11332007;+2242621;0;0
521;31;18536;P;1;12;;112074;124795;;7;;;18535;1;1;1;1;1;1;;;+11336167;+2253638;0;1
521;31;18537;P;1;10;;112074;124766;;7;;;18535;1;1;1;1;1;1;;;+11335765;+2254182;0;1
521;31;18538;P;1;10;;112074;199783;;7;;;18535;1;1;1;1;1;1;;;+11335009;+2254888;0;1
521;31;18539;P;1;8;;112074;112091;;7;;;18535;1;1;1;1;1;1;;;+11333966;+2255810;0;1
521;31;18540;P;1;10;;112074;112092;;7;;;18535;1;1;1;1;1;1;;;+11333418;+2256457;0;1
521;31;18541;P;1;12;;112074;112093;;7;;;18535;1;1;1;1;1;1;;;+11332365;+2257622;0;0
521;31;18405;P;1;12;;112004;112003;;7;;;18404;1;1;1;1;1;1;;;+11332007;+2242621;0;0
521;31;18406;P;1;12;;112004;112005;;7;;;18404;1;1;1;1;1;1;;;+11333651;+2243776;0;0
521;31;18411;P;1;12;;112008;112007;;7;;;18410;1;1;1;1;1;1;;;+11334556;+2245747;0;0
521;31;18412;P;1;10;;112008;112009;;7;;;18410;1;1;1;1;1;1;;;+11334766;+2246712;0;0
521;31;18408;P;1;12;;112006;112005;;7;;;18407;1;1;1;1;1;1;;;+11333651;+2243776;0;0
521;31;18409;P;1;12;;112006;112007;;7;;;18407;1;1;1;1;1;1;;;+11334556;+2245747;0;0
521;31;12409;P;1;10;;35477;35478;;6;;;12408;1;1;1;1;1;1;;;+11354231;+2221419;0;1
521;31;13116;P;1;11;;35477;99875;;6;;;12408;1;1;1;1;1;1;;;+11354084;+2221648;0;1
521;31;13117;P;1;11;;35477;35593;;6;;;12408;1;1;1;1;1;1;;;+11353949;+2221874;0;1
521;31;12410;P;1;11;;35477;35479;;6;;;12408;1;1;1;1;1;1;;;+11353726;+2222176;0;1
521;31;13118;P;1;11;;35477;35597;;6;;;12408;1;1;1;1;1;1;;;+11353530;+2222410;0;1
521;31;13119;P;1;11;;35477;35600;;6;;;12408;1;1;1;1;1;1;;;+11353304;+2222700;0;1
521;31;12411;P;1;8;;35477;35480;;6;;;12408;1;1;1;1;1;1;;;+11352791;+2223262;0;1
521;31;13120;P;1;11;;35477;99876;;6;;;12408;1;1;1;1;1;1;;;+11352392;+2223598;0;1
521;31;12412;P;1;10;;35477;35481;;6;;;12408;1;1;1;1;1;1;;;+11352151;+2224014;0;1
521;31;12405;P;1;10;;35474;35475;;6;;;12404;1;1;1;1;1;1;;;+11351875;+2226508;0;1
521;31;13172;P;1;12;;35474;35155;;6;;;12404;1;1;1;1;1;1;;;+11351572;+2226823;0;1
521;31;12406;P;1;10;;35474;35476;;6;;;12404;1;1;1;1;1;1;;;+11350943;+2227360;0;1
521;31;12407;P;1;10;;35474;35471;;6;;;12404;1;1;1;1;1;1;;;+11350354;+2227848;0;1
521;31;12414;P;1;10;;35482;35481;;6;;;12413;1;1;1;1;1;1;;;+11352151;+2224014;0;1
521;31;13066;P;1;10;;35482;35622;;6;;;12413;1;1;1;1;1;1;;;+11352075;+2224658;0;1
521;31;12415;P;1;10;;35482;35483;;6;;;12413;1;1;1;1;1;1;;;+11351986;+2225468;0;1
521;31;12416;P;1;10;;35482;35475;;6;;;12413;1;1;1;1;1;1;;;+11351875;+2226508;0;1
521;31;18543;P;1;12;;112093;112074;;7;;;18542;1;1;1;1;1;1;;;+11332365;+2257622;0;0
521;31;19318;P;1;12;;112093;111995;;7;;;18542;1;1;1;1;1;1;;;+11331407;+2258756;0;0
521;31;19320;P;1;12;;111995;112093;;7;;;19319;1;1;1;1;1;1;;;+11331407;+2258756;0;0
521;31;18544;P;1;10;;111995;112094;;7;;;19319;1;1;1;1;1;1;;;+11331092;+2259370;0;0
521;31;18545;P;1;3;;111995;324599;;7;;;19319;1;1;1;1;1;1;;;+11330667;+2260090;0;0
521;31;18505;P;1;10;;112067;112009;;7;;;18504;1;1;1;1;1;1;;;+11334766;+2246712;0;0
521;31;18506;P;1;11;;112067;112068;;7;;;18504;1;1;1;1;1;1;;;+11333173;+2247534;0;0
521;31;18507;P;1;12;;112067;199784;;7;;;18504;1;1;1;1;1;1;;;+11333170;+2247952;0;0
521;31;831;P;1;10;;263086;313172;;4;;;829;1;1;1;1;1;1;;;+11399429;+2301169;0;0
521;31;832;P;1;11;;263086;263003;;4;;;829;1;1;1;1;1;1;;;+11398511;+2301406;0;0
521;31;833;P;1;10;;263086;263087;;4;;;829;1;1;1;1;1;1;;;+11397792;+2301893;0;0
521;31;834;P;1;12;;263086;263088;;4;;;829;1;1;1;1;1;1;;;+11397594;+2302070;0;0
521;31;430;P;1;7;;263043;262998;;4;;;429;1;1;1;1;1;1;;;+11375246;+2300133;0;1
521;31;431;P;1;10;;263043;263184;;4;;;429;1;1;1;1;1;1;;;+11376214;+2299716;0;1
521;31;432;P;1;10;;263043;263185;;4;;;429;1;1;1;1;1;1;;;+11376818;+2299468;0;1
521;31;433;P;1;8;;263043;263021;;4;;;429;1;1;1;1;1;1;;;+11377548;+2298783;0;1
521;31;39060;P;1;3;;324503;324504;;14;;;39059;1;1;1;1;1;1;;;+11311098;+2351659;0;0
521;31;39061;P;1;3;;324503;324505;;14;;;39059;1;1;1;1;1;1;;;+11306703;+2355551;0;0
521;31;39062;P;1;3;;324503;324506;;14;;;39059;1;1;1;1;1;1;;;+11302731;+2364854;0;0
521;31;39063;P;1;3;;324503;324421;;14;;;39059;1;1;1;1;1;1;;;+11302029;+2367671;0;0
521;31;1522;P;1;10;;274850;274183;;4;;;1521;1;1;1;1;1;1;;;+11365656;+2310092;0;0
521;31;1523;P;1;10;;274850;264155;;4;;;1521;1;1;1;1;1;1;;;+11364123;+2312079;0;0
521;31;719;P;1;10;;263131;274221;;4;;;718;1;1;1;1;1;1;;;+11372303;+2302296;0;1
521;31;861;P;1;10;;263131;263026;;4;;;718;1;1;1;1;1;1;;;+11372456;+2301986;0;1
521;31;720;P;1;6;;263131;263156;;4;;;718;1;1;1;1;1;1;;;+11373038;+2301298;0;1
521;31;721;P;1;10;;263131;263025;;4;;;718;1;1;1;1;1;1;;;+11373743;+2300886;0;1
521;31;729;P;1;10;;263143;266542;;4;;;728;1;1;1;1;1;1;;;+11372303;+2302296;0;1
521;31;730;P;1;6;;263143;262999;;4;;;728;1;1;1;1;1;1;;;+11371988;+2303407;0;1
521;31;731;P;1;10;;263143;266550;;4;;;728;1;1;1;1;1;1;;;+11372269;+2304541;0;1
521;31;732;P;1;10;;263143;263144;;4;;;728;1;1;1;1;1;1;;;+11372605;+2305271;0;1
521;31;456;P;1;10;;263174;263025;;4;;;754;1;1;1;1;1;1;;;+11373743;+2300886;0;1
521;31;457;P;1;10;;263174;263179;;4;;;754;1;1;1;1;1;1;;;+11374447;+2300534;0;1
521;31;964;P;1;12;;263174;263198;;4;;;754;1;1;1;1;1;1;;;+11374907;+2300305;0;1
521;31;458;P;1;7;;263174;263043;;4;;;754;1;1;1;1;1;1;;;+11375246;+2300133;0;1
521;31;1471;P;1;12;;263021;274727;;4;;;586;1;1;1;1;1;1;;;+11382953;+2279935;0;0
521;31;986;P;1;12;;263021;299734;;4;;;586;1;1;1;1;1;1;;;+11382409;+2280066;0;0
521;31;1445;P;1;12;;263021;263901;;4;;;586;1;1;1;1;1;1;;;+11382620;+2282313;0;0
521;31;1444;P;1;6;;263021;274728;;4;;;586;1;1;1;1;1;1;;;+11383863;+2285293;0;0
521;31;587;P;1;6;;263021;274729;;4;;;586;1;1;1;1;1;1;;;+11384301;+2286578;0;0
521;31;588;P;1;6;;263021;263907;;4;;;586;1;1;1;1;1;1;;;+11384256;+2288110;0;0
521;31;589;P;1;12;;263021;264089;;4;;;586;1;1;1;1;1;1;;;+11383621;+2290243;0;0
521;31;590;P;1;6;;263021;263034;;4;;;586;1;1;1;1;1;1;;;+11380534;+2292886;0;0
521;31;591;P;1;10;;263021;263035;;4;;;586;1;1;1;1;1;1;;;+11377598;+2294879;0;0
521;31;592;P;1;10;;263021;272648;;4;;;586;1;1;1;1;1;1;;;+11377450;+2296989;0;0
521;31;775;P;1;7;;263021;263020;;4;;;586;1;1;1;1;1;1;;;+11377366;+2297864;0;1
521;31;988;P;1;12;;263021;263211;;4;;;586;1;1;1;1;1;1;;;+11377355;+2298345;0;1
521;31;776;P;1;8;;263021;263043;;4;;;586;1;1;1;1;1;1;;;+11377548;+2298783;0;1
521;31;777;P;1;10;;263021;263044;;4;;;586;1;1;1;1;1;1;;;+11377858;+2300051;0;1
521;31;778;P;1;10;;263021;263045;;4;;;586;1;1;1;1;1;1;;;+11377382;+2300855;0;1
521;31;597;P;1;10;;263144;274183;;4;;;789;1;1;1;1;1;1;;;+11365656;+2310092;0;0
521;31;596;P;1;10;;263144;274194;;4;;;789;1;1;1;1;1;1;;;+11367323;+2309376;0;0
521;31;595;P;1;10;;263144;263000;;4;;;789;1;1;1;1;1;1;;;+11368595;+2307541;0;0
521;31;790;P;1;12;;263144;263166;;4;;;789;1;1;1;1;1;1;;;+11369634;+2306364;0;0
521;31;791;P;1;10;;263144;263145;;4;;;789;1;1;1;1;1;1;;;+11370873;+2306270;0;1
521;31;792;P;1;10;;263144;263143;;4;;;789;1;1;1;1;1;1;;;+11372605;+2305271;0;1
521;31;793;P;1;10;;263144;262999;;4;;;789;1;1;1;1;1;1;;;+11373495;+2304699;0;1
521;31;794;P;1;6;;263144;263133;;4;;;789;1;1;1;1;1;1;;;+11374104;+2304213;0;1
521;31;30102;P;1;1;;324639;324431;;11;;;30101;1;1;1;1;1;1;;;+11434728;+2300181;0;0
521;31;30103;P;1;3;;324639;324460;;11;;;30101;1;1;1;1;1;1;;;+11438810;+2304552;0;0
521;31;1499;P;1;10;;263165;263163;;4;;;866;1;1;1;1;1;1;;;+11373680;+2302569;0;1
521;31;867;P;1;10;;263165;263156;;4;;;866;1;1;1;1;1;1;;;+11373742;+2302540;0;1
521;31;868;P;1;10;;263165;263176;;4;;;866;1;1;1;1;1;1;;;+11374451;+2302437;0;1
521;31;19156;P;1;12;;112126;112124;;7;;;19155;1;1;1;1;1;1;;;+11337359;+2252070;0;1
521;31;19157;P;1;11;;112126;112245;;7;;;19155;1;1;1;1;1;1;;;+11337424;+2251930;0;1
521;31;19158;P;1;11;;112126;112242;;7;;;19155;1;1;1;1;1;1;;;+11337681;+2251899;0;1
521;31;18493;P;1;11;;112062;261832;;7;;;18492;1;1;1;1;1;1;;;+11344735;+2249143;0;1
521;31;18494;P;1;10;;112062;199782;;7;;;18492;1;1;1;1;1;1;;;+11343150;+2249710;0;1
521;31;18495;P;1;12;;112062;112064;;7;;;18492;1;1;1;1;1;1;;;+11342774;+2250412;0;1
521;31;18496;P;1;10;;112062;111987;;7;;;18492;1;1;1;1;1;1;;;+11342617;+2250755;0;1
521;31;18497;P;1;10;;112062;112065;;7;;;18492;1;1;1;1;1;1;;;+11342083;+2251742;0;1
521;31;18498;P;1;10;;112062;112030;;7;;;18492;1;1;1;1;1;1;;;+11341757;+2252207;0;1
521;31;18499;P;1;10;;112062;112052;;7;;;18492;1;1;1;1;1;1;;;+11340959;+2253451;0;1
521;31;18855;P;1;10;;199785;124762;;7;;;18854;1;1;1;1;1;1;;;+11344642;+2251414;0;1
521;31;18856;P;1;10;;199785;112158;;7;;;18854;1;1;1;1;1;1;;;+11343900;+2252766;0;1
521;31;12942;P;1;10;;35669;35493;;6;;;12941;1;1;1;1;1;1;;;+11357561;+2227092;0;1
521;31;13163;P;1;12;;35669;35672;;6;;;12941;1;1;1;1;1;1;;;+11357514;+2227259;0;1
521;31;12943;P;1;12;;35669;260412;;6;;;12941;1;1;1;1;1;1;;;+11357563;+2227380;0;1
521;31;12944;P;1;10;;35669;35641;;6;;;12941;1;1;1;1;1;1;;;+11357895;+2227525;0;1
521;31;12850;P;1;6;;35493;35492;;6;;;12849;1;1;1;1;1;1;;;+11354931;+2226996;0;1
521;31;13182;P;1;12;;35493;35650;;6;;;12849;1;1;1;1;1;1;;;+11355374;+2227074;0;1
521;31;13079;P;1;10;;35493;263003;;6;;;12849;1;1;1;1;1;1;;;+11355834;+2227155;0;1
521;31;13183;P;1;12;;35493;263166;;6;;;12849;1;1;1;1;1;1;;;+11356163;+2227146;0;1
521;31;12851;P;1;10;;35493;35491;;6;;;12849;1;1;1;1;1;1;;;+11356356;+2227137;0;1
521;31;13080;P;1;10;;35493;35654;;6;;;12849;1;1;1;1;1;1;;;+11357103;+2227025;0;1
521;31;13184;P;1;10;;35493;35669;;6;;;12849;1;1;1;1;1;1;;;+11357561;+2227092;0;1
521;31;12852;P;1;10;;35493;35641;;6;;;12849;1;1;1;1;1;1;;;+11357735;+2227007;0;1
521;31;30078;P;1;1;;324424;324444;;11;;;30077;1;1;1;1;1;1;;;+11438691;+2320170;0;0
521;31;30079;P;1;3;;324424;324445;;11;;;30077;1;1;1;1;1;1;;;+11446465;+2318865;0;0
521;31;30080;P;3;3;;324424;324446;;11;;;30077;1;1;1;1;1;1;;;+11449203;+2319217;0;0
521;31;30081;P;1;3;;324424;313109;;11;;;30077;1;1;1;1;1;1;;;+11457414;+2314696;0;0
521;31;30082;P;1;3;;324424;324392;;11;;;30077;1;1;1;1;1;1;;;+11463659;+2303304;0;0
521;31;30083;P;1;1;;324424;324428;;11;;;30077;1;1;1;1;1;1;;;+11464586;+2300823;0;0
521;31;30084;P;1;3;;324424;324423;;11;;;30077;1;1;1;1;1;1;;;+11465880;+2294063;0;0
521;31;30085;P;1;1;;324424;324386;;11;;;30077;1;1;1;1;1;1;;;+11468002;+2286277;0;0
521;31;30069;P;1;3;;324444;324435;;11;;;30068;1;1;1;1;1;1;;;+11385956;+2320354;0;0
521;31;30070;P;1;3;;324444;324436;;11;;;30068;1;1;1;1;1;1;;;+11391780;+2319920;0;0
521;31;30071;P;1;3;;324444;324437;;11;;;30068;1;1;1;1;1;1;;;+11397616;+2318640;0;0
521;31;30072;P;1;3;;324444;324438;;11;;;30068;1;1;1;1;1;1;;;+11404659;+2319050;0;0
521;31;30073;P;3;3;;324444;324439;;11;;;30068;1;1;1;1;1;1;;;+11408395;+2316762;0;0
521;31;30074;P;1;3;;324444;324440;;11;;;30068;1;1;1;1;1;1;;;+11413733;+2316013;0;0
521;31;30075;P;1;3;;324444;324441;;11;;;30068;1;1;1;1;1;1;;;+11426696;+2319111;0;0
521;31;30076;P;1;1;;324444;324424;;11;;;30068;1;1;1;1;1;1;;;+11438691;+2320170;0;0
521;31;12070;P;1;10;;149674;35469;;6;;;12069;1;1;1;1;1;1;;;+11354880;+2238112;0;0
521;31;12071;P;1;1;;149674;99871;;6;;;12069;1;1;1;1;1;1;;;+11353597;+2242140;0;0
521;31;12078;P;1;3;;99873;35466;;6;;;12064;1;1;1;1;1;1;;;+11346586;+2220256;0;1
521;31;12066;P;1;3;;99873;35464;;6;;;12064;1;1;1;1;1;1;;;+11346555;+2220986;0;1
521;31;12067;P;1;3;;99873;36966;;6;;;12064;1;1;1;1;1;1;;;+11346396;+2222337;0;0
521;31;12068;P;1;1;;99873;310307;;6;;;12064;1;1;1;1;1;1;;;+11342526;+2229985;0;0
521;31;12057;P;1;3;;99873;136982;;6;;;12064;1;1;1;1;1;1;;;+11346784;+2230979;0;0
521;31;12058;P;1;3;;99873;35461;;6;;;12064;1;1;1;1;1;1;;;+11349300;+2235959;0;0
521;31;12059;P;1;1;;99873;99871;;6;;;12064;1;1;1;1;1;1;;;+11353597;+2242140;0;0
521;31;12072;P;1;3;;99873;149677;;6;;;12064;1;1;1;1;1;1;;;+11354152;+2245926;0;0
521;31;51052;P;1;3;;324540;324541;;18;;;51051;1;1;1;1;1;1;;;+10972663;+2161890;0;0
521;31;51053;P;1;3;;324540;324542;;18;;;51051;1;1;1;1;1;1;;;+10977666;+2160369;0;0
521;31;51054;P;1;3;;324540;324543;;18;;;51051;1;1;1;1;1;1;;;+11000651;+2152039;0;0
521;31;51055;P;3;3;;324540;324544;;18;;;51051;1;1;1;1;1;1;;;+11004015;+2150725;0;0
