CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
521;31;18508;L;1;2;G105;136982;112067;112074;7;
521;31;12401;L;1;2;G105;35473;35471;49841;6;
521;31;18401;L;1;2;G105;112000;112001;112003;7;
521;31;18535;L;1;2;G105;112074;124795;112093;7;
521;31;18404;L;1;2;G105;112004;112003;112005;7;
521;31;18410;L;1;2;G105;112008;112007;112009;7;
521;31;18407;L;1;2;G105;112006;112005;112007;7;
521;31;12408;L;1;2;G105;35477;35478;35481;6;
521;31;12404;L;1;2;G105;35474;35475;35471;6;
521;31;12413;L;1;2;G105;35482;35481;35475;6;
521;31;18542;L;1;2;G105;112093;112074;111995;7;
521;31;19319;L;1;2;G105;111995;112093;324599;7;
521;31;18504;L;1;2;G105;112067;112009;199784;7;
521;31;829;L;1;4;;263086;313172;263088;4;
521;31;429;L;1;2;G107;263043;262998;263021;4;
521;31;39059;L;1;1;G107;324503;324504;324421;14;
521;31;1521;L;1;2;G107;274850;274183;264155;4;
521;31;718;L;1;2;G107;263131;274221;263025;4;
521;31;728;L;1;2;G107;263143;266542;263144;4;
521;31;754;L;1;2;G107;263174;263025;263043;4;
521;31;586;L;1;2;G107;263021;274727;263045;4;
521;31;789;L;1;2;G107;263144;274183;263133;4;
521;31;30101;L;1;1;G15;324639;324431;324460;11;
521;31;866;L;1;4;;263165;263163;263176;4;
521;31;19155;L;1;4;;112126;112124;112242;7;
521;31;18492;L;1;4;;112062;261832;112052;7;
521;31;18854;L;1;4;G324;199785;124762;112158;7;
521;31;12941;L;1;4;;35669;35493;35641;6;
521;31;12849;L;1;4;;35493;35492;35641;6;
521;31;30077;L;1;1;G35;324424;324444;324386;11;
521;31;30068;L;1;1;G35;324444;324435;324424;11;
521;31;12069;L;1;1;G4W;149674;35469;99871;6;
521;31;12064;L;1;1;G4W;99873;35466;149677;6;
521;31;51051;L;1;1;G15;324540;324541;324548;18;
521;31;78;L;1;1;G9411;299697;299693;324599;4;
