CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
521;31;117;L;3;0;G9411;299697;299693;299695;78;;4
521;31;82;L;3;0;G9411;299697;324386;324599;78;;4
521;31;12783;L;3;0;;137063;35480;99885;12782;;6
521;31;12784;L;3;0;;137063;99876;35622;12782;;6
521;31;12513;L;3;0;S272;310365;35529;135426;12512;;6
521;31;12515;L;3;0;S272;310365;35534;310311;12512;;6
521;31;12975;L;3;0;;136961;263003;99886;13329;;6
521;31;13330;L;3;0;;136961;35642;35678;13329;;6
521;31;12556;L;3;0;S365;310308;49795;99879;12555;;6
521;31;12557;L;3;0;S365;310308;35537;35718;12555;;6
521;31;12716;L;3;0;X291;135494;35602;49827;13056;;6
521;31;13057;L;3;0;X291;135494;49828;35607;13056;;6
521;31;12488;L;3;0;X590;35518;35516;35525;13044;;6
521;31;13045;L;3;0;X590;35518;35528;35527;13044;;6
521;31;1281;L;3;0;;263947;264028;264029;1280;;4
521;31;1282;L;3;0;;263947;263097;264033;1280;;4
521;31;1274;L;3;0;;264025;264022;264028;1273;;4
521;31;1275;L;3;0;;264025;264029;263947;1273;;4
521;31;18972;L;3;0;;112040;112225;112043;18978;;7
521;31;18979;L;3;0;;112040;112045;112046;18978;;7
521;31;13353;L;3;0;;35681;35680;49810;12985;;6
521;31;13354;L;3;0;;35681;49811;35617;12985;;6
521;31;3035;L;3;0;;263233;263178;263232;943;;4
521;31;3037;L;3;0;;263233;263230;263234;943;;4
521;31;1015;L;3;0;;263049;261991;266439;1014;;4
521;31;738;L;3;0;;263049;266437;263055;1014;;4
521;31;13340;L;3;0;;35589;35591;99883;12689;;6
521;31;13341;L;3;0;;35589;99884;35592;12689;;6
521;31;13458;L;3;0;;99875;35695;35477;13457;;6
521;31;13451;L;3;0;;99875;35478;35591;13457;;6
521;31;1404;L;3;0;;263141;263147;274554;1525;;4
521;31;1526;L;3;0;;263141;274552;274183;1525;;4
521;31;1871;L;3;0;;263208;263222;324705;1870;;4
521;31;1169;L;3;0;;263208;263137;263217;1870;;4
521;31;12924;L;3;0;;35666;35493;324704;13460;;6
521;31;13461;L;3;0;;35666;35643;35667;13460;;6
521;31;12913;L;3;0;;35664;35486;36910;13212;;6
521;31;13247;L;3;0;;35664;36909;263003;13212;;6
521;31;13400;L;3;0;;35658;35476;49806;13345;;6
521;31;12900;L;3;0;;35658;35155;35486;13345;;6
521;31;12970;L;3;0;;35621;35643;49823;13086;;6
521;31;13369;L;3;0;;35621;49824;49810;13086;;6
521;31;13087;L;3;0;;35621;49811;35617;13086;;6
521;31;12694;L;3;0;;35593;35695;99883;13453;;6
521;31;13454;L;3;0;;35593;99884;35592;13453;;6
