CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
521;31;117;;82
521;31;82;117;
521;31;12783;;12784
521;31;12784;12783;
521;31;12513;;12515
521;31;12515;12513;
521;31;12975;;13330
521;31;13330;12975;
521;31;12556;;12557
521;31;12557;12556;
521;31;12716;;13057
521;31;13057;12716;
521;31;12488;;13045
521;31;13045;12488;
521;31;1281;;1282
521;31;1282;1281;
521;31;1274;;1275
521;31;1275;1274;
521;31;18972;;18979
521;31;18979;18972;
521;31;13353;;13354
521;31;13354;13353;
521;31;3035;;3037
521;31;3037;3035;
521;31;1015;;738
521;31;738;1015;
521;31;13340;;13341
521;31;13341;13340;
521;31;13458;;13451
521;31;13451;13458;
521;31;1404;;1526
521;31;1526;1404;
521;31;1871;;1169
521;31;1169;1871;
521;31;12924;;13461
521;31;13461;12924;
521;31;12913;;13247
521;31;13247;12913;
521;31;13400;;12900
521;31;12900;13400;
521;31;12970;;13369
521;31;13369;12970;13087
521;31;13087;13369;
521;31;12694;;13454
521;31;13454;12694;
