CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
522;32;1882;L;3;0;;3240;1655;1662;5709;;1348
522;32;1886;L;3;0;;3240;3484;1588;5709;;1348
522;32;5328;L;3;0;G7;1502;1131;130;5017;;1348
522;32;3433;L;3;0;G7;1502;990;1841;5017;;1348
522;32;3472;L;3;0;G7;1502;1841;3733;5017;;1348
522;32;3889;L;3;0;S303;1982;3669;1491;3888;;1348
522;32;3895;L;3;0;S303;1982;1491;3830;3888;;1348
522;32;133;L;3;0;;528;2967;3445;873;;1348
522;32;223;L;3;0;;223;3445;1223;873;;1348
522;32;749;L;3;0;;224;1223;387;873;;1348
522;32;291;L;3;0;;221;387;2967;873;;1348
522;32;2090;L;3;0;X001;3610;1579;1701;5326;;1348
522;32;5322;L;3;0;X001;3610;3611;1582;5326;;1348
522;32;3929;L;3;0;X015;1999;1588;1988;3928;;1348
522;32;3932;L;3;0;X015;1999;3324;3814;3928;;1348
522;32;3642;L;3;0;;1903;21;3549;3641;;1348
522;32;3646;L;3;0;;1903;16;638;3641;;1348
522;32;1325;L;3;0;;1350;883;3825;5706;;1348
522;32;1326;L;3;0;;1350;1287;888;5706;;1348
522;32;5061;L;3;0;;3296;162;1131;5707;;1348
522;32;4431;L;3;0;;3296;3693;1678;5707;;1348
522;32;5252;L;3;0;;1708;2651;1220;5708;;1348
522;32;2022;L;3;0;;1708;1645;1709;5708;;1348
522;32;4700;L;3;0;;2208;351;1351;4699;;1348
522;32;4703;L;3;0;;2208;3587;1160;4699;;1348
522;32;5264;L;3;0;;1195;1422;188;5268;;1348
522;32;5269;L;3;0;;1195;3594;73;5268;;1348
522;32;2093;L;3;0;S317;1233;1736;1223;5710;;1348
522;32;5323;L;3;0;S317;1233;1582;3785;5710;;1348
522;32;994;L;3;0;;225;3750;1397;993;;1348
522;32;4917;L;3;0;;3276;1397;1587;993;;1348
522;32;1016;L;3;0;;227;1587;3833;993;;1348
522;32;1005;L;3;0;;226;3833;3750;993;;1348
522;32;1968;L;3;0;;1700;1353;3828;5712;;1348
522;32;5509;L;3;0;;1700;1701;165;5712;;1348
522;32;30;L;3;0;;213;897;1036;29;;1348
522;32;31;L;3;0;;214;1036;771;29;;1348
522;32;32;L;3;0;;215;771;721;29;;1348
522;32;33;L;3;0;;216;721;897;29;;1348
522;32;813;L;3;0;;1854;721;883;34;;1348
522;32;5689;L;3;0;;1387;883;52;34;;1348
522;32;5690;L;3;0;;1379;52;599;34;;1348
522;32;849;L;3;0;;1097;599;3506;34;;1348
522;32;5691;L;3;0;;462;3506;419;34;;1348
522;32;5692;L;3;0;;1141;419;1541;34;;1348
522;32;836;L;3;0;;3824;1541;15;34;;1348
522;32;5693;L;3;0;;1144;15;1285;34;;1348
522;32;5694;L;3;0;;1348;1285;911;34;;1348
522;32;825;L;3;0;;1447;911;200;34;;1348
522;32;5695;L;3;0;;1462;200;73;34;;1348
522;32;5696;L;3;0;;1484;73;721;34;;1348
522;32;99;L;3;0;;217;116;2061;98;;1348
522;32;100;L;3;0;;218;2061;92;98;;1348
522;32;101;L;3;0;;219;92;1751;98;;1348
522;32;102;L;3;0;;220;1751;116;98;;1348
522;32;774;L;3;0;;1349;1541;1143;27;;1348
522;32;5697;L;3;0;;1442;1143;739;27;;1348
522;32;5698;L;3;0;;1973;739;912;27;;1348
522;32;4866;L;3;0;;1460;912;3796;27;;1348
522;32;5699;L;3;0;;1593;3796;24;27;;1348
522;32;5700;L;3;0;;1645;24;719;27;;1348
522;32;800;L;3;0;;2651;719;907;27;;1348
522;32;5701;L;3;0;;1248;907;440;27;;1348
522;32;5702;L;3;0;;1378;440;2719;27;;1348
522;32;787;L;3;0;;1464;2719;388;27;;1348
522;32;5703;L;3;0;;399;388;421;27;;1348
522;32;5704;L;3;0;;1053;421;1541;27;;1348
522;32;5110;L;3;0;;494;174;1156;5714;;1348
522;32;143;L;3;0;;494;1155;124;5714;;1348
522;32;4309;L;3;0;;2396;2271;625;4825;;1348
522;32;4721;L;3;0;;2396;356;1446;4825;;1348
