CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
493;3;774;493;3;1370
493;3;1370;493;3;1413
493;3;1413;493;3;774
493;3;2505;493;3;2513
493;3;2513;493;3;2505
493;3;2925;493;3;2957
493;3;2957;493;3;2925
493;3;760;493;3;1178
493;3;1178;493;3;2515
493;3;2515;493;3;760
493;3;4166;493;3;4169
493;3;4169;493;3;4166
493;3;1369;493;3;1372
493;3;1372;493;3;1369
493;3;708;493;3;746
493;3;746;493;3;873
493;3;873;493;3;708
493;3;693;493;3;709
493;3;709;493;3;711
493;3;711;493;3;693
493;3;601;493;3;762
493;3;762;493;3;601
493;3;765;493;3;2517
493;3;2517;493;3;4182
493;3;4182;493;3;765
493;3;116;493;3;1400
493;3;1400;493;3;116
493;3;1192;493;3;1401
493;3;1401;493;3;2852
493;3;2852;493;3;1192
493;3;1402;493;3;1406
493;3;1406;493;3;1402
493;3;395;493;3;399
493;3;399;493;3;395
493;3;397;493;3;3924
493;3;3924;493;3;397
493;3;89;493;3;1091
493;3;1091;493;3;1101
493;3;1101;493;3;1225
493;3;1225;493;3;89
493;3;1092;493;3;1430
493;3;1430;493;3;1092
493;3;1079;493;3;1093
493;3;1093;493;3;1079
493;3;276;493;3;278
493;3;278;493;3;276
493;3;280;493;3;284
493;3;284;493;3;280
493;3;274;493;3;282
493;3;282;493;3;274
493;3;875;493;3;877
493;3;877;493;3;1197
493;3;1197;493;3;875
493;3;1082;493;3;1208
493;3;1208;493;3;1082
493;3;2883;493;3;2884
493;3;2884;493;3;2883
493;3;1200;493;3;4578
493;3;4578;493;3;1200
493;3;1083;493;3;1227
493;3;1227;493;3;1083
493;3;659;493;3;4562
493;3;4562;493;3;659
493;3;719;493;3;772
493;3;772;493;3;821
493;3;821;493;3;848
493;3;848;493;3;719
493;3;581;493;3;896
493;3;896;493;3;1219
493;3;1219;493;3;2589
493;3;2589;493;3;581
493;3;1124;493;3;1215
493;3;1215;493;3;1124
493;3;1088;493;3;1104
493;3;1104;493;3;1221
493;3;1221;493;3;1088
493;3;1222;493;3;1224
493;3;1224;493;3;2564
493;3;2564;493;3;2569
493;3;2569;493;3;1222
493;3;880;493;3;882
493;3;882;493;3;886
493;3;886;493;3;1121
493;3;1121;493;3;880
493;3;1122;493;3;1146
493;3;1146;493;3;1122
493;3;618;493;3;1123
493;3;1123;493;3;618
493;3;1086;493;3;1491
493;3;1491;493;3;1086
493;3;4563;493;3;4564
493;3;4564;493;3;4563
493;3;591;493;3;1084
493;3;1084;493;3;591
493;3;1085;493;3;1096
493;3;1096;493;3;1213
493;3;1213;493;3;1085
493;3;2880;493;3;2882
493;3;2882;493;3;2880
493;3;4191;493;3;4597
493;3;4597;493;3;4191
493;3;706;493;3;735
493;3;735;493;3;706
493;3;713;493;3;736
493;3;736;493;3;713
493;3;701;493;3;737
493;3;737;493;3;701
493;3;78;493;3;738
493;3;738;493;3;78
493;3;739;493;3;879
493;3;879;493;3;1145
493;3;1145;493;3;739
493;3;2518;493;3;4566
493;3;4566;493;3;2518
493;3;367;493;3;369
493;3;369;493;3;367
493;3;981;493;3;990
493;3;990;493;3;992
493;3;992;493;3;1003
493;3;1003;493;3;981
493;3;993;493;3;3030
493;3;3030;493;3;993
493;3;994;493;3;996
493;3;996;493;3;1000
493;3;1000;493;3;3035
493;3;3035;493;3;994
493;3;153;493;3;1518
493;3;1518;493;3;153
493;3;1529;493;3;1533
493;3;1533;493;3;1529
493;3;62;493;3;94
493;3;94;493;3;62
493;3;1633;493;3;4586
493;3;4586;493;3;4588
493;3;4588;493;3;1633
493;3;64;493;3;70
493;3;70;493;3;64
493;3;66;493;3;937
493;3;937;493;3;66
493;3;148;493;3;158
493;3;158;493;3;148
493;3;4186;493;3;4552
493;3;4552;493;3;4186
493;3;1543;493;3;1562
493;3;1562;493;3;1543
493;3;1563;493;3;1574
493;3;1574;493;3;1563
493;3;1567;493;3;1573
493;3;1573;493;3;1567
