CID;LID;NID;NTRANSLATION
493;2;1;ya zhou
493;3;1;Asia
493;2;2;zhong guo
493;3;2;China
493;2;3;chong qing
493;3;3;Chongqing
493;2;4;chong qing shi
493;3;4;CHONGQING
493;2;9;G212
493;3;9;G212
493;2;10;G319
493;3;10;G319
493;2;12;bai he lu
493;3;12;Baihe Rd
493;2;13;bei bin yi lu
493;3;13;Beibinyi Rd
493;2;14;bei qu lu
493;3;14;Beiqu Rd
493;2;15;cai yuan lu
493;3;15;Caiyuan Rd
493;2;16;cang bai lu
493;3;16;Cangbai Rd
493;2;20;chang jiang yi lu
493;3;20;Changjiangyi Rd
493;2;22;chao dong lu
493;3;22;Chaodong Rd
493;2;26;chuang xin da dao
493;3;26;Chuangxin Blvd
493;2;27;chuang ye da dao
493;3;27;Chuangye Blvd
493;2;29;chun hui lu
493;3;29;Chunhui Rd
493;2;33;da tong jie
493;3;33;Datong St
493;2;34;da ping zheng jie
493;3;34;Dapingzheng St
493;2;36;da xi gou jie
493;3;36;Daxigou St
493;2;37;dan hui lu
493;3;37;Danhui Rd
493;2;39;dan guang lu
493;3;39;Danguang Rd
493;2;40;dan zi shi xin jie
493;3;40;Danzishi St
493;2;42;e gong yan da qiao
493;3;42;Egongyan Brg
493;2;43;feng lin lu
493;3;43;Fenglin Rd
493;2;44;feng tian da dao
493;3;44;Fengtian Blvd
493;2;45;feng zhong lu
493;3;45;Fengzhong Rd
493;2;47;guang dian lu
493;3;47;Guangdian Rd
493;2;48;hai er lu
493;3;48;Haier Rd
493;2;51;han yu lu
493;3;51;Hanyu Rd
493;2;52;he ping lu
493;3;52;Heping Rd
493;2;54;hong huang lu
493;3;54;Honghuang Rd
493;2;55;hong jin da dao
493;3;55;Hongjin Blvd
493;2;57;hong shi da dao
493;3;57;Hongshi Blvd
493;2;58;hong shi xi lu
493;3;58;Hongshi West Rd
493;2;59;hong shi lu
493;3;59;Hongshi Rd
493;2;60;hong yan lu
493;3;60;Hongyan Rd
493;2;62;hua long da dao
493;3;62;Hualong Blvd
493;2;63;hua tang lu
493;3;63;Huatang Rd
493;2;66;huang hua yuan da qiao
493;3;66;Huanghuayuan Brg
493;2;67;huang jue ping jie
493;3;67;Huangjueping St
493;2;68;huang jue ping zheng jie
493;3;68;Huangjuepingzheng St
493;2;72;jia hua sui dao
493;3;72;Jiahua Tunl
493;2;74;jia ling jiang da qiao
493;3;74;Jialingjiang Brg
493;2;76;jian xin dong lu
493;3;76;Jianxin East Rd
493;2;77;jian xin nan lu
493;3;77;Jianxin South Rd
493;2;79;jian long bei lu
493;3;79;Jianlong North Rd
493;2;80;jian long lu
493;3;80;Jianlong Rd
493;2;81;jiang nan da dao
493;3;81;Jiangnan Blvd
493;2;84;jin kai da dao
493;3;84;Jinkai Blvd
493;2;85;jin kai da dao xi duan
493;3;85;Jinkai Blvd West Sect
493;2;90;jin yuan lu
493;3;90;Jinyuan Rd
493;2;91;jin long lu
493;3;91;Jinlong Rd
493;2;97;ke yuan liu lu
493;3;97;Keyuanliu Rd
493;2;98;ke yuan si lu
493;3;98;Keyuansi Rd
493;2;99;li zi ba zheng jie
493;3;99;Lizibazheng St
493;2;101;lin jiang zhi lu
493;3;101;Linjiang Byp
493;2;102;long hua da dao
493;3;102;Longhua Blvd
493;2;103;long quan lu
493;3;103;Longquan Rd
493;2;105;long teng da dao
493;3;105;Longteng Blvd
493;2;106;long yin lu
493;3;106;Longyin Rd
493;2;107;min an da dao
493;3;107;Min'an Blvd
493;2;108;min quan lu
493;3;108;Minquan Rd
493;2;109;min sheng lu
493;3;109;Minsheng Rd
493;2;113;nan bin lu
493;3;113;Nanbin Rd
493;2;115;nan ping dong lu
493;3;115;Nanping East Rd
493;2;116;nan ping xi lu
493;3;116;Nanping West Rd
493;2;126;sha ping ba zhan xi lu
493;3;126;Shapingbazhan West Rd
493;2;128;shang qing si lu
493;3;128;Shangqingsi Rd
493;2;129;shi huang sui dao
493;3;129;Shihuang Tunl
493;2;135;shi xin lu
493;3;135;Shixin Rd
493;2;143;song shi da dao
493;3;143;Songshi Blvd
493;2;144;tai shan da dao dong duan
493;3;144;Taishan Blvd East Sect
493;2;146;tian chen lu
493;3;146;Tianchen Rd
493;2;156;xin hua lu
493;3;156;Xinhua Rd
493;2;158;xin nan lu
493;3;158;Xinnan Rd
493;2;162;xing sheng lu
493;3;162;Xingsheng Rd
493;2;165;xue fu da dao
493;3;165;Xuefu Blvd
493;2;167;yang jia ping heng jie
493;3;167;Yangjiaping St
493;2;170;yu ao da dao
493;3;170;Yuao Blvd
493;2;175;yu nan da dao
493;3;175;Yu'nan Blvd
493;2;183;zhi gang da dao
493;3;183;Zhigang Blvd
493;2;184;zhong shan er lu
493;3;184;Zhongshaner Rd
493;2;190;zou rong lu
493;3;190;Zourong Rd
493;2;200;shi xiao lu
493;3;200;Shixiao Rd
493;2;203;wang xing lu
493;3;203;Wangxing Rd
493;2;204;xiang fu lu
493;3;204;Xiangfu Rd
493;2;206;jian qiao da dao
493;3;206;Jianqiao Blvd
493;2;211;ci tong lu
493;3;211;Citong Rd
493;2;224;dan long lu
493;3;224;Danlong Rd
493;2;225;tao yuan lu
493;3;225;Taoyuan Rd
493;2;226;da shi lu
493;3;226;Dashi Rd
493;2;227;nan hu lu
493;3;227;Nanhu Rd
493;2;228;pan xi lu
493;3;228;Panxi Rd
493;2;230;xing zhu lu
493;3;230;Xingzhu Rd
493;2;234;wu jian lu
493;3;234;Wujian Rd
493;2;236;ren min lu
493;3;236;Renmin Rd
493;2;238;lin jiang lu
