CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
493;3;1408;P;3;37;;768;1035;;4;;1404;;1;1;1;1;1;1;;;+10684122;+2850002;0;0
493;3;1409;P;1;3;;768;1763;;4;;1404;;1;1;1;1;1;1;;;+10676920;+2865751;0;0
493;3;1410;P;1;3;;768;1036;;4;;1404;;1;1;1;1;1;1;;;+10667876;+2875280;0;0
493;3;1411;P;1;12;;768;1033;;4;;1404;;1;1;1;1;1;1;;;+10669050;+2893522;0;0
493;3;1412;P;1;12;;768;1022;;4;;1404;;1;1;1;1;1;1;;;+10656822;+2926821;0;0
493;3;1413;P;1;10;;768;175;;4;;1404;;1;1;1;1;1;1;;;+10653864;+2937600;2513;0
493;3;2513;P;1;10;;768;1166;;4;;2512;;1;1;1;1;1;1;;;+10651225;+2937778;1413;1
493;3;2514;P;1;12;;768;204;;4;;2512;;1;1;1;1;1;1;;;+10649028;+2941748;0;0
493;3;2925;P;1;12;;768;1764;;4;;2512;;1;1;1;1;1;1;;;+10648186;+2942858;0;0
493;3;2515;P;1;10;;768;863;;4;;2512;;1;1;1;1;1;1;;;+10648480;+2943112;4166;0
493;3;4166;P;1;10;;768;2087;;4;;1405;;1;1;1;1;1;1;;;+10663705;+2977153;2515;0
493;3;1407;P;1;12;;768;2339;;4;;1405;;1;1;1;1;1;1;;;+10675065;+2999425;0;0
493;3;2505;P;1;10;;1166;768;;4;;;1368;1;1;1;1;1;1;;;+10651225;+2937778;0;1
493;3;1369;P;1;10;;1166;1857;;4;;;1368;1;1;1;1;1;1;;;+10652767;+2937648;0;1
493;3;1370;P;1;10;;1166;175;;4;;;1368;1;1;1;1;1;1;;;+10653864;+2937600;0;0
493;3;708;P;1;10;;280;394;;4;;;707;1;1;1;1;1;1;;;+10644075;+2950574;0;1
493;3;709;P;1;10;;280;27;;4;;;707;1;1;1;1;1;1;;;+10645089;+2950393;0;1
493;3;1178;P;1;10;;280;863;;4;;;1177;1;1;1;1;1;1;;;+10648480;+2943112;0;0
493;3;761;P;1;10;;280;206;;4;;;1177;1;1;1;1;1;1;;;+10647793;+2944908;0;0
493;3;762;P;1;10;;280;285;;4;;;1177;1;1;1;1;1;1;;;+10647971;+2945788;0;0
493;3;4182;P;1;10;;280;381;;4;;;1177;1;1;1;1;1;1;;;+10648212;+2946001;0;0
493;3;1400;P;1;3;;872;2338;;4;;;1399;1;1;1;1;1;1;;;+10663484;+2971881;0;1
493;3;1401;P;1;6;;872;10;;4;;;1399;1;1;1;1;1;1;;;+10663144;+2973043;0;1
493;3;1402;P;1;12;;872;2388;;4;;;1399;1;1;1;1;1;1;;;+10663065;+2973395;0;1
493;3;1406;P;1;12;;2087;2388;;4;;;4168;1;1;1;1;1;1;;;+10663065;+2973395;0;1
493;3;4167;P;1;3;;2087;1080;;4;;;4168;1;1;1;1;1;1;;;+10663219;+2975995;0;0
493;3;4169;P;1;10;;2087;768;;4;;;4168;1;1;1;1;1;1;;;+10663705;+2977153;0;0
493;3;757;P;3;37;;863;1151;;4;;;756;1;1;1;1;1;1;;;+10652819;+2939132;0;0
493;3;758;P;1;12;;863;203;;4;;;756;1;1;1;1;1;1;;;+10652047;+2940448;0;0
493;3;759;P;1;12;;863;204;;4;;;756;1;1;1;1;1;1;;;+10650501;+2942381;0;0
493;3;760;P;1;10;;863;280;;4;;;756;1;1;1;1;1;1;;;+10648480;+2943112;0;0
493;3;399;P;4;0;;;1567;;4;;;398;;;;;;;;;+10645056;+2955986;0;1
493;3;397;P;4;0;;;2048;;4;;;396;;;;;;;;;+10645528;+2956606;0;1
493;3;1091;P;1;3;;9;1540;;4;;;1090;1;1;1;1;1;1;;;+10645303;+2956317;0;1
493;3;1092;P;1;10;;9;619;;4;;;1090;1;1;1;1;1;1;;;+10644887;+2956283;0;0
493;3;1093;P;1;6;;9;211;;4;;;1090;1;1;1;1;1;1;;;+10644626;+2957739;0;0
493;3;1094;P;1;10;;9;2089;;4;;;1090;1;1;1;1;1;1;;;+10644009;+2958864;0;0
493;3;1181;P;1;12;;9;864;;4;;;1090;1;1;1;1;1;1;;;+10644279;+2961180;0;0
493;3;1182;P;1;12;;9;865;;4;;;1090;1;1;1;1;1;1;;;+10644441;+2964852;0;0
493;3;1183;P;1;3;;9;2090;;4;;;1090;1;1;1;1;1;1;;;+10645628;+2972400;0;0
493;3;4170;P;1;3;;9;1080;;4;;;1090;1;1;1;1;1;1;;;+10647664;+2978705;0;0
493;3;1184;P;1;12;;9;2389;;4;;;1090;1;1;1;1;1;1;;;+10643187;+2982257;0;1
493;3;1445;P;1;11;;9;2092;;4;;;1090;1;1;1;1;1;1;;;+10641826;+2983453;0;0
493;3;1185;P;1;12;;9;868;;4;;;1090;1;1;1;1;1;1;;;+10639087;+2988785;0;0
493;3;1186;P;1;11;;9;1405;;4;;;1090;1;1;1;1;1;1;;;+10634949;+2993874;0;0
493;3;1187;P;1;8;;9;1406;;4;;;1090;1;1;1;1;1;1;;;+10625675;+2998158;0;1
493;3;1188;P;1;11;;9;2093;;4;;;1090;1;1;1;1;1;1;;;+10625646;+3000134;0;1
493;3;278;P;4;0;;;1377;;4;;;277;;;;;;;;;+10631358;+2965702;0;0
493;3;280;P;4;0;;;1378;;4;;;279;;;;;;;;;+10631735;+2965493;0;0
493;3;282;P;4;0;;;1379;;4;;;281;;;;;;;;;+10631569;+2965566;0;0
493;3;1192;P;1;10;;10;872;;4;;1190;;1;1;1;1;1;1;;;+10663144;+2973043;0;1
493;3;1193;P;1;10;;10;874;;4;;1190;;1;1;1;1;1;1;;;+10666816;+2973311;0;0
493;3;2927;P;1;12;;10;1890;;4;;1190;;1;1;1;1;1;1;;;+10667184;+2972989;0;0
493;3;1194;P;1;12;;10;875;;4;;1190;;1;1;1;1;1;1;;;+10672411;+2971923;0;0
493;3;1195;P;1;11;;10;2474;;4;;1190;;1;1;1;1;1;1;;;+10682615;+2976214;0;0
493;3;1196;P;1;12;;10;877;;4;;1190;;1;1;1;1;1;1;;;+10687330;+2976618;1197;0
493;3;1197;P;1;11;;10;45;;4;;1191;;1;1;1;1;1;1;;;+10644569;+2952421;1196;1
493;3;1082;P;1;12;;10;2100;;4;;1191;;1;1;1;1;1;1;;;+10644187;+2952546;0;0
