CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
493;3;1403;L;1;2;G210;768;1035;2339;4;
493;3;1368;L;1;2;G210;1166;768;175;4;
493;3;707;L;1;4;;280;394;27;4;
493;3;1177;L;1;2;G210;280;863;381;4;
493;3;1399;L;1;2;G210;872;2338;2388;4;
493;3;4168;L;1;2;G210;2087;2388;768;4;
493;3;756;L;1;4;;863;1151;280;4;
493;3;398;L;7;0;;;9;1540;4;
493;3;396;L;7;0;;;9;1556;4;
493;3;1090;L;1;2;G212;9;1540;2093;4;
493;3;277;L;7;0;;;10;1080;4;
493;3;279;L;7;0;;;10;1353;4;
493;3;281;L;7;0;;;10;1356;4;
493;3;1189;L;1;2;;10;872;1346;4;
493;3;872;L;1;4;G319;45;280;889;4;
493;3;1080;L;1;2;G319;889;1350;890;4;
493;3;1235;L;1;3;;103;276;1223;4;
493;3;1234;L;1;2;G319;103;200;51;4;
493;3;1223;L;1;2;G319;895;894;1540;4;
493;3;1220;L;1;2;G319;894;51;895;4;
493;3;1120;L;1;3;;200;135;1144;4;
493;3;1210;L;1;2;G319;891;890;146;4;
493;3;2881;L;1;4;;1325;881;1326;4;
493;3;1212;L;1;2;G319;1144;146;361;4;
493;3;734;L;1;4;;381;2129;135;4;
493;3;2516;L;1;3;;381;280;285;4;
493;3;368;L;7;0;;;1414;1080;4;
493;3;991;L;1;3;;236;612;36;4;
493;3;1589;L;1;1;G42;1163;1168;2071;4;
493;3;1517;L;1;1;G50;1586;1540;1921;4;
493;3;1579;L;2;1;G93;1080;;;4;
493;3;68;L;1;1;G65;1890;48;933;4;
493;3;170;L;1;1;G65;1890;1763;2112;4;
493;3;1002;L;1;3;;74;128;63;4;
493;3;51;L;1;1;G75;1763;1540;2114;4;
493;3;159;L;1;1;G75;1763;1035;1540;4;
493;3;76;L;1;1;G85;1790;1789;632;4;
493;3;1570;L;1;1;G93;1531;1530;1080;4;
493;3;1588;L;1;1;G93;1531;1540;1799;4;
493;3;1312;L;1;4;;994;224;165;4;
493;3;1421;L;1;3;S103;575;1540;1182;4;
493;3;1307;L;1;4;;227;1127;675;4;
493;3;1484;L;1;4;;227;1132;1131;4;
493;3;1380;L;1;3;S104;1064;175;1014;4;
493;3;1374;L;1;3;S106;1011;1857;1012;4;
493;3;1371;L;1;3;S106;1857;1166;1011;4;
493;3;2892;L;1;4;S107;1313;1531;2062;4;
493;3;2862;L;1;4;;1317;1316;908;4;
493;3;486;L;1;4;;52;364;108;4;
493;3;500;L;1;4;;621;469;248;4;
493;3;504;L;1;4;;844;467;469;4;
493;3;1274;L;1;4;;986;926;524;4;
493;3;1456;L;1;3;S303;2086;768;289;4;
493;3;2868;L;1;4;X553;1321;908;1322;4;
493;3;2907;L;1;4;;2131;1335;881;4;
493;3;305;L;7;0;;;1849;1440;4;
493;3;2637;L;1;4;;1240;97;1238;4;
493;3;2527;L;1;4;;267;1194;29;4;
493;3;4472;L;1;4;;985;2346;986;4;
493;3;4468;L;1;4;;985;984;524;4;
493;3;2646;L;1;4;;773;1242;175;4;
