CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
493;3;1404;L;3;0;G210;768;1035;175;1403;;4
493;3;2512;L;3;0;G210;768;1166;863;1403;;4
493;3;1405;L;3;0;G210;768;2087;2339;1403;;4
493;3;1190;L;3;0;;10;872;877;1189;;4
493;3;1191;L;3;0;;10;45;1346;1189;;4
493;3;227;L;3;0;;1535;1763;1339;1579;;4
493;3;1578;L;3;0;;1534;1339;2105;1579;;4
493;3;1577;L;3;0;;1536;2105;1930;1579;;4
493;3;1575;L;3;0;;1537;1930;1763;1579;;4
493;3;442;L;3;0;;288;831;2323;2935;;4
493;3;2936;L;3;0;;288;29;298;2935;;4
493;3;696;L;3;0;;278;27;381;4611;;4
493;3;4612;L;3;0;;278;2473;2134;4611;;4
493;3;2624;L;3;0;;1233;535;514;2623;;4
493;3;2627;L;3;0;;1233;514;301;2623;;4
493;3;1130;L;3;0;;527;532;1881;2949;;4
493;3;2951;L;3;0;;527;2161;102;2949;;4
493;3;63;L;3;0;;1541;1763;2129;53;;4
493;3;84;L;3;0;;1542;2129;2163;53;;4
493;3;91;L;3;0;;1543;2163;39;53;;4
493;3;96;L;3;0;;1544;39;1763;53;;4
493;3;4243;L;3;0;;2158;2159;532;4554;;4
493;3;3011;L;3;0;;2158;2329;2180;4554;;4
493;3;600;L;3;0;;285;280;1004;4607;;4
493;3;4608;L;3;0;;285;2472;289;4607;;4
493;3;1493;L;3;0;;146;679;2171;4604;;4
493;3;1095;L;3;0;;146;891;678;4604;;4
493;3;4437;L;3;0;;2259;376;2471;4605;;4
493;3;4440;L;3;0;;2259;542;1298;4605;;4
493;3;1240;L;3;0;;190;926;238;2508;;4
493;3;2509;L;3;0;;190;986;156;2508;;4
