CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
493;3;1404;;2512
493;3;2512;1404;1405
493;3;1405;2512;
493;3;1190;;1191
493;3;1191;1190;
493;3;227;1575;1578
493;3;1578;227;1577
493;3;1577;1578;1575
493;3;1575;1577;227
493;3;442;;2936
493;3;2936;442;
493;3;696;;4612
493;3;4612;696;
493;3;2624;;2627
493;3;2627;2624;
493;3;1130;;2951
493;3;2951;1130;
493;3;63;96;84
493;3;84;63;91
493;3;91;84;96
493;3;96;91;63
493;3;4243;;3011
493;3;3011;4243;
493;3;600;;4608
493;3;4608;600;
493;3;1493;;1095
493;3;1095;1493;
493;3;4437;;4440
493;3;4440;4437;
493;3;1240;;2509
493;3;2509;1240;
