CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
348;46;18480;348;46;18492
348;46;18492;348;46;18480
348;46;18481;348;46;18497
348;46;18497;348;46;18481
348;46;18464;348;46;18476
348;46;18476;348;46;18484
348;46;18484;348;46;18504
348;46;18504;348;46;18464
348;46;18466;348;46;18477
348;46;18477;348;46;18466
348;46;18423;348;46;18455
348;46;18455;348;46;18463
348;46;18463;348;46;18506
348;46;18506;348;46;18423
348;46;18467;348;46;18470
348;46;18470;348;46;18522
348;46;18522;348;46;18615
348;46;18615;348;46;18467
348;46;18590;348;46;18592
348;46;18592;348;46;18746
348;46;18746;348;46;18590
348;46;18567;348;46;18569
348;46;18569;348;46;18647
348;46;18647;348;46;18959
348;46;18959;348;46;18567
348;46;18570;348;46;18962
348;46;18962;348;46;18570
348;46;18571;348;46;19005
348;46;19005;348;46;18571
348;46;18572;348;46;18640
348;46;18640;348;46;18572
348;46;18552;348;46;18554
348;46;18554;348;46;18613
348;46;18613;348;46;18552
348;46;18555;348;46;18818
348;46;18818;348;46;18555
348;46;18556;348;46;18558
348;46;18558;348;46;18556
348;46;18566;348;46;18923
348;46;18923;348;46;18948
348;46;18948;348;46;18566
348;46;18940;348;46;18949
348;46;18949;348;46;18940
348;46;18950;348;46;18958
348;46;18958;348;46;18950
348;46;18951;348;46;18953
348;46;18953;348;46;18951
348;46;18961;348;46;18964
348;46;18964;348;46;18961
348;46;18965;348;46;19004
348;46;19004;348;46;18965
348;46;18802;348;46;18804
348;46;18804;348;46;18802
348;46;18805;348;46;18834
348;46;18834;348;46;18805
348;46;18755;348;46;18806
348;46;18806;348;46;18755
348;46;18784;348;46;18796
348;46;18796;348;46;18919
348;46;18919;348;46;18925
348;46;18925;348;46;18784
348;46;18926;348;46;18928
348;46;18928;348;46;18926
348;46;18527;348;46;18529
348;46;18529;348;46;18537
348;46;18537;348;46;18527
348;46;18474;348;46;18530
348;46;18530;348;46;18474
348;46;18683;348;46;18693
348;46;18693;348;46;18695
348;46;18695;348;46;18683
348;46;18842;348;46;18862
348;46;18862;348;46;18842
348;46;18863;348;46;18907
348;46;18907;348;46;18863
348;46;18864;348;46;18893
348;46;18893;348;46;18899
348;46;18899;348;46;18864
348;46;18623;348;46;18865
348;46;18865;348;46;18623
348;46;18866;348;46;18915
348;46;18915;348;46;18866
348;46;18867;348;46;18921
348;46;18921;348;46;18867
348;46;18651;348;46;18868
348;46;18868;348;46;18932
348;46;18932;348;46;18651
348;46;18657;348;46;18869
348;46;18869;348;46;18657
348;46;18935;348;46;18937
348;46;18937;348;46;18935
348;46;18628;348;46;18630
348;46;18630;348;46;18938
348;46;18938;348;46;18628
348;46;18939;348;46;18943
348;46;18943;348;46;18945
348;46;18945;348;46;18939
348;46;18696;348;46;18700
348;46;18700;348;46;18696
348;46;18767;348;46;18769
348;46;18769;348;46;19064
348;46;19064;348;46;18767
348;46;19006;348;46;19008
348;46;19008;348;46;19062
348;46;19062;348;46;19006
348;46;18809;348;46;18811
348;46;18811;348;46;18871
348;46;18871;348;46;18809
348;46;18872;348;46;18874
348;46;18874;348;46;18872
348;46;18978;348;46;18981
348;46;18981;348;46;18994
348;46;18994;348;46;18978
348;46;18995;348;46;18999
348;46;18999;348;46;19001
348;46;19001;348;46;18995
348;46;18642;348;46;18996
348;46;18996;348;46;18642
348;46;18485;348;46;18493
348;46;18493;348;46;18485
348;46;18489;348;46;18494
348;46;18494;348;46;18489
348;46;18835;348;46;18837
348;46;18837;348;46;18835
348;46;18799;348;46;18801
348;46;18801;348;46;18799
348;46;18770;348;46;18772
348;46;18772;348;46;18787
348;46;18787;348;46;18770
348;46;18788;348;46;19023
348;46;19023;348;46;18788
348;46;18790;348;46;19024
348;46;19024;348;46;18790
348;46;18875;348;46;18877
348;46;18877;348;46;18875
348;46;18879;348;46;18881
348;46;18881;348;46;19055
348;46;19055;348;46;18879
348;46;18659;348;46;18665
348;46;18665;348;46;18659
348;46;18666;348;46;18985
348;46;18985;348;46;18666
348;46;18667;348;46;18974
348;46;18974;348;46;18667
348;46;18539;348;46;18668
348;46;18668;348;46;18539
348;46;18756;348;46;18758
348;46;18758;348;46;18775
348;46;18775;348;46;18756
348;46;18776;348;46;18786
348;46;18786;348;46;18776
348;46;18777;348;46;18853
348;46;18853;348;46;18777
348;46;18779;348;46;18780
348;46;18780;348;46;18904
348;46;18904;348;46;18779
348;46;18513;348;46;18531
348;46;18531;348;46;18513
348;46;18532;348;46;18543
348;46;18543;348;46;18532
348;46;18888;348;46;18890
348;46;18890;348;46;18888
348;46;18829;348;46;18892
348;46;18892;348;46;18829
348;46;18721;348;46;18724
348;46;18724;348;46;18726
348;46;18726;348;46;18721
348;46;18727;348;46;18730
348;46;18730;348;46;18727
348;46;18711;348;46;18713
348;46;18713;348;46;18728
348;46;18728;348;46;18711
348;46;18714;348;46;18716
348;46;18716;348;46;18731
348;46;18731;348;46;18714
348;46;18658;348;46;18670
348;46;18670;348;46;18658
348;46;18671;348;46;18673
348;46;18673;348;46;18982
348;46;18982;348;46;18984
348;46;18984;348;46;18671
348;46;18523;348;46;18525
348;46;18525;348;46;18523
348;46;18520;348;46;18526
348;46;18526;348;46;18520
348;46;18708;348;46;18710
348;46;18710;348;46;18708
348;46;18697;348;46;18704
348;46;18704;348;46;18697
348;46;18603;348;46;18619
348;46;18619;348;46;18603
348;46;18621;348;46;18762
348;46;18762;348;46;18621
348;46;18622;348;46;18858
348;46;18858;348;46;18622
348;46;18624;348;46;18830
348;46;18830;348;46;18624
348;46;18564;348;46;18625
348;46;18625;348;46;18627
348;46;18627;348;46;18564
348;46;18649;348;46;18988
348;46;18988;348;46;18649
348;46;18812;348;46;18814
348;46;18814;348;46;18812
348;46;18641;348;46;18992
348;46;18992;348;46;18641
348;46;18634;348;46;18636
348;46;18636;348;46;18634
348;46;18637;348;46;18644
348;46;18644;348;46;18637
348;46;18488;348;46;18503
348;46;18503;348;46;18488
348;46;18490;348;46;18517
348;46;18517;348;46;18519
348;46;18519;348;46;18617
348;46;18617;348;46;18490
348;46;18581;348;46;18689
348;46;18689;348;46;18581
348;46;18792;348;46;18795
348;46;18795;348;46;18792
348;46;18510;348;46;18514
348;46;18514;348;46;18510
348;46;18502;348;46;18509
348;46;18509;348;46;18502
348;46;18511;348;46;18516
348;46;18516;348;46;18534
348;46;18534;348;46;18511
348;46;18542;348;46;18574
348;46;18574;348;46;18588
348;46;18588;348;46;18542
348;46;18589;348;46;18680
348;46;18680;348;46;18589
348;46;18631;348;46;18633
348;46;18633;348;46;18956
348;46;18956;348;46;18631
348;46;18946;348;46;18957
348;46;18957;348;46;18946
348;46;18544;348;46;18546
348;46;18546;348;46;18544
348;46;18547;348;46;18719
348;46;18719;348;46;18547
348;46;18548;348;46;18723
348;46;18723;348;46;18548
348;46;18549;348;46;18551
348;46;18551;348;46;18549
