CID;TABCD;LCD;ALLOCATED
348;46;1;1
348;46;2;1
348;46;18051;1
348;46;18052;1
348;46;18478;1
348;46;18479;1
348;46;18480;1
348;46;18481;1
348;46;18482;1
348;46;18475;1
348;46;18476;1
348;46;18477;1
348;46;18461;1
348;46;18462;1
348;46;18463;1
348;46;18464;1
348;46;18465;1
348;46;18466;1
348;46;18467;1
348;46;18744;1
348;46;18745;1
348;46;18746;1
348;46;18568;1
348;46;18569;1
348;46;18570;1
348;46;18571;1
348;46;18572;1
348;46;19037;1
348;46;19038;1
348;46;19039;1
348;46;18553;1
348;46;18554;1
348;46;18555;1
348;46;18556;1
348;46;18500;1
348;46;18947;1
348;46;18948;1
348;46;18949;1
348;46;18950;1
348;46;18951;1
348;46;18963;1
348;46;18964;1
348;46;18965;1
348;46;18966;1
348;46;18803;1
348;46;18804;1
348;46;18805;1
348;46;18806;1
348;46;19028;1
348;46;19029;1
348;46;19030;1
348;46;18924;1
348;46;18925;1
348;46;18926;1
348;46;18528;1
348;46;18529;1
348;46;18530;1
348;46;18691;1
348;46;18692;1
348;46;18693;1
348;46;18861;1
348;46;18862;1
348;46;18863;1
348;46;18864;1
348;46;18865;1
348;46;18866;1
348;46;18867;1
348;46;18868;1
348;46;18869;1
348;46;18936;1
348;46;18937;1
348;46;18938;1
348;46;18939;1
348;46;18940;1
348;46;18698;1
348;46;18699;1
348;46;18700;1
348;46;18701;1
348;46;18765;1
348;46;18766;1
348;46;18767;1
348;46;19003;1
348;46;19004;1
348;46;19005;1
348;46;19006;1
348;46;18870;1
348;46;18871;1
348;46;18872;1
348;46;18993;1
348;46;18994;1
348;46;18995;1
348;46;18996;1
348;46;18491;1
348;46;18492;1
348;46;18493;1
348;46;18494;1
348;46;19025;1
348;46;19026;1
348;46;19027;1
348;46;18933;1
348;46;18934;1
348;46;18935;1
348;46;19053;1
348;46;19054;1
348;46;19055;1
348;46;18833;1
348;46;18834;1
348;46;18835;1
348;46;18797;1
348;46;18798;1
348;46;18799;1
348;46;18771;1
348;46;18772;1
348;46;18773;1
348;46;19021;1
348;46;19022;1
348;46;19023;1
348;46;19024;1
348;46;18876;1
348;46;18877;1
348;46;18878;1
348;46;18879;1
348;46;18664;1
348;46;18665;1
348;46;18666;1
348;46;18667;1
348;46;18668;1
348;46;18774;1
348;46;18775;1
348;46;18776;1
348;46;18777;1
348;46;18780;1
348;46;18785;1
348;46;18786;1
348;46;18787;1
348;46;18788;1
348;46;18768;1
348;46;18769;1
348;46;18770;1
348;46;18505;1
348;46;18506;1
348;46;18507;1
348;46;18531;1
348;46;18532;1
348;46;18889;1
348;46;18890;1
348;46;18891;1
348;46;18892;1
348;46;18893;1
348;46;18725;1
348;46;18726;1
348;46;18727;1
348;46;18728;1
348;46;19056;1
348;46;19057;1
348;46;19058;1
348;46;18712;1
348;46;18713;1
348;46;18714;1
348;46;18669;1
348;46;18670;1
348;46;18671;1
348;46;18524;1
348;46;18525;1
348;46;18526;1
348;46;18527;1
348;46;18709;1
348;46;18710;1
348;46;18711;1
348;46;18694;1
348;46;18695;1
348;46;18696;1
348;46;18697;1
348;46;18618;1
348;46;18619;1
348;46;18620;1
348;46;18621;1
348;46;18622;1
348;46;18623;1
348;46;18624;1
348;46;18625;1
348;46;18646;1
348;46;18647;1
348;46;18649;1
348;46;18729;1
348;46;18730;1
348;46;18731;1
348;46;18810;1
348;46;18811;1
348;46;18812;1
348;46;18638;1
348;46;18639;1
348;46;18640;1
348;46;18641;1
348;46;18642;1
348;46;18635;1
348;46;18636;1
348;46;18637;1
348;46;19014;1
348;46;19015;1
348;46;19016;1
348;46;18487;1
348;46;18488;1
348;46;18489;1
348;46;18490;1
348;46;18688;1
348;46;18689;1
348;46;18690;1
