CID;LID;NID;NAME;NCOMMENT
348;1;1872;亚洲;
348;1;1873;中国;
348;1;1647;澳门特别行政区;
348;1;1648;澳门;
348;1;1677;埃武拉街;
348;1;1865;布拉干萨街;
348;1;1675;孙逸仙博士大马路;
348;1;1678;成都街;
348;1;1679;南京街;
348;1;1673;柯维纳马路;
348;1;1674;黑桥街;
348;1;1672;奥林匹克大马路;
348;1;1661;东亚运大马路;
348;1;1727;澳门商业大马路;
348;1;1692;苏亚利斯博士大马路;
348;1;1725;何鸿燊博士大马路;
348;1;1713;巴波沙大马路;
348;1;1712;青洲大马路;
348;1;1716;关闸广场;
348;1;1714;李宝椿街;
348;1;1715;菜园涌边街;
348;1;1859;巴黎街;
348;1;1717;宋玉生广场;
348;1;1857;冼星海大马路;
348;1;1703;巴素打尔古街;
348;1;1702;新马路;
348;1;1705;沙梨头海边街;
348;1;1704;沙栏仔街;
348;1;1824;白朗古将军大马路;
348;1;1711;美副将大马路;
348;1;1744;何贤绅士大马路;
348;1;1826;台山中街;
348;1;1742;俾若翰街;
348;1;1776;白马行街;
348;1;1874;主教巷（板樟堂街）;
348;1;1729;水坑尾街;
348;1;1796;大炮台斜巷;
348;1;1855;柏嘉街;
348;1;1854;城市日大马路;
348;1;1819;鲍思高圆形地;
348;1;1820;亚马喇马路;
348;1;1676;北安大马路;
348;1;1690;友谊大桥;
348;1;1667;伟龙马路;
348;1;1762;北京街;
348;1;1720;广州街;
348;1;1761;高美士街;
348;1;1740;俾利喇街;
348;1;1708;镜湖马路;
348;1;1752;慕拉士大马路;
348;1;1779;沙嘉都喇贾罢丽街;
348;1;1806;渡船街;
348;1;1736;高士德大马路;
348;1;1710;雅廉访大马路;
348;1;1750;黑沙环马路;
348;1;1822;船澳街;
348;1;1709;沙梨头南街;
348;1;1823;沙梨头新街;
348;1;1721;毕仕达大马路;
348;1;1722;罗理基博士大马路;
348;1;1694;友谊大马路;
348;1;1781;兵营斜巷;
348;1;1728;南湾大马路;
348;1;1782;若宪马路;
348;1;1830;亚马喇土腰;
348;1;1798;草堆街;
348;1;1797;营地大街;
348;1;1811;十月初五日街;
348;1;1829;长寿大马路;
348;1;1757;马场海边马路;
348;1;1746;关闸广场;
348;1;1759;中心街;
348;1;1681;广东大马路;
348;1;1680;基马拉斯大马路;
348;1;1697;孙逸仙大马路;
348;1;1815;林茂海边大马路;
348;1;1706;船澳巷;
348;1;1807;炮兵巷;
348;1;1791;大堂斜巷;
348;1;1792;大堂街;
348;1;1785;得胜马路;
348;1;1784;东望洋斜巷;
348;1;1786;二龙喉街;
348;1;1788;得胜斜路;
348;1;1789;海边马路;
348;1;1813;爹美刁施拿地大马路;
348;1;1814;鱼鳃巷;
348;1;1695;东北大马路;
348;1;1693;友谊桥大马路;
348;1;1755;黑沙环新街;
348;1;1756;劳动节大马路;
348;1;1777;东望洋街;
348;1;1787;高伟乐街;
348;1;1783;东望洋新街;
348;1;1656;莲花海滨大马路;
348;1;1869;西湾大桥（西湾湖景大马路）;
348;1;1866;东亚运街;
348;1;1868;西湾大桥（海洋大马路）;
348;1;1818;大兴街;
348;1;1741;连胜马路;
348;1;1769;鹅眉街;
348;1;1885;李加禄街（打铁斜巷）;
348;1;1766;风顺堂街;
348;1;1770;官印局街;
348;1;1737;士多鸟拜斯大马路;
348;1;1765;高楼街;
348;1;1767;龙嵩正街;
348;1;1754;高利亚海军上将大马路;
348;1;1688;高励雅马路;
348;1;1689;鸡颈马路;
348;1;1687;徐日昇寅公马路;
348;1;1764;妈阁斜巷;
348;1;1763;马六甲街;
348;1;1738;荷兰园正街;
348;1;1739;贾伯乐提督街;
348;1;1749;拱形马路;
348;1;1751;佑汉新村第一街;
348;1;1799;关前後街;
348;1;1800;果栏街;
348;1;1748;永定街;
348;1;1696;马场北大马路;
348;1;1840;关闸广场至珠海;
348;1;1845;珠海;
348;1;1682;史伯泰海军将军马路;
348;1;1884;罗理基博士大马路（十月一号前地）;
348;1;1875;沙栏仔街（快艇头街）;
348;1;1801;皇子街;
348;1;1733;水塘马路;
348;1;1732;松山隧道;
348;1;1723;海港前地;
348;1;1685;海洋大马路;
348;1;1684;西湾大桥;
348;1;1683;海洋花园大马路;
348;1;1726;民国大马路;
348;1;1825;和乐大马路;
348;1;1698;河边新街;
348;1;1691;西湾湖景大马路;
348;1;1701;火船头街;
348;1;1699;下环街;
348;1;1700;李加禄街;
348;1;1778;西坟马路;
348;1;1780;罗利老马路;
348;1;1753;黑沙环第四街;
348;1;1827;马揸度博士大马路;
348;1;1861;黑沙环中街;
348;1;1864;友谊圆形地;
348;1;1860;劳动节街;
348;1;1862;澳门浸信中学;
348;1;1863;君悦湾;
348;1;1653;黑沙马路;
348;1;1652;新黑沙马路;
348;1;1654;九澳高顶马路;
348;1;1772;红窗门街;
348;1;1771;三巴仔横街;
348;1;1774;天通街;
348;1;1803;花王堂斜街;
348;1;1802;工匠街;
348;1;1804;连胜街;
348;1;1666;霍英东博士大马路;
348;1;1662;嘉乐庇总督大马路;
348;1;1663;机场大马路;
348;1;1664;体育馆大马路;
348;1;1659;莲花路;
348;1;1665;射击路;
348;1;1657;路氹连贯公路;
348;1;1686;嘉乐庇总督大桥;
348;1;1810;新胜街;
348;1;1719;贾罗布大马路;
348;1;1809;炮兵街;
348;1;1707;罅些喇提督大马路;
348;1;1805;墨山街;
348;1;1831;看台街;
348;1;1758;马场东大马路;
348;1;1851;莲花大桥;
348;1;1655;石排湾马路;
348;1;1658;西堤马路;
348;1;1660;路氹城大马路;
348;1;1668;新城大马路;
348;1;1878;河边新街（咸鱼街）;
348;1;1856;马德里街;
348;1;1821;马交石斜坡;
348;1;1724;渔翁街;
348;1;1812;美基街;
348;1;1886;十月初五日街（康公庙前地）;
348;1;1760;衣湾斜巷;
348;1;1808;炮兵马路;
348;1;1730;葡京路;
348;1;1731;殷皇子大马路;
348;1;1743;沙梨头北街;
348;1;1879;官印局街（风顺堂上街）;
348;1;1816;沙梨头街;
348;1;1817;石街;
348;1;1880;沙梨头南街（沙梨头海边大马路）;
348;1;1858;圣德伦街;
348;1;1650;田畔街;
348;1;1718;澳门科学馆;
348;1;1649;竹湾马路;
348;1;1669;望德圣母湾大马路;
348;1;1881;东望洋街（高伟乐街）;
348;1;1768;小贩巷;
348;1;1735;苏雅利医士街;
348;1;1775;夜呣街;
348;1;1734;约翰四世大马路;
348;1;1828;佑汉新村第八街;
348;1;1870;友谊大桥（北安大马路）;
348;1;1871;友谊大桥（友谊大马路）;
348;1;1651;法令司士古街;
348;1;1794;主教巷;
348;1;1882;大堂街（大堂前地）;
348;1;1795;板樟堂街;
