CID;LID;NID;NTRANSLATION
348;2;1647;ao men te bie xing zheng qu
348;4;1647;澳門特別行政區
348;2;1648;ao men
348;4;1648;澳門
348;2;1649;zhu wan ma lu
348;4;1649;竹灣馬路
348;2;1650;tian pan jie
348;4;1650;田畔街
348;2;1651;fa ling si shi gu jie
348;4;1651;法令司士古街
348;2;1652;xin hei sha ma lu
348;4;1652;新黑沙馬路
348;2;1653;hei sha ma lu
348;4;1653;黑沙馬路
348;2;1654;jiu ao gao ding ma lu
348;4;1654;九澳高頂馬路
348;2;1655;shi pai wan ma lu
348;4;1655;石排灣馬路
348;2;1656;lian hua hai bin da ma lu
348;4;1656;蓮花海濱大馬路
348;2;1657;lu dang lian guan gong lu
348;4;1657;路氹連貫公路
348;2;1658;xi di ma lu
348;4;1658;西堤馬路
348;2;1659;lian hua lu
348;4;1659;蓮花路
348;2;1660;lu dang cheng da ma lu
348;4;1660;路氹城大馬路
348;2;1661;dong ya yun da ma lu
348;4;1661;東亞運大馬路
348;2;1662;jia le bi zong du da ma lu
348;4;1662;嘉樂庇總督大馬路
348;2;1663;ji chang da ma lu
348;4;1663;機場大馬路
348;2;1664;ti yu guan da ma lu
348;4;1664;體育館大馬路
348;2;1665;she ji lu
348;4;1665;射擊路
348;2;1666;huo ying dong bo shi da ma lu
348;4;1666;霍英東博士大馬路
348;2;1667;wei long ma lu
348;4;1667;偉龍馬路
348;2;1668;xin cheng da ma lu
348;4;1668;新城大馬路
348;2;1669;wang de sheng mu wan da ma lu
348;4;1669;望德聖母灣大馬路
348;2;1672;ao lin pi ke da ma lu
348;4;1672;奧林匹克大馬路
348;2;1673;ke wei na ma lu
348;4;1673;柯維納馬路
348;2;1674;hei qiao jie
348;4;1674;黑橋街
348;2;1675;sun yi xian bo shi da ma lu
348;4;1675;孫逸仙博士大馬路
348;2;1676;bei an da ma lu
348;4;1676;北安大馬路
348;2;1677;ai wu la jie
348;4;1677;埃武拉街
348;2;1678;cheng du jie
348;4;1678;成都街
348;2;1679;nan jing jie
348;4;1679;南京街
348;2;1680;ji ma la si da ma lu
348;4;1680;基馬拉斯大馬路
348;2;1681;guang dong da ma lu
348;4;1681;廣東大馬路
348;2;1682;shi bo tai hai jun jiang jun ma lu
348;4;1682;史伯泰海軍將軍馬路
348;2;1683;hai yang hua yuan da ma lu
