CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
348;46;18479;;18480
348;46;18480;18479;18481
348;46;18481;18480;18482
348;46;18482;18481;
348;46;18476;;18477
348;46;18477;18476;
348;46;18463;;18464
348;46;18464;18463;
348;46;18466;;18467
348;46;18467;18466;
348;46;18745;;18746
348;46;18746;18745;
348;46;18569;;18570
348;46;18570;18569;18571
348;46;18571;18570;18572
348;46;18572;18571;
348;46;19038;;19039
348;46;19039;19038;
348;46;18554;;18555
348;46;18555;18554;18556
348;46;18556;18555;
348;46;18948;;18949
348;46;18949;18948;18950
348;46;18950;18949;18951
348;46;18951;18950;
348;46;18964;;18965
348;46;18965;18964;18966
348;46;18966;18965;
348;46;18804;;18805
348;46;18805;18804;18806
348;46;18806;18805;
348;46;19029;;19030
348;46;19030;19029;
348;46;18925;;18926
348;46;18926;18925;
348;46;18529;;18530
348;46;18530;18529;
348;46;18692;;18693
348;46;18693;18692;
348;46;18862;;18863
348;46;18863;18862;18864
348;46;18864;18863;18865
348;46;18865;18864;18866
348;46;18866;18865;18867
348;46;18867;18866;18868
348;46;18868;18867;18869
348;46;18869;18868;
348;46;18937;;18938
348;46;18938;18937;18939
348;46;18939;18938;18940
348;46;18940;18939;
348;46;18699;;18700
348;46;18700;18699;18701
348;46;18701;18700;
348;46;18766;;18767
348;46;18767;18766;
348;46;19004;;19005
348;46;19005;19004;19006
348;46;19006;19005;
348;46;18871;;18872
348;46;18872;18871;
348;46;18994;;18995
348;46;18995;18994;18996
348;46;18996;18995;
348;46;18492;;18493
348;46;18493;18492;18494
348;46;18494;18493;
348;46;19026;;19027
348;46;19027;19026;
348;46;18934;;18935
348;46;18935;18934;
348;46;19054;;19055
348;46;19055;19054;
348;46;18834;;18835
348;46;18835;18834;
348;46;18798;;18799
348;46;18799;18798;
348;46;18772;;18773
348;46;18773;18772;
348;46;19022;;19023
348;46;19023;19022;19024
348;46;19024;19023;
348;46;18877;;18878
348;46;18878;18877;18879
348;46;18879;18878;
348;46;18665;;18666
348;46;18666;18665;18667
348;46;18667;18666;18668
348;46;18668;18667;
348;46;18775;;18776
348;46;18776;18775;18777
348;46;18777;18776;18780
348;46;18780;18777;
348;46;18786;;18787
348;46;18787;18786;18788
348;46;18788;18787;
348;46;18769;;18770
348;46;18770;18769;
348;46;18506;;18507
348;46;18507;18506;18531
348;46;18531;18507;18532
348;46;18532;18531;
348;46;18890;;18891
348;46;18891;18890;18892
348;46;18892;18891;18893
348;46;18893;18892;
348;46;18726;;18727
348;46;18727;18726;18728
348;46;18728;18727;
348;46;19057;;19058
348;46;19058;19057;
348;46;18713;;18714
348;46;18714;18713;
348;46;18670;;18671
348;46;18671;18670;
348;46;18525;;18526
348;46;18526;18525;18527
348;46;18527;18526;
348;46;18710;;18711
348;46;18711;18710;
348;46;18695;;18696
348;46;18696;18695;18697
348;46;18697;18696;
348;46;18619;;18620
348;46;18620;18619;18621
348;46;18621;18620;18622
348;46;18622;18621;18623
348;46;18623;18622;18624
348;46;18624;18623;18625
348;46;18625;18624;
348;46;18647;;18649
348;46;18649;18647;
348;46;18730;;18731
348;46;18731;18730;
348;46;18811;;18812
348;46;18812;18811;
348;46;18639;;18640
348;46;18640;18639;18641
348;46;18641;18640;18642
348;46;18642;18641;
348;46;18636;;18637
348;46;18637;18636;
348;46;19015;;19016
348;46;19016;19015;
348;46;18488;;18489
348;46;18489;18488;18490
348;46;18490;18489;
348;46;18689;;18690
348;46;18690;18689;
348;46;18814;;18815
348;46;18815;18814;18816
348;46;18816;18815;
348;46;18790;;18791
348;46;18791;18790;18792
348;46;18792;18791;
348;46;19012;;19013
348;46;19013;19012;
348;46;18513;;18514
348;46;18514;18513;
348;46;18509;;18510
348;46;18510;18509;18511
348;46;18511;18510;
348;46;18588;;18589
348;46;18589;18588;18590
348;46;18590;18589;
348;46;18633;;18634
348;46;18634;18633;
348;46;18945;;18946
348;46;18946;18945;
348;46;18546;;18547
348;46;18547;18546;18548
348;46;18548;18547;18549
348;46;18549;18548;
348;46;18758;;18759
348;46;18759;18758;18760
348;46;18760;18759;18761
348;46;18761;18760;18762
348;46;18762;18761;18763
348;46;18763;18762;18764
348;46;18764;18763;
348;46;18977;;18978
348;46;18978;18977;
348;46;18651;;18652
348;46;18652;18651;18653
348;46;18653;18652;
348;46;18984;;18985
348;46;18985;18984;18986
348;46;18986;18985;
348;46;19048;;19049
348;46;19049;19048;19050
348;46;19050;19049;19051
348;46;19051;19050;19052
348;46;19052;19051;
348;46;18406;;18407
348;46;18407;18406;
348;46;18736;;18737
348;46;18737;18736;
348;46;18821;;18822
348;46;18822;18821;
348;46;18551;;18552
348;46;18552;18551;
348;46;18459;;18444
348;46;18444;18459;18445
348;46;18445;18444;
348;46;18484;;18485
348;46;18485;18484;18486
348;46;18486;18485;
348;46;18440;;18441
348;46;18441;18440;18442
348;46;18442;18441;
348;46;18522;;18523
348;46;18523;18522;
348;46;18469;;18470
348;46;18470;18469;
348;46;18534;;18535
348;46;18535;18534;
348;46;18855;;18856
348;46;18856;18855;18857
348;46;18857;18856;18858
348;46;18858;18857;18859
348;46;18859;18858;18860
348;46;18860;18859;
348;46;18686;;18687
348;46;18687;18686;
348;46;18840;;18841
348;46;18841;18840;18842
348;46;18842;18841;18843
348;46;18843;18842;18844
348;46;18844;18843;18845
348;46;18845;18844;
348;46;18416;;18417
348;46;18417;18416;
348;46;19008;;19009
348;46;19009;19008;19010
348;46;19010;19009;
348;46;18502;;18503
348;46;18503;18502;18504
348;46;18504;18503;
348;46;18973;;18974
348;46;18974;18973;18975
348;46;18975;18974;
348;46;19044;;19045
348;46;19045;19044;19046
348;46;19046;19045;
348;46;18961;;18962
348;46;18962;18961;
348;46;18723;;18724
348;46;18724;18723;
348;46;18824;;18825
348;46;18825;18824;
348;46;18827;;18828
348;46;18828;18827;18829
348;46;18829;18828;18830
348;46;18830;18829;18831
348;46;18831;18830;18832
348;46;18832;18831;
348;46;19018;;19020
348;46;19020;19018;
348;46;18419;;18420
348;46;18420;18419;18421
348;46;18421;18420;18422
348;46;18422;18421;18423
348;46;18423;18422;
348;46;18429;;18430
348;46;18430;18429;19019
348;46;19019;18430;18431
348;46;18431;19019;
348;46;18881;;18882
348;46;18882;18881;
348;46;18716;;18717
348;46;18717;18716;
348;46;18451;;18452
348;46;18452;18451;18453
348;46;18453;18452;
348;46;18425;;18426
348;46;18426;18425;18427
348;46;18427;18426;
348;46;18601;;18602
348;46;18602;18601;18603
348;46;18603;18602;18604
348;46;18604;18603;18605
348;46;18605;18604;
348;46;18896;;18897
348;46;18897;18896;18898
348;46;18898;18897;18899
348;46;18899;18898;
348;46;18901;;18902
348;46;18902;18901;
348;46;18707;;18708
348;46;18708;18707;
348;46;18644;;18645
348;46;18645;18644;
348;46;18673;;18674
348;46;18674;18673;18675
348;46;18675;18674;18676
348;46;18676;18675;
348;46;18980;;18981
348;46;18981;18980;18982
348;46;18982;18981;
348;46;19032;;19033
348;46;19033;19032;
348;46;18931;;18932
348;46;18932;18931;
348;46;18703;;18704
348;46;18704;18703;18705
348;46;18705;18704;
348;46;18968;;18969
348;46;18969;18968;18970
348;46;18970;18969;18971
348;46;18971;18970;
348;46;18919;;18920
348;46;18920;18919;18921
348;46;18921;18920;18922
348;46;18922;18921;18923
348;46;18923;18922;
348;46;18874;;18875
348;46;18875;18874;
348;46;18678;;18679
348;46;18679;18678;18680
348;46;18680;18679;
348;46;18910;;18911
348;46;18911;18910;
348;46;18655;;18656
348;46;18656;18655;18657
348;46;18657;18656;18658
348;46;18658;18657;18659
348;46;18659;18658;18660
348;46;18660;18659;
348;46;18496;;18497
348;46;18497;18496;18498
348;46;18498;18497;18499
348;46;18499;18498;
348;46;18592;;18593
348;46;18593;18592;18594
348;46;18594;18593;18595
348;46;18595;18594;
348;46;18837;;18838
348;46;18838;18837;
348;46;18597;;18598
348;46;18598;18597;18599
348;46;18599;18598;
348;46;18956;;18957
348;46;18957;18956;18958
348;46;18958;18957;18959
348;46;18959;18958;
348;46;19064;;19065
348;46;19065;19064;
348;46;18733;;18734
348;46;18734;18733;
348;46;18904;;18905
348;46;18905;18904;18906
348;46;18906;18905;18907
348;46;18907;18906;18908
348;46;18908;18907;
348;46;18818;;18819
348;46;18819;18818;
348;46;18630;;18631
348;46;18631;18630;
348;46;18558;;18559
348;46;18559;18558;18560
348;46;18560;18559;
348;46;18884;;18885
348;46;18885;18884;
348;46;18627;;18628
348;46;18628;18627;
348;46;18942;;18943
348;46;18943;18942;
348;46;18437;;18438
348;46;18438;18437;
348;46;19035;;19036
348;46;19036;19035;
348;46;18887;;18888
348;46;18888;18887;
348;46;18412;;18413
348;46;18413;18412;18414
348;46;18414;18413;
348;46;18516;;18517
348;46;18517;18516;
348;46;18779;;18781
348;46;18781;18779;18782
348;46;18782;18781;18783
348;46;18783;18782;18784
348;46;18784;18783;
348;46;18754;;18755
348;46;18755;18754;18756
348;46;18756;18755;
348;46;18794;;18795
348;46;18795;18794;18796
348;46;18796;18795;
348;46;18682;;18683
348;46;18683;18682;18684
348;46;18684;18683;
348;46;18748;;18749
348;46;18749;18748;
348;46;18615;;18616
348;46;18616;18615;18617
348;46;18617;18616;
348;46;18574;;18575
348;46;18575;18574;18576
348;46;18576;18575;18577
348;46;18577;18576;
348;46;18953;;18954
348;46;18954;18953;
