CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
348;46;18479;P;1;12;;1677;1865;;18052;;;18478;1;1;1;1;1;1;;;+11356041;+2215248;0;1
348;46;18480;P;1;11;;1677;1678;;18052;;;18478;1;1;1;1;1;1;;;+11356139;+2215340;0;1
348;46;18481;P;1;11;;1677;1679;;18052;;;18478;1;1;1;1;1;1;;;+11356305;+2215474;0;1
348;46;18482;P;1;12;;1677;1675;;18052;;;18478;1;1;1;1;1;1;;;+11356385;+2215542;0;1
348;46;18476;P;1;8;;1677;1673;;18052;;;18475;1;1;1;1;1;1;;;+11355837;+2215343;0;1
348;46;18477;P;1;12;;1677;1674;;18052;;;18475;1;1;1;1;1;1;;;+11356091;+2215226;0;1
348;46;18463;P;1;8;;1672;1661;;18052;;18462;;1;1;1;1;1;1;;;+11355599;+2214942;0;1
348;46;18464;P;1;8;;1672;1673;;18052;;18462;;1;1;1;1;1;1;;;+11355837;+2215343;18466;1
348;46;18466;P;1;12;;1672;1674;;18052;;18465;;1;1;1;1;1;1;;;+11356091;+2215226;18464;1
348;46;18467;P;1;8;;1672;1675;;18052;;18465;;1;1;1;1;1;1;;;+11356508;+2215407;0;1
348;46;18745;P;1;12;;1727;1692;;18052;;;18744;1;1;1;1;1;1;;;+11354765;+2218645;0;1
348;46;18746;P;1;10;;1727;1725;;18052;;;18744;1;1;1;1;1;1;;;+11354499;+2218838;0;1
348;46;18569;P;1;10;;1713;1712;;18052;;;18568;1;1;1;1;1;1;;;+11355251;+2220738;0;1
348;46;18570;P;1;11;;1713;1714;;18052;;;18568;1;1;1;1;1;1;;;+11355264;+2220910;0;1
348;46;18571;P;1;11;;1713;1715;;18052;;;18568;1;1;1;1;1;1;;;+11355274;+2221054;0;1
348;46;18572;P;1;12;;1713;1716;;18052;;;18568;1;1;1;1;1;1;;;+11355291;+2221177;0;1
