CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
348;46;18478;L;1;4;;1677;1865;1675;18052;
348;46;18475;L;1;4;;1677;1673;1674;18052;
348;46;18461;L;1;4;;1672;1661;1675;18052;
348;46;18744;L;1;4;;1727;1692;1725;18052;
348;46;18568;L;1;4;;1713;1712;1716;18052;
348;46;19037;L;1;4;;1859;1717;1857;18052;
348;46;18553;L;1;4;;1703;1702;1705;18052;
348;46;18500;L;1;4;;1824;1711;1744;18052;
348;46;18803;L;1;4;;1776;1874;1729;18052;
348;46;19028;L;1;4;;1855;1854;1717;18052;
348;46;18924;L;1;4;;1819;1711;1820;18052;
348;46;18528;L;1;4;;1676;1690;1667;18052;
348;46;18691;L;1;4;;1762;1720;1761;18052;
348;46;18861;L;1;4;;1740;1708;1752;18052;
348;46;18936;L;1;4;;1742;1822;1824;18052;
348;46;18698;L;1;4;;1721;1722;1694;18052;
348;46;18765;L;1;4;;1781;1728;1782;18052;
348;46;19003;L;1;4;;1715;1824;1830;18052;
348;46;18870;L;1;4;;1798;1797;1811;18052;
348;46;18993;L;1;4;;1829;1757;1746;18052;
348;46;18491;L;1;4;;1678;1677;1681;18052;
348;46;19025;L;1;4;;1854;1697;1694;18052;
348;46;18933;L;1;4;;1822;1815;1742;18052;
348;46;19053;L;1;4;;1706;1705;1815;18052;
348;46;18833;L;1;4;;1796;1776;1807;18052;
348;46;18797;L;1;4;;1791;1728;1792;18052;
348;46;18771;L;1;4;;1785;1784;1786;18052;
348;46;19021;L;1;4;;1788;1785;1789;18052;
348;46;18876;L;1;4;;1813;1703;1815;18052;
348;46;18664;L;1;4;;1695;1752;1693;18052;
348;46;18774;L;1;4;;1777;1729;1779;18052;
348;46;18785;L;1;4;;1784;1777;1788;18052;
348;46;18768;L;1;4;;1783;1782;1784;18052;
348;46;18505;L;1;3;;1661;1656;1869;18052;
348;46;18889;L;1;4;;1806;1818;1740;18052;
348;46;18725;L;1;4;;1769;1885;1766;18052;
348;46;19056;L;1;4;;1786;1736;1737;18052;
348;46;18712;L;1;4;;1766;1765;1767;18052;
348;46;18669;L;1;4;;1754;1752;1757;18052;
348;46;18524;L;1;4;;1688;1689;1690;18052;
348;46;18709;L;1;4;;1765;1764;1766;18052;
348;46;18694;L;1;4;;1761;1717;1763;18052;
348;46;18618;L;1;4;;1736;1722;1709;18052;
348;46;18646;L;1;4;;1749;1712;1751;18052;
348;46;18729;L;1;4;;1770;1769;1767;18052;
348;46;18810;L;1;4;;1799;1798;1800;18052;
348;46;18638;L;1;4;;1746;1744;1829;18052;
348;46;18635;L;1;3;;1746;1744;1696;18052;
348;46;19014;L;1;4;;1840;1746;1845;18052;
348;46;18487;L;1;4;;1681;1673;1682;18052;
348;46;18688;L;1;4;;1720;1694;1884;18052;
348;46;18813;L;1;4;;1800;1799;1875;18052;
348;46;18789;L;1;4;;1789;1788;1733;18052;
348;46;19011;L;1;4;;1723;1722;1694;18052;
348;46;18512;L;1;4;;1685;1684;1683;18052;
348;46;18508;L;1;4;;1683;1673;1682;18052;
