CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
494;4;24064;494;4;24088
494;4;24088;494;4;24064
494;4;12061;494;4;18052
494;4;18052;494;4;12061
494;4;24081;494;4;24083
494;4;24083;494;4;24081
494;4;6412;494;4;6417
494;4;6417;494;4;6412
494;4;6418;494;4;7147
494;4;7147;494;4;6418
494;4;6411;494;4;6419
494;4;6419;494;4;6411
494;4;6420;494;4;6999
494;4;6999;494;4;6420
494;4;6421;494;4;7020
494;4;7020;494;4;6421
494;4;6216;494;4;6218
494;4;6218;494;4;6216
494;4;6208;494;4;6214
494;4;6214;494;4;6208
494;4;6210;494;4;6212
494;4;6212;494;4;6210
494;4;6648;494;4;6982
494;4;6982;494;4;6648
494;4;6453;494;4;6455
494;4;6455;494;4;6983
494;4;6983;494;4;6453
494;4;6693;494;4;6985
494;4;6985;494;4;6987
494;4;6987;494;4;6693
494;4;7121;494;4;7122
494;4;7122;494;4;7121
494;4;6472;494;4;6831
494;4;6831;494;4;6472
494;4;6407;494;4;6473
494;4;6473;494;4;6872
494;4;6872;494;4;6407
494;4;6476;494;4;6887
494;4;6887;494;4;6476
494;4;6477;494;4;6941
494;4;6941;494;4;6477
494;4;6478;494;4;6994
494;4;6994;494;4;6996
494;4;6996;494;4;6478
494;4;7123;494;4;7124
494;4;7124;494;4;7123
494;4;6463;494;4;6552
494;4;6552;494;4;6463
494;4;6464;494;4;6605
494;4;6605;494;4;6464
494;4;6436;494;4;6438
494;4;6438;494;4;6465
494;4;6465;494;4;6436
494;4;6469;494;4;7170
494;4;7170;494;4;6469
494;4;6470;494;4;6776
494;4;6776;494;4;6470
494;4;6652;494;4;6918
494;4;6918;494;4;6652
494;4;6653;494;4;6913
494;4;6913;494;4;6653
494;4;6654;494;4;6921
494;4;6921;494;4;6923
494;4;6923;494;4;6654
494;4;6655;494;4;6947
494;4;6947;494;4;6951
494;4;6951;494;4;6655
494;4;6220;494;4;6222
494;4;6222;494;4;6220
494;4;6224;494;4;6226
494;4;6226;494;4;6224
494;4;6408;494;4;6888
494;4;6888;494;4;6408
494;4;6053;494;4;6093
494;4;6093;494;4;6202
494;4;6202;494;4;6053
494;4;6106;494;4;7107
494;4;7107;494;4;6106
494;4;6102;494;4;7146
494;4;7146;494;4;6102
494;4;6602;494;4;6851
494;4;6851;494;4;6910
