CID;LID;NID;NAME;NCOMMENT
494;1;11400;亚洲;
494;1;11401;中国;
494;1;11402;河北省;
494;1;12359;保定市;
494;1;12392;沧州市;
494;1;12410;承德市;
494;1;12340;邯郸市;
494;1;12461;衡水市;
494;1;12446;廊坊市;
494;1;12426;秦皇岛市;
494;1;275;石家庄市;
494;1;5554;唐山市;
494;1;12358;邢台市;
494;1;5656;Ｇ１０２唐山段;
494;1;12438;长深高速公路;
494;1;8269;迁唐线;
494;1;11135;Ｇ１１２;
494;1;12507;丰杨线;
494;1;5658;唐丰路;
494;1;5790;银河路;
494;1;518;Ｇ１０７石家庄段;
494;1;491;鸭路线;
494;1;545;十家疃村;
494;1;4103;仓丰路（胜利南街）;
494;1;492;Ｓ３９３;
494;1;493;府前路;
494;1;494;沙陈线;
494;1;1419;Ｓ０３３（元氏大街）;
494;1;1420;元赵路（元氏大街）;
494;1;1421;井元公路（元氏大街）;
494;1;276;青银高速公路;
494;1;4102;Ｓ１０１;
494;1;547;华安西路;
494;1;548;Ｘ０５４;
494;1;583;绕城高速公路;
494;1;690;中平乐村;
494;1;529;Ｓ２０３;
494;1;549;京新大街;
494;1;607;车站北大街;
494;1;738;车站南大街;
494;1;291;胜利北街;
494;1;1416;常山西路;
494;1;306;电报局街;
494;1;307;正东路;
494;1;308;向阳路;
494;1;294;和平东路;
494;1;295;平安北大街;
494;1;310;华新路;
494;1;297;建设北大街;
494;1;311;北二环东路;
494;1;312;四水厂路;
494;1;12376;黄石高速公路;
494;1;714;古城东路;
494;1;1351;翠屏东路;
494;1;315;胜利南街;
494;1;566;仓丰路;
494;1;5664;汇通路;
494;1;404;塔南路;
494;1;405;元南路;
494;1;401;槐中路;
494;1;367;裕华西路;
494;1;1357;西三环;
494;1;11408;Ｇ１０７;
494;1;1352;古城西路;
494;1;344;红旗大街;
494;1;339;石铜路;
494;1;393;槐安西路;
494;1;322;石获南路;
494;1;335;友谊北大街;
494;1;387;中山西路;
494;1;667;学府路;
494;1;5937;新华路;
494;1;414;合作路;
494;1;309;和平西路;
494;1;415;朝阳路;
494;1;390;联盟路;
494;1;334;北二环西路;
494;1;288;石清路;
494;1;416;商贸路;
494;1;342;友谊南大街;
494;1;341;南二环西路;
494;1;343;新石中路;
494;1;418;新石北路;
494;1;319;工农路;
494;1;419;长青路;
494;1;6869;长深高速公路Ｇ１１２入口匝道;
494;1;6870;长深高速公路东侧;
