CID;LID;NID;NTRANSLATION
494;2;275;shi jia zhuang shi
494;3;275;Shijiazhuang
494;2;276;qing yin gao su gong lu
494;3;276;Qingyin Hwy
494;2;282;G308
494;3;282;G308
494;2;283;chang jiang da dao
494;3;283;Changjiang Blvd
494;2;284;xi zhao tong fu wu qu
494;3;284;Xizhaotong Service Area
494;2;285;shi huang gao su gong lu
494;3;285;Shihuang Hwy
494;2;287;G307
494;3;287;G307
494;2;288;shi qing lu
494;3;288;Shiqing Rd
494;2;291;sheng li bei jie
494;3;291;Shengli North St
494;2;294;he ping dong lu
494;3;294;Heping East Rd
494;2;295;ping an bei da jie
494;3;295;Ping'an North Ave
494;2;296;chang zheng jie
494;3;296;Changzheng St
494;2;297;jian she bei da jie
494;3;297;Jianshe North Ave
494;2;298;guang an da jie
494;3;298;Guang'an Ave
494;2;299;yu cai jie
494;3;299;Yucai St
494;2;300;ti yu bei da jie
494;3;300;Tiyu North Ave
494;2;301;jian hua bei da jie
494;3;301;Jianhua North Ave
494;2;303;tan gu bei da jie
494;3;303;Tangu North Ave
494;2;304;dong er huan bei lu
494;3;304;E 2nd Ring North Rd
494;2;305;bai fu dong jie
494;3;305;Baifu East St
494;2;306;dian bao ju jie
494;3;306;Dianbaoju St
494;2;307;zheng dong lu
494;3;307;Zhengdong Rd
494;2;308;xiang yang lu
494;3;308;Xiangyang Rd
494;2;309;he ping xi lu
494;3;309;Heping West Rd
494;2;310;hua xin lu
494;3;310;Huaxin Rd
494;2;311;bei er huan dong lu
494;3;311;N 2nd Ring East Rd
494;2;312;si shui chang lu
494;3;312;Sishuichang Rd
494;2;314;xi wai huan lu
494;3;314;W Outer Ring Rd
494;2;315;sheng li nan jie
494;3;315;Shengli South St
494;2;316;jian tong jie
494;3;316;Jiantong St
494;2;317;nan er huan dong lu
494;3;317;S 2nd Ring East Rd
494;2;318;yu xiang jie
494;3;318;Yuxiang St
494;2;319;gong nong lu
494;3;319;Gongnong Rd
494;2;322;shi huo nan lu
494;3;322;Shihuo South Rd
494;2;323;S232
494;3;323;S232
494;2;325;tian shan da jie
494;3;325;Tianshan Ave
494;2;326;kun lun da jie
494;3;326;Kunlun Ave
494;2;327;qin ling da jie
494;3;327;Qinling Ave
494;2;330;yan shan da jie
494;3;330;Yanshan Ave
494;2;334;bei er huan xi lu
494;3;334;N 2nd Ring West Rd
494;2;335;you yi bei da jie
494;3;335;Youyi North Ave
494;2;336;xi san zhuang jie
494;3;336;Xisanzhuang St
494;2;338;jing hua lu
494;3;338;Jinghua Rd
494;2;339;shi tong lu
494;3;339;Shitong Rd
494;2;341;nan er huan xi lu
494;3;341;S 2nd Ring West Rd
494;2;342;you yi nan da jie
494;3;342;Youyi South Ave
494;2;343;xin shi zhong lu
494;3;343;Xinshi Middle Rd
494;2;344;hong qi da jie
494;3;344;Hongqi Ave
494;2;346;shi bei jie
494;3;346;Shibei St
494;2;351;X008
494;3;351;X008
494;2;352;zhu jiang da dao
494;3;352;Zhujiang Blvd
494;2;353;gao ying da jie
494;3;353;Gaoying Ave
494;2;354;xi er huan bei lu
494;3;354;W 2nd Ring North Rd
494;2;355;shi huo bei lu
494;3;355;Shihuo North Rd
494;2;356;tai hua jie
494;3;356;Taihua St
494;2;357;shui yuan jie
494;3;357;Shuiyuan St
494;2;358;zhong hua bei da jie
494;3;358;Zhonghua North Ave
494;2;359;bei xin jie
494;3;359;Beixin St
494;2;360;che liang chang qian jie
494;3;360;Cheliangchang Front St
494;2;364;zhi wu yuan jie
494;3;364;Zhiwuyuan St
494;2;366;yu hua dong lu
494;3;366;Yuhua East Rd
494;2;367;yu hua xi lu
494;3;367;Yuhua West Rd
494;2;368;da jing jie
494;3;368;Dajing St
494;2;369;ping an nan da jie
494;3;369;Ping'an South Ave
494;2;370;xiu men jie
494;3;370;Xiumen St
494;2;371;jian she nan da jie
494;3;371;Jianshe South Ave
494;2;372;qing yuan jie
494;3;372;Qingyuan St
494;2;373;fu qiang da jie
494;3;373;Fuqiang Ave
494;2;374;ti yu nan da jie
494;3;374;Tiyu South Ave
494;2;376;jian hua nan da jie
494;3;376;Jianhua South Ave
494;2;377;tan gu nan da jie
494;3;377;Tangu South Ave
494;2;378;tan gu dong jie
494;3;378;Tangu East St
494;2;379;dong er huan nan lu
494;3;379;E 2nd Ring South Rd
494;2;380;yuan dong jie
494;3;380;Yuandong St
494;2;381;shi guang jie
494;3;381;Shiguang St
494;2;382;xi er huan nan lu
494;3;382;W 2nd Ring South Rd
494;2;383;cheng jiao jie
494;3;383;Chengjiao St
494;2;384;wei ming nan da jie
494;3;384;Weiming South Ave
494;2;385;zhong hua nan da jie
494;3;385;Zhonghua South Ave
494;2;386;nan chang jie
494;3;386;Nanchang St
494;2;387;zhong shan xi lu
494;3;387;Zhongshan West Rd
494;2;389;bai lin nan lu
494;3;389;Bailin South Rd
494;2;390;lian meng lu
494;3;390;Lianmeng Rd
494;2;391;zhao tuo lu
494;3;391;Zhaotuo Rd
494;2;393;huai an xi lu
494;3;393;Huaian West Rd
494;2;394;zi qiang lu
494;3;394;Ziqiang Rd
494;2;396;zhong shan dong lu
494;3;396;Zhongshan East Rd
494;2;397;guang hua lu
494;3;397;Guanghua Rd
494;2;398;shi luan lu
494;3;398;Shiluan Rd
494;2;399;dong gang lu
494;3;399;Donggang Rd
494;2;400;huai an dong lu
494;3;400;Huaian East Rd
