CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
494;4;6416;P;1;3;;5656;12438;;5;;;6415;1;1;1;1;1;1;;;+11802966;+3986003;0;0
494;4;6417;P;1;12;;5656;11135;;5;;;6415;1;1;1;1;1;1;;;+11807748;+3984972;0;0
494;4;6418;P;1;12;;5656;12507;;5;;;6415;1;1;1;1;1;1;;;+11808610;+3980564;0;1
494;4;6419;P;1;6;;5656;5658;;5;;;6415;1;1;1;1;1;1;;;+11814121;+3980305;0;1
494;4;6420;P;1;11;;5656;5790;;5;;;6415;1;1;1;1;1;1;;;+11820182;+3981843;0;0
494;4;6421;P;1;11;;5656;8269;;5;;;6415;1;1;1;1;1;1;;;+11835063;+3983671;0;0
494;4;1270;P;1;12;;518;491;;4;;424;;1;1;1;1;1;1;;;+11460501;+3753581;0;0
494;4;1271;P;1;6;;518;492;;4;;424;;1;1;1;1;1;1;;;+11459844;+3759752;0;1
494;4;1272;P;1;6;;518;493;;4;;424;;1;1;1;1;1;1;;;+11459657;+3761548;0;1
494;4;1273;P;1;12;;518;494;;4;;424;;1;1;1;1;1;1;;;+11459148;+3768474;0;0
494;4;1274;P;1;6;;518;1419;;4;;424;;1;1;1;1;1;1;;;+11454627;+3775349;0;1
494;4;1275;P;1;12;;518;1420;;4;;424;;1;1;1;1;1;1;;;+11454440;+3776371;0;1
494;4;1276;P;1;6;;518;1421;;4;;424;;1;1;1;1;1;1;;;+11454122;+3777677;0;1
494;4;425;P;1;3;;518;276;;4;;424;;1;1;1;1;1;1;;;+11451407;+3790376;0;0
494;4;1508;P;1;12;;518;4102;;4;;424;;1;1;1;1;1;1;;;+11450361;+3795172;0;0
494;4;427;P;1;7;;518;4103;;4;;424;;1;1;1;1;1;1;;;+11449433;+3799197;1315;1
494;4;1315;P;1;10;;518;547;;4;;1312;;1;1;1;1;1;1;;;+11455799;+3816223;427;1
494;4;1316;P;1;11;;518;548;;4;;1312;;1;1;1;1;1;1;;;+11459477;+3819596;0;0
494;4;1417;P;1;3;;518;583;;4;;1312;;1;1;1;1;1;1;;;+11461170;+3821028;0;0
494;4;1317;P;1;12;;518;690;;4;;1312;;1;1;1;1;1;1;;;+11465141;+3827827;0;0
494;4;1318;P;1;10;;518;529;;4;;1312;;1;1;1;1;1;1;;;+11472139;+3833647;0;1
494;4;1307;P;1;12;;518;549;;4;;1312;;1;1;1;1;1;1;;;+11471713;+3836080;0;1
494;4;1287;P;1;12;;518;545;;4;;1312;;1;1;1;1;1;1;;;+11485884;+3845649;0;0
494;4;2628;P;1;12;;607;738;;4;;;2626;1;1;1;1;1;1;;;+11455242;+3814976;0;1
494;4;2629;P;1;10;;607;547;;4;;;2626;1;1;1;1;1;1;;;+11455799;+3816223;0;1
494;4;1313;P;1;12;;738;291;;4;;;2625;1;1;1;1;1;1;;;+11453398;+3812319;0;0
494;4;1314;P;1;10;;738;1416;;4;;;2625;1;1;1;1;1;1;;;+11455051;+3814611;0;1
494;4;2627;P;1;12;;738;607;;4;;;2625;1;1;1;1;1;1;;;+11455242;+3814976;0;1
494;4;413;P;1;12;;291;306;;4;;;412;1;1;1;1;1;1;;;+11449226;+3804198;0;1
494;4;414;P;1;11;;291;307;;4;;;412;1;1;1;1;1;1;;;+11449358;+3804619;0;1
494;4;415;P;1;12;;291;308;;4;;;412;1;1;1;1;1;1;;;+11449448;+3804996;0;1
494;4;416;P;1;10;;291;294;;4;;;412;1;1;1;1;1;1;;;+11449781;+3805440;0;1
494;4;417;P;1;10;;291;295;;4;;;412;1;1;1;1;1;1;;;+11450113;+3805951;0;1
494;4;418;P;1;10;;291;310;;4;;;412;1;1;1;1;1;1;;;+11450381;+3806361;0;1
494;4;419;P;1;10;;291;297;;4;;;412;1;1;1;1;1;1;;;+11451163;+3807422;0;1
494;4;420;P;1;7;;291;311;;4;;;412;1;1;1;1;1;1;;;+11451481;+3807974;0;1
494;4;421;P;1;10;;291;312;;4;;;412;1;1;1;1;1;1;;;+11452023;+3808941;0;1
494;4;422;P;1;3;;291;12376;;4;;;412;1;1;1;1;1;1;;;+11452442;+3810004;0;1
494;4;850;P;1;10;;291;714;;4;;;412;1;1;1;1;1;1;;;+11452494;+3810404;0;1
494;4;423;P;1;10;;291;1351;;4;;;412;1;1;1;1;1;1;;;+11452570;+3811084;0;1
494;4;1311;P;1;12;;291;738;;4;;;412;1;1;1;1;1;1;;;+11453398;+3812319;0;0
494;4;576;P;1;7;;315;566;;4;;;575;1;1;1;1;1;1;;;+11449433;+3799197;0;1
494;4;577;P;1;10;;315;5664;;4;;;575;1;1;1;1;1;1;;;+11449208;+3800231;0;1
494;4;578;P;1;12;;315;404;;4;;;575;1;1;1;1;1;1;;;+11449017;+3801160;0;1
494;4;579;P;1;12;;315;405;;4;;;575;1;1;1;1;1;1;;;+11448788;+3802409;0;1
494;4;580;P;1;12;;315;401;;4;;;575;1;1;1;1;1;1;;;+11448902;+3802887;0;1
494;4;581;P;1;7;;315;367;;4;;;575;1;1;1;1;1;1;;;+11449030;+3803576;0;1
494;4;582;P;1;12;;315;306;;4;;;575;1;1;1;1;1;1;;;+11449226;+3804198;0;1
494;4;2521;P;1;6;;1357;11408;;4;;;1322;1;1;1;1;1;1;;;+11450752;+3795388;0;0
494;4;839;P;1;6;;1357;344;;4;;;1322;1;1;1;1;1;1;;;+11446479;+3797241;0;0
494;4;503;P;1;6;;1357;339;;4;;;1322;1;1;1;1;1;1;;;+11443242;+3799527;0;1
494;4;1399;P;1;6;;1357;393;;4;;;1322;1;1;1;1;1;1;;;+11441021;+3802435;0;1
494;4;510;P;1;7;;1357;322;;4;;;1322;1;1;1;1;1;1;;;+11438051;+3806288;0;1
494;4;1321;P;1;3;;1357;12376;;4;;;1322;1;1;1;1;1;1;;;+11437498;+3808226;0;0
494;4;2576;P;1;12;;1357;1352;;4;;;1322;1;1;1;1;1;1;;;+11438432;+3808486;0;1
494;4;673;P;1;10;;335;387;;4;;;672;1;1;1;1;1;1;;;+11445188;+3804206;0;1
494;4;674;P;1;10;;335;5937;;4;;;672;1;1;1;1;1;1;;;+11445144;+3804849;0;1
494;4;675;P;1;10;;335;414;;4;;;672;1;1;1;1;1;1;;;+11445305;+3805409;0;1
494;4;676;P;1;10;;335;309;;4;;;672;1;1;1;1;1;1;;;+11445353;+3806090;0;1
494;4;677;P;1;10;;335;415;;4;;;672;1;1;1;1;1;1;;;+11445430;+3806913;0;1
494;4;678;P;1;10;;335;390;;4;;;672;1;1;1;1;1;1;;;+11445431;+3807927;0;1
494;4;679;P;1;10;;335;334;;4;;;672;1;1;1;1;1;1;;;+11445434;+3808591;0;1
494;4;680;P;1;10;;335;288;;4;;;672;1;1;1;1;1;1;;;+11445439;+3809216;0;1
494;4;681;P;1;10;;335;1352;;4;;;672;1;1;1;1;1;1;;;+11445488;+3810365;0;1
494;4;682;P;1;10;;335;416;;4;;;672;1;1;1;1;1;1;;;+11445525;+3811278;0;1
494;4;1401;P;1;10;;335;667;;4;;;672;1;1;1;1;1;1;;;+11446787;+3814497;0;0
494;4;685;P;1;12;;342;341;;4;;;683;1;1;1;1;1;1;;;+11445266;+3800465;0;1
494;4;686;P;1;10;;342;339;;4;;;683;1;1;1;1;1;1;;;+11445219;+3801142;0;1
494;4;687;P;1;10;;342;343;;4;;;683;1;1;1;1;1;1;;;+11445224;+3801517;0;1
494;4;688;P;1;10;;342;418;;4;;;683;1;1;1;1;1;1;;;+11445234;+3801874;0;1
494;4;689;P;1;10;;342;393;;4;;;683;1;1;1;1;1;1;;;+11445239;+3802466;0;1
494;4;690;P;1;10;;342;319;;4;;;683;1;1;1;1;1;1;;;+11445230;+3803172;0;1
494;4;691;P;1;10;;342;367;;4;;;683;1;1;1;1;1;1;;;+11445215;+3803488;0;1
494;4;692;P;1;10;;342;419;;4;;;683;1;1;1;1;1;1;;;+11445199;+3803876;0;1
494;4;693;P;1;10;;342;387;;4;;;683;1;1;1;1;1;1;;;+11445188;+3804206;0;1
494;4;6218;P;4;0;;;6869;;5;;;6217;;;;;;;;;+11808229;+3950775;0;0
494;4;6214;P;4;0;;;6871;;5;;;6213;;;;;;;;;+11807742;+3950682;0;0
494;4;6210;P;4;0;;;6872;;5;;;6209;;;;;;;;;+11807504;+3950663;0;0
494;4;785;P;1;13;;334;354;;4;;;783;1;1;1;1;1;1;;;+11443753;+3808408;0;1
494;4;786;P;1;3;;334;336;;4;;;783;1;1;1;1;1;1;;;+11444839;+3808589;0;1
494;4;790;P;1;3;;334;358;;4;;;783;1;1;1;1;1;1;;;+11447816;+3808460;0;1
494;4;791;P;1;3;;334;432;;4;;;783;1;1;1;1;1;1;;;+11449333;+3808270;0;1
494;4;6982;P;1;10;;5684;5743;;5;;;6981;1;1;1;1;1;1;;;+11821713;+3962977;0;1
494;4;6983;P;1;10;;5684;5685;;5;;;6981;1;1;1;1;1;1;;;+11821354;+3963465;0;1
494;4;6984;P;1;12;;5684;5683;;5;;;6981;1;1;1;1;1;1;;;+11820715;+3964610;0;1
494;4;6985;P;1;10;;5684;5753;;5;;;6981;1;1;1;1;1;1;;;+11820993;+3965573;0;1
494;4;7122;P;1;10;;6948;6947;;5;;;6467;1;1;1;1;1;1;;;+11814209;+3969561;0;0
494;4;6472;P;1;10;;6948;6907;;5;;;6467;1;1;1;1;1;1;;;+11816364;+3969585;0;1
494;4;6473;P;1;7;;6948;5705;;5;;;6467;1;1;1;1;1;1;;;+11817371;+3969589;0;1
494;4;6476;P;1;10;;6948;5653;;5;;;6467;1;1;1;1;1;1;;;+11818095;+3969581;0;1
494;4;6477;P;1;6;;6948;5695;;5;;;6467;1;1;1;1;1;1;;;+11818941;+3969578;0;1
494;4;6478;P;1;6;;6948;5696;;5;;;6467;1;1;1;1;1;1;;;+11820633;+3969581;0;1
494;4;6481;P;1;12;;6948;5698;;5;;;6467;1;1;1;1;1;1;;;+11823977;+3969549;0;0
494;4;7123;P;1;13;;6948;6949;;5;;;6467;1;1;1;1;1;1;;;+11824830;+3969321;0;0
494;4;6463;P;1;12;;6947;5663;;5;;;6462;1;1;1;1;1;1;;;+11810091;+3958692;0;0
494;4;6464;P;1;10;;6947;5689;;5;;;6462;1;1;1;1;1;1;;;+11810457;+3961754;0;0
494;4;6465;P;1;6;;6947;8274;;5;;;6462;1;1;1;1;1;1;;;+11810452;+3962872;0;0
494;4;6466;P;1;10;;6947;5670;;5;;;6462;1;1;1;1;1;1;;;+11810452;+3963564;0;0
494;4;6469;P;1;12;;6947;6860;;5;;;6462;1;1;1;1;1;1;;;+11810459;+3966208;0;0
494;4;6470;P;1;12;;6947;5671;;5;;;6462;1;1;1;1;1;1;;;+11811954;+3967267;0;0
494;4;7121;P;1;10;;6947;6948;;5;;;6462;1;1;1;1;1;1;;;+11814209;+3969561;0;0
494;4;6652;P;1;11;;5745;5746;;5;;;6651;1;1;1;1;1;1;;;+11820722;+3961904;0;1
494;4;6653;P;1;10;;5745;5734;;5;;;6651;1;1;1;1;1;1;;;+11821044;+3961888;0;1
494;4;6654;P;1;11;;5745;5739;;5;;;6651;1;1;1;1;1;1;;;+11821654;+3961832;0;1
494;4;6655;P;1;12;;5745;5740;;5;;;6651;1;1;1;1;1;1;;;+11822709;+3961920;0;1
494;4;819;P;1;3;;354;387;;4;;;817;1;1;1;1;1;1;;;+11443689;+3804139;0;1
494;4;830;P;1;3;;354;309;;4;;;817;1;1;1;1;1;1;;;+11443695;+3806558;0;1
494;4;832;P;1;13;;354;334;;4;;;817;1;1;1;1;1;1;;;+11443753;+3808408;0;1
494;4;1625;P;1;3;;382;437;;4;;;818;1;1;1;1;1;1;;;+11443753;+3800771;0;1
494;4;824;P;1;3;;382;393;;4;;;818;1;1;1;1;1;1;;;+11443757;+3802452;0;1
494;4;827;P;1;3;;382;387;;4;;;818;1;1;1;1;1;1;;;+11443689;+3804139;0;1
494;4;6222;P;4;0;;;6874;;5;;;6221;;;;;;;;;+11808590;+3950600;0;0
494;4;6226;P;4;0;;;6875;;5;;;6225;;;;;;;;;+11808607;+3950614;0;0
494;4;6407;P;1;6;;5646;8275;;5;;6403;;1;1;1;1;1;1;;;+11817371;+3969589;0;1
494;4;6408;P;1;10;;5646;8276;;5;;6403;;1;1;1;1;1;1;;;+11817297;+3970076;0;0
494;4;6409;P;1;11;;5646;5654;;5;;6403;;1;1;1;1;1;1;;;+11816804;+3973975;0;0
494;4;6410;P;1;3;;5646;6908;;5;;6403;;1;1;1;1;1;1;;;+11814566;+3979619;0;0
494;4;6411;P;1;10;;5646;5658;;5;;6403;;1;1;1;1;1;1;;;+11814121;+3980305;6412;1
494;4;6412;P;1;12;;5646;11169;;5;;6404;;1;1;1;1;1;1;;;+11807748;+3984972;6411;0
