CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
494;4;6415;L;1;2;;5656;12438;8269;5;
494;4;1310;L;1;2;G107;518;491;545;4;
494;4;2626;L;1;2;G107;607;738;547;4;
494;4;2625;L;1;2;G107;738;291;607;4;
494;4;412;L;1;4;;291;306;738;4;
494;4;575;L;1;4;;315;566;306;4;
494;4;1322;L;1;3;S101;1357;11408;1352;4;
494;4;672;L;1;4;;335;387;667;4;
494;4;683;L;1;4;;342;341;387;4;
494;4;6217;L;7;0;;;11135;12438;5;
494;4;6213;L;7;0;;;11135;6870;5;
494;4;6209;L;7;0;;;11135;6873;5;
494;4;783;L;1;1;G112;334;354;432;4;
494;4;6981;L;1;4;;5684;5743;5753;5;
494;4;6467;L;1;2;G112;6948;6947;6949;5;
494;4;6462;L;1;2;G112;6947;5663;6948;5;
494;4;6651;L;1;4;;5745;5746;5740;5;
494;4;817;L;1;1;G112;354;387;334;4;
494;4;818;L;1;1;G112;382;437;387;4;
494;4;6221;L;7;0;;;5603;12438;5;
494;4;6225;L;7;0;;;5603;6870;5;
494;4;6401;L;1;2;;5646;8275;6909;5;
494;4;6201;L;1;1;G18;8293;8292;6938;5;
494;4;6908;L;1;4;;5734;6950;5743;5;
494;4;6956;L;1;2;G205;5686;5685;5702;5;
494;4;6942;L;1;2;G205;5740;6910;5745;5;
494;4;6905;L;1;2;G205;5783;5558;6950;5;
494;4;6949;L;1;2;G205;5702;8295;8269;5;
494;4;7026;L;1;2;;5660;5650;5711;5;
494;4;6457;L;1;2;G207;5651;5561;6859;5;
494;4;6092;L;1;1;G25;5557;5555;6867;5;
494;4;436;L;1;2;G307;505;276;560;4;
494;4;401;L;1;2;G307;294;309;1364;4;
494;4;2516;L;1;2;G307;1356;502;1357;4;
494;4;2514;L;1;2;G307;1355;501;502;4;
494;4;744;L;1;2;G307;322;1357;354;4;
494;4;7106;L;1;4;;6939;8277;5669;5;
494;4;430;L;1;2;G308;540;506;4110;4;
494;4;2634;L;1;2;G308;566;315;318;4;
494;4;1250;L;1;4;;427;400;373;4;
494;4;2518;L;1;3;S101;1364;1369;285;4;
494;4;470;L;1;3;S101;1369;11408;1364;4;
494;4;2612;L;1;3;S204;5703;287;12376;4;
494;4;835;L;1;4;;314;11408;344;4;
494;4;2567;L;1;3;S232;323;1374;1363;4;
494;4;488;L;1;3;S232;1374;323;276;4;
494;4;7019;L;1;3;S262;8269;11169;6908;5;
494;4;759;L;1;4;;344;1357;367;4;
494;4;1379;L;1;4;;480;367;387;4;
494;4;451;L;1;3;S301;288;334;11705;4;
494;4;1368;L;1;3;S302;609;608;12391;4;
494;4;514;L;1;4;;366;367;283;4;
494;4;532;L;1;4;;367;580;366;4;
494;4;6497;L;1;4;;5703;8277;6861;5;
494;4;6498;L;1;4;;5703;6907;11257;5;
494;4;6237;L;7;0;;;5593;12438;5;
494;4;6233;L;7;0;;;5593;6870;5;
494;4;6229;L;7;0;;;5593;6873;5;
494;4;458;L;1;3;S304;339;276;344;4;
494;4;6433;L;1;3;S304;8274;5650;6947;5;
494;4;6241;L;7;0;;;5618;12438;5;
494;4;6245;L;7;0;;;5623;12438;5;
494;4;6545;L;1;4;;5663;5561;5651;5;
494;4;6788;L;1;4;;5673;5712;6942;5;
494;4;6862;L;1;4;;5705;11257;6948;5;
494;4;6850;L;1;4;;11257;5713;5753;5;
494;4;784;L;1;1;S356;311;432;304;4;
494;4;772;L;1;1;S356;304;396;311;4;
494;4;7008;L;1;3;S362;5583;5560;5743;5;
494;4;482;L;1;3;SL91;353;311;714;4;
494;4;2527;L;1;3;SL91;714;1352;353;4;
494;4;841;L;1;3;SL91;1352;355;714;4;
494;4;464;L;1;3;SL91;567;304;287;4;
494;4;615;L;1;4;X008;351;1364;294;4;
494;4;1429;L;1;4;X008;595;352;351;4;
494;4;2573;L;1;3;;502;1355;5671;4;
494;4;1437;L;1;4;X057;667;291;335;4;
494;4;6768;L;1;4;X064;5671;5689;6947;5;
494;4;2555;L;1;4;X064;5671;502;4115;4;
494;4;1093;L;1;4;X451;422;297;1375;4;
494;4;6596;L;1;4;X857;5726;5725;5699;5;
494;4;2608;L;1;4;;1408;352;283;4;
494;4;1082;L;1;4;;389;358;464;4;
494;4;273;L;7;0;;;311;821;4;
494;4;289;L;7;0;;;311;353;4;
494;4;269;L;7;0;;;311;301;4;
494;4;241;L;7;0;;;311;798;4;
494;4;249;L;7;0;;;311;804;4;
494;4;277;L;7;0;;;311;303;4;
494;4;261;L;7;0;;;311;300;4;
494;4;265;L;7;0;;;311;814;4;
494;4;285;L;7;0;;;311;828;4;
494;4;257;L;7;0;;;311;809;4;
494;4;281;L;7;0;;;796;301;4;
494;4;239;L;7;0;;;796;291;4;
494;4;1472;L;1;4;;771;432;304;4;
494;4;251;L;7;0;;;947;798;4;
494;4;231;L;7;0;;;334;791;4;
494;4;223;L;7;0;;;334;432;4;
494;4;201;L;7;0;;;334;767;4;
494;4;227;L;7;0;;;334;466;4;
494;4;237;L;7;0;;;334;291;4;
494;4;209;L;7;0;;;334;288;4;
494;4;205;L;7;0;;;334;336;4;
494;4;1585;L;7;0;;;334;1322;4;
494;4;1589;L;7;0;;;334;1325;4;
494;4;1581;L;7;0;;;801;358;4;
494;4;1583;L;7;0;;;801;1322;4;
494;4;1587;L;7;0;;;801;1325;4;
494;4;1462;L;1;4;;768;354;432;4;
494;4;221;L;7;0;;;922;432;4;
494;4;1591;L;7;0;;;922;358;4;
494;4;1595;L;7;0;;;922;1322;4;
494;4;1593;L;7;0;;;922;1325;4;
494;4;6576;L;1;4;;5699;6949;5702;5;
494;4;1079;L;1;4;;456;5937;309;4;
494;4;6447;L;1;3;;5679;11257;5684;5;
494;4;1076;L;1;4;;359;309;389;4;
