CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
494;4;424;L;3;0;G107;518;491;4103;1310;;4
494;4;1312;L;3;0;G107;518;547;545;1310;;4
494;4;6403;L;3;0;;5646;8275;5658;6401;;5
494;4;6404;L;3;0;;5646;11169;6909;6401;;5
494;4;7022;L;3;0;G205;5702;8295;5685;6949;;5
494;4;7023;L;3;0;G205;5702;5686;8269;6949;;5
494;4;437;L;3;0;G307;505;276;1354;436;;4
494;4;441;L;3;0;G307;505;1364;560;436;;4
494;4;1405;L;3;0;;434;453;937;1404;;4
494;4;1028;L;3;0;;434;940;398;1404;;4
494;4;7138;L;3;0;;6918;5673;6907;7056;;5
494;4;7139;L;3;0;;6918;5704;5705;7056;;5
494;4;36061;L;3;0;;12505;12485;12490;36060;;10
494;4;36070;L;3;0;;12505;12447;6938;36060;;10
494;4;7087;L;3;0;;6928;5673;6922;7083;;5
494;4;7088;L;3;0;;6928;6907;5705;7083;;5
494;4;2548;L;3;0;;1380;400;1381;2543;;4
494;4;2549;L;3;0;;1380;1382;420;2543;;4
494;4;6505;L;3;0;;5711;6947;5713;6600;;5
494;4;6601;L;3;0;;5711;5734;5583;6600;;5
494;4;1055;L;3;0;;467;466;804;1054;;4
494;4;1056;L;3;0;;467;798;435;1054;;4
494;4;2650;L;3;0;G308;398;4110;318;2672;;4
494;4;740;L;3;0;G308;398;317;5664;2672;;4
494;4;1002;L;3;0;;404;315;406;2674;;4
494;4;1004;L;3;0;;404;5664;379;2674;;4
494;4;1408;L;3;0;;418;381;1392;1407;;4
494;4;1144;L;3;0;;418;1393;344;1407;;4
494;4;1411;L;3;0;;343;381;1392;1410;;4
494;4;1135;L;3;0;;343;1393;749;1410;;4
494;4;7094;L;3;0;;6922;5670;6918;7040;;5
494;4;7095;L;3;0;;6922;6928;5692;7040;;5
494;4;2580;L;3;0;;307;457;291;2675;;4
494;4;1239;L;3;0;;307;295;297;2675;;4
494;4;2657;L;3;0;;4121;4122;1422;2676;;4
494;4;2661;L;3;0;;4121;4123;667;2676;;4
