CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
494;4;424;;1312
494;4;1312;424;
494;4;6403;;6404
494;4;6404;6403;
494;4;7022;;7023
494;4;7023;7022;
494;4;437;;441
494;4;441;437;
494;4;1405;;1028
494;4;1028;1405;
494;4;7138;;7139
494;4;7139;7138;
494;4;36061;;36070
494;4;36070;36061;
494;4;7087;;7088
494;4;7088;7087;
494;4;2548;;2549
494;4;2549;2548;
494;4;6505;;6601
494;4;6601;6505;
494;4;1055;;1056
494;4;1056;1055;
494;4;2650;;740
494;4;740;2650;
494;4;1002;;1004
494;4;1004;1002;
494;4;1408;;1144
494;4;1144;1408;
494;4;1411;;1135
494;4;1135;1411;
494;4;7094;;7095
494;4;7095;7094;
494;4;2580;;1239
494;4;1239;2580;
494;4;2657;;2661
494;4;2661;2657;
