CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
495;5;466;495;5;561
495;5;561;495;5;466
495;5;553;495;5;562
495;5;562;495;5;553
495;5;566;495;5;621
495;5;621;495;5;623
495;5;623;495;5;566
495;5;567;495;5;573
495;5;573;495;5;567
495;5;1208;495;5;1209
495;5;1209;495;5;1208
495;5;485;495;5;488
495;5;488;495;5;490
495;5;490;495;5;607
495;5;607;495;5;485
495;5;447;495;5;449
495;5;449;495;5;825
495;5;825;495;5;447
495;5;450;495;5;527
495;5;527;495;5;450
495;5;451;495;5;830
495;5;830;495;5;451
495;5;452;495;5;837
495;5;837;495;5;452
495;5;453;495;5;898
495;5;898;495;5;453
495;5;454;495;5;927
495;5;927;495;5;929
495;5;929;495;5;454
495;5;455;495;5;961
495;5;961;495;5;455
495;5;456;495;5;458
495;5;458;495;5;974
495;5;974;495;5;456
495;5;416;495;5;440
495;5;440;495;5;784
495;5;784;495;5;786
495;5;786;495;5;416
495;5;441;495;5;744
495;5;744;495;5;441
495;5;442;495;5;754
495;5;754;495;5;442
495;5;443;495;5;767
495;5;767;495;5;443
495;5;444;495;5;805
495;5;805;495;5;444
495;5;445;495;5;816
495;5;816;495;5;445
495;5;446;495;5;832
495;5;832;495;5;446
495;5;459;495;5;1119
495;5;1119;495;5;1121
495;5;1121;495;5;459
495;5;460;495;5;481
495;5;481;495;5;460
495;5;479;495;5;699
495;5;699;495;5;971
495;5;971;495;5;479
495;5;480;495;5;1118
495;5;1118;495;5;480
495;5;90;495;5;412
495;5;412;495;5;90
495;5;413;495;5;709
495;5;709;495;5;413
495;5;414;495;5;721
495;5;721;495;5;414
495;5;415;495;5;729
495;5;729;495;5;415
495;5;100;495;5;109
495;5;109;495;5;100
495;5;72;495;5;80
495;5;80;495;5;72
495;5;68;495;5;89
495;5;89;495;5;68
495;5;66;495;5;91
495;5;91;495;5;66
495;5;114;495;5;1183
495;5;1183;495;5;114
495;5;57;495;5;93
495;5;93;495;5;57
495;5;106;495;5;1132
495;5;1132;495;5;106
495;5;476;495;5;675
495;5;675;495;5;476
495;5;676;495;5;678
495;5;678;495;5;676
495;5;463;495;5;465
495;5;465;495;5;463
495;5;497;495;5;969
495;5;969;495;5;1042
495;5;1042;495;5;497
495;5;426;495;5;498
495;5;498;495;5;426
495;5;499;495;5;981
495;5;981;495;5;499
495;5;487;495;5;500
495;5;500;495;5;487
495;5;501;495;5;608
495;5;608;495;5;501
495;5;468;495;5;470
495;5;470;495;5;468
495;5;471;495;5;629
495;5;629;495;5;471
495;5;472;495;5;474
495;5;474;495;5;558
495;5;558;495;5;472
495;5;467;495;5;615
495;5;615;495;5;617
495;5;617;495;5;467
495;5;433;495;5;477
495;5;477;495;5;715
495;5;715;495;5;717
495;5;717;495;5;433
495;5;434;495;5;724
495;5;724;495;5;434
495;5;435;495;5;779
495;5;779;495;5;435
495;5;436;495;5;739
495;5;739;495;5;436
495;5;437;495;5;746
495;5;746;495;5;437
495;5;428;495;5;438
495;5;438;495;5;763
495;5;763;495;5;428
495;5;475;495;5;707
495;5;707;495;5;475
495;5;418;495;5;431
495;5;431;495;5;520
495;5;520;495;5;418
495;5;419;495;5;848
495;5;848;495;5;850
495;5;850;495;5;419
