CID;LID;NID;NAME;NCOMMENT
495;1;722;亚洲;
495;1;723;中国;
495;1;724;山西省;
495;1;1291;晋中市;
495;1;1280;临汾市;
495;1;1308;吕梁市;
495;1;4;太原市;
495;1;1311;阳泉市;
495;1;1269;运城市;
495;1;84;大运公路;
495;1;83;汾东南路;
495;1;130;庆云街;
495;1;123;人民南路;
495;1;131;圪塔营村;
495;1;129;武洛街;
495;1;91;恒山路;
495;1;79;解放北路;
495;1;93;钢园路;
495;1;73;建设北路;
495;1;69;迎泽南街;
495;1;58;胜利街;
495;1;50;迎泽大街;
495;1;74;五一东街;
495;1;75;五龙口街;
495;1;76;府东街;
495;1;77;迎春街;
495;1;57;北大街;
495;1;68;建设南路;
495;1;32;长风东街;
495;1;65;亲贤北街;
495;1;70;狄村街;
495;1;60;南内环街;
495;1;71;双塔寺街;
495;1;72;并州东街;
495;1;31;朝阳街;
495;1;78;涧河路;
495;1;80;东山马路;
495;1;92;涧河西街;
495;1;35;太榆路;
495;1;45;汇通北路;
495;1;596;太原绕城高速公路;
495;1;620;龙城大街;
495;1;64;南中环街;
495;1;48;学府街;
495;1;597;太原绕城高速公路北段;
495;1;26;太原服务区;
495;1;631;太原北服务区（二广高速公路）;
495;1;664;平临高速公路;
495;1;672;太阳高速公路;
495;1;611;二广高速公路;
495;1;599;太原绕城高速公路东段;
495;1;1258;京昆高速公路;
495;1;665;太原北服务区;
495;1;666;丈子头互通式立交桥;
495;1;667;杨家峪互通式立交桥;
495;1;668;朝阳街互通式立交桥;
495;1;669;太原东服务区;
495;1;601;太原绕城高速公路南段;
495;1;38;冶峪街;
495;1;117;滨河西路;
495;1;36;新晋祠路;
495;1;12;晋祠路;
495;1;604;太原绕城高速公路西段;
495;1;44;长风西街;
495;1;605;西苑南路;
495;1;670;兴华西街;
495;1;41;柴化线;
495;1;42;新兰路;
495;1;90;南外环路;
495;1;89;平阳南路;
495;1;168;长治路;
495;1;81;Ｇ２０８;
495;1;82;大王线;
495;1;51;大同路;
495;1;49;新建路;
495;1;251;古城西街;
495;1;96;金桥东街;
495;1;94;新城南大街;
495;1;17;汾东北路;
495;1;85;昌盛西街;
495;1;87;人民北路;
495;1;148;滨河东路;
495;1;86;通达西街;
495;1;63;平阳路;
495;1;67;长风街;
495;1;66;王村南街;
495;1;52;水西门街;
495;1;53;羊市街;
495;1;196;桃园三巷;
495;1;54;府西街;
495;1;55;旱西门街;
495;1;56;柳溪街;
495;1;59;新建南路;
495;1;61;双塔西街;
495;1;62;康乐街;
495;1;734;Ｇ３０７;
495;1;43;小牛线;
495;1;732;迎宾路;
495;1;208;敦化南路;
495;1;30;马道坡街;
495;1;104;西渠路;
495;1;680;花塔村;
495;1;681;岗乱线;
495;1;116;西峪东街;
495;1;1373;南内环西南环桥;
495;1;118;南内环西街;
495;1;1372;南内环西北环桥;
495;1;641;山西中医学院宿舍;
495;1;120;后王南街;
495;1;121;移村北街;
495;1;709;长华湾小区;
495;1;687;彩星街;
495;1;708;山西省轻工职业技术学院;
495;1;682;龙城西大街;
495;1;683;南中环西街;
495;1;710;马道坡街（彩星街）;
495;1;150;劲松路;
495;1;105;桃园北路;
495;1;106;南海街;
495;1;107;解放路;
495;1;108;柳巷南路;
495;1;684;五一广场;
495;1;188;南官坊路;
495;1;189;桥东街北二巷;
495;1;99;迎泽西大街;
495;1;97;西矿街;
495;1;653;迎泽大桥（劲松路）;
495;1;100;窊流路;
495;1;101;和平北路;
495;1;218;千峰南路;
495;1;103;大王路;
495;1;652;迎泽大桥（西渠路）;
495;1;132;坞城南路;
495;1;133;晋阳街;
495;1;98;白家庄路;
495;1;200;千峰北路;
495;1;155;金桥路;
495;1;685;长风桥;
495;1;153;南内环桥;
495;1;154;漪汾桥;
495;1;163;兴华街;
495;1;164;兴华北街;
495;1;171;开化寺街;
495;1;172;钟楼街;
495;1;173;东缉虎营;
495;1;174;城坊东街;
495;1;686;胜利桥东北环路;
495;1;205;金刚堰路;
495;1;217;营西街;
495;1;138;五一路;
495;1;671;平临高速公路太原段;
495;1;617;静乐服务区;
