CID;LID;NID;NTRANSLATION
495;2;4;tai yuan shi
495;3;4;Taiyuan
495;2;9;qing xu fu wu qu
495;3;9;Qingxu Service Area
495;2;10;wen yuan lu
495;3;10;Wenyuan Rd
495;2;12;jin ci lu
495;3;12;Jinci Rd
495;2;17;fen dong bei lu
495;3;17;Fendong North Rd
495;2;22;xin yang xi da jie
495;3;22;Xinyang West Ave
495;2;23;da yu ting che qu
495;3;23;Dayu Parking Area
495;2;26;tai yuan fu wu qu
495;3;26;Taiyuan Service Area
495;2;30;ma dao po jie
495;3;30;Madaopo St
495;2;31;chao yang jie
495;3;31;Chaoyang St
495;2;32;chang feng dong jie
495;3;32;Changfeng East St
495;2;35;tai yu lu
495;3;35;Taiyu Rd
495;2;36;xin jin ci lu
495;3;36;Xinjinci Rd
495;2;38;ye yu jie
495;3;38;Yeyu St
495;2;41;chai hua xian
495;3;41;Chaihua Line
495;2;42;xin lan lu
495;3;42;Xinlan Rd
495;2;43;xiao niu xian
495;3;43;Xiaoniu Line
495;2;44;chang feng xi jie
495;3;44;Changfeng West St
495;2;45;hui tong bei lu
495;3;45;Huitong North Rd
495;2;48;xue fu jie
495;3;48;Xuefu St
495;2;49;xin jian lu
495;3;49;Xinjian Rd
495;2;50;ying ze da jie
495;3;50;Yingze Ave
495;2;51;da tong lu
495;3;51;Datong Rd
495;2;52;shui xi men jie
495;3;52;Shuiximen St
495;2;53;yang shi jie
495;3;53;Yangshi St
495;2;54;fu xi jie
495;3;54;Fuxi St
495;2;55;han xi men jie
495;3;55;Hanximen St
495;2;56;liu xi jie
495;3;56;Liuxi St
495;2;57;bei da jie
495;3;57;Beida St
495;2;58;sheng li jie
495;3;58;Shengli St
495;2;59;xin jian nan lu
495;3;59;Xinjian South Rd
495;2;60;nan nei huan jie
495;3;60;S Inner Ring St
495;2;61;shuang ta xi jie
495;3;61;Shuangta West St
495;2;62;kang le jie
495;3;62;Kangle St
495;2;63;ping yang lu
495;3;63;Pingyang Rd
495;2;64;nan zhong huan jie
495;3;64;Nanzhonghuan St
495;2;65;qin xian bei jie
495;3;65;Qinxian North St
495;2;66;wang cun nan jie
495;3;66;Wangcun South St
495;2;67;chang feng jie
495;3;67;Changfeng St
495;2;68;jian she nan lu
495;3;68;Jianshe South Rd
495;2;69;ying ze nan jie
495;3;69;Yingze South St
495;2;70;di cun jie
495;3;70;Dicun St
