CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
495;5;561;;562
495;5;562;561;570
495;5;570;562;566
495;5;566;570;567
495;5;567;566;
495;5;1208;;485
495;5;485;1208;
495;5;449;;450
495;5;450;449;451
495;5;451;450;452
495;5;452;451;453
495;5;453;452;454
495;5;454;453;455
495;5;455;454;456
495;5;456;455;
495;5;440;;441
495;5;441;440;442
495;5;442;441;443
495;5;443;442;444
495;5;444;443;445
495;5;445;444;446
495;5;446;445;447
495;5;447;446;
495;5;458;;459
495;5;459;458;460
495;5;460;459;
495;5;479;;480
495;5;480;479;481
495;5;481;480;1209
495;5;1209;481;
495;5;1158;;412
495;5;412;1158;413
495;5;413;412;414
495;5;414;413;415
495;5;415;414;416
495;5;416;415;
495;5;79;99;100
495;5;100;79;120
495;5;120;100;80
495;5;80;120;82
495;5;82;80;83
495;5;83;82;84
495;5;84;83;85
495;5;85;84;86
495;5;86;85;87
495;5;87;86;89
495;5;89;87;90
495;5;90;89;91
495;5;91;90;114
495;5;114;91;92
495;5;92;114;93
495;5;93;92;95
495;5;95;93;106
495;5;106;95;96
495;5;96;106;97
495;5;97;96;98
495;5;98;97;99
495;5;99;98;79
495;5;675;;676
495;5;676;675;
495;5;462;;463
495;5;463;462;
495;5;497;;498
495;5;498;497;569
495;5;569;498;499
495;5;499;569;500
495;5;500;499;501
495;5;501;500;
495;5;470;;471
495;5;471;470;472
495;5;472;471;
495;5;465;;466
495;5;466;465;467
495;5;467;466;468
495;5;468;467;
495;5;490;;491
495;5;491;490;492
495;5;492;491;
495;5;433;;434
495;5;434;433;435
495;5;435;434;436
495;5;436;435;437
495;5;437;436;438
495;5;438;437;
495;5;474;;475
495;5;475;474;476
495;5;476;475;477
495;5;477;476;
495;5;487;;488
495;5;488;487;
495;5;418;;419
495;5;419;418;420
495;5;420;419;563
495;5;563;420;421
495;5;421;563;422
495;5;422;421;423
495;5;423;422;424
495;5;424;423;425
495;5;425;424;426
495;5;426;425;
495;5;428;;429
495;5;429;428;430
495;5;430;429;431
495;5;431;430;
495;5;402;;403
495;5;403;402;404
495;5;404;403;
495;5;933;;934
495;5;934;933;
495;5;533;;534
495;5;534;533;536
495;5;536;534;537
495;5;537;536;538
495;5;538;537;539
495;5;539;538;540
495;5;540;539;541
495;5;541;540;542
495;5;542;541;543
495;5;543;542;544
495;5;544;543;545
495;5;545;544;546
495;5;546;545;547
495;5;547;546;548
495;5;548;547;
495;5;940;;941
495;5;941;940;
495;5;936;;937
495;5;937;936;938
495;5;938;937;
495;5;406;;407
495;5;407;406;1140
495;5;1140;407;1141
495;5;1141;1140;408
495;5;408;1141;409
495;5;409;408;
495;5;929;;930
495;5;930;929;931
495;5;931;930;
495;5;518;;519
495;5;519;518;520
495;5;520;519;521
495;5;521;520;522
495;5;522;521;523
495;5;523;522;524
495;5;524;523;525
495;5;525;524;526
495;5;526;525;527
495;5;527;526;
495;5;509;;510
495;5;510;509;511
495;5;511;510;512
495;5;512;511;513
495;5;513;512;514
495;5;514;513;515
495;5;515;514;516
495;5;516;515;
495;5;573;;574
495;5;574;573;575
495;5;575;574;
495;5;503;;504
495;5;504;503;505
495;5;505;504;506
495;5;506;505;507
495;5;507;506;
495;5;1181;;1182
495;5;1182;1181;1183
495;5;1183;1182;1142
495;5;1142;1183;1143
495;5;1143;1142;641
495;5;641;1143;642
495;5;642;641;703
495;5;703;642;643
495;5;643;703;644
495;5;644;643;645
495;5;645;644;704
495;5;704;645;646
495;5;646;704;
495;5;692;;693
495;5;693;692;694
495;5;694;693;695
495;5;695;694;696
495;5;696;695;697
495;5;697;696;698
495;5;698;697;699
495;5;699;698;
495;5;529;;530
495;5;530;529;
495;5;955;;956
495;5;956;955;957
495;5;957;956;958
495;5;958;957;959
495;5;959;958;960
495;5;960;959;961
495;5;961;960;
495;5;109;;110
495;5;110;109;112
495;5;112;110;113
495;5;113;112;
495;5;832;;833
495;5;833;832;834
495;5;834;833;835
495;5;835;834;
495;5;666;;667
495;5;667;666;
495;5;923;;924
495;5;924;923;
495;5;1160;;1161
495;5;1161;1160;1162
495;5;1162;1161;
495;5;1191;;1192
495;5;1192;1191;
495;5;1064;;1065
495;5;1065;1064;1066
495;5;1066;1065;
495;5;629;;630
495;5;630;629;631
495;5;631;630;632
495;5;632;631;633
495;5;633;632;634
495;5;634;633;635
495;5;635;634;636
495;5;636;635;637
495;5;637;636;701
495;5;701;637;638
495;5;638;701;942
495;5;942;638;639
495;5;639;942;1149
495;5;1149;639;
495;5;587;;588
495;5;588;587;589
495;5;589;588;590
495;5;590;589;
495;5;815;;816
495;5;816;815;
495;5;582;;583
495;5;583;582;584
495;5;584;583;585
495;5;585;584;
495;5;812;;813
495;5;813;812;
495;5;672;;673
495;5;673;672;669
495;5;669;673;
495;5;786;;787
495;5;787;786;788
495;5;788;787;
495;5;778;;779
495;5;779;778;780
495;5;780;779;781
495;5;781;780;782
495;5;782;781;783
495;5;783;782;784
495;5;784;783;
495;5;1132;;769
495;5;769;1132;770
495;5;770;769;773
495;5;773;770;774
495;5;774;773;775
495;5;775;774;776
495;5;776;775;
495;5;1167;;1168
495;5;1168;1167;1169
495;5;1169;1168;
495;5;1175;;1176
495;5;1176;1175;
495;5;1171;;1172
495;5;1172;1171;1173
495;5;1173;1172;
495;5;678;;679
495;5;679;678;680
495;5;680;679;681
495;5;681;680;682
495;5;682;681;683
495;5;683;682;684
495;5;684;683;685
495;5;685;684;
495;5;920;;921
495;5;921;920;
495;5;1014;;1015
495;5;1015;1014;1016
495;5;1016;1015;1017
495;5;1017;1016;
495;5;551;;531
495;5;531;551;493
495;5;493;531;
495;5;790;;791
495;5;791;790;
495;5;753;;754
495;5;754;753;
495;5;910;;911
495;5;911;910;
495;5;1121;;1122
495;5;1122;1121;
495;5;1047;;1048
495;5;1048;1047;
495;5;64;;65
495;5;65;64;66
495;5;66;65;
495;5;72;;115
495;5;115;72;73
495;5;73;115;74
495;5;74;73;75
495;5;75;74;76
495;5;76;75;
495;5;750;;751
495;5;751;750;
495;5;895;;896
495;5;896;895;897
495;5;897;896;898
495;5;898;897;
495;5;890;;891
495;5;891;890;892
495;5;892;891;893
495;5;893;892;
