CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
495;5;561;P;1;12;;84;83;;4;;;564;1;1;1;1;1;1;;;+11255650;+3771772;0;0
495;5;562;P;1;12;;84;123;;4;;;564;1;1;1;1;1;1;;;+11256812;+3771796;0;0
495;5;570;P;1;12;;84;131;;4;;;564;1;1;1;1;1;1;;;+11258340;+3771840;0;0
495;5;566;P;1;10;;84;129;;4;;;564;1;1;1;1;1;1;;;+11258349;+3772985;0;0
495;5;567;P;1;10;;84;130;;4;;;564;1;1;1;1;1;1;;;+11258435;+3774223;0;0
495;5;1208;P;1;10;;91;79;;4;;;483;1;1;1;1;1;1;;;+11256296;+3791883;0;1
495;5;485;P;1;10;;91;93;;4;;;483;1;1;1;1;1;1;;;+11255381;+3795083;0;1
495;5;449;P;1;10;;73;69;;4;;;448;1;1;1;1;1;1;;;+11258559;+3785856;0;1
495;5;450;P;1;10;;73;50;;4;;;448;1;1;1;1;1;1;;;+11258542;+3786046;0;1
495;5;451;P;1;10;;73;74;;4;;;448;1;1;1;1;1;1;;;+11258543;+3786182;0;1
495;5;452;P;1;10;;73;75;;4;;;448;1;1;1;1;1;1;;;+11258528;+3786446;0;1
495;5;453;P;1;10;;73;76;;4;;;448;1;1;1;1;1;1;;;+11258493;+3787218;0;1
495;5;454;P;1;10;;73;77;;4;;;448;1;1;1;1;1;1;;;+11258416;+3788185;0;1
495;5;455;P;1;10;;73;57;;4;;;448;1;1;1;1;1;1;;;+11258391;+3788860;0;1
495;5;456;P;1;10;;73;58;;4;;;448;1;1;1;1;1;1;;;+11258366;+3789454;0;1
495;5;440;P;1;10;;68;32;;4;;;439;1;1;1;1;1;1;;;+11258751;+3781781;0;1
495;5;441;P;1;10;;68;65;;4;;;439;1;1;1;1;1;1;;;+11258733;+3782348;0;1
495;5;442;P;1;10;;68;70;;4;;;439;1;1;1;1;1;1;;;+11258686;+3783127;0;1
495;5;443;P;1;10;;68;60;;4;;;439;1;1;1;1;1;1;;;+11258641;+3783932;0;1
495;5;444;P;1;10;;68;71;;4;;;439;1;1;1;1;1;1;;;+11258608;+3784595;0;1
