CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
495;5;564;L;1;3;S103;84;83;130;4;
495;5;483;L;1;2;G108;91;79;93;4;
495;5;448;L;1;2;G108;73;69;58;4;
495;5;439;L;1;2;G108;68;32;69;4;
495;5;457;L;1;2;G108;78;58;79;4;
495;5;478;L;1;2;G108;79;58;91;4;
495;5;410;L;1;2;G108;35;45;32;4;
495;5;77;L;2;1;G2001;596;;;4;
495;5;674;L;1;4;;90;89;168;4;
495;5;461;L;1;2;G208;81;82;83;4;
495;5;496;L;1;2;G208;51;58;42;4;
495;5;469;L;1;2;G208;17;85;87;4;
495;5;464;L;1;2;G208;83;81;85;4;
495;5;489;L;1;2;G208;93;91;81;4;
495;5;432;L;1;2;G208;63;64;60;4;
495;5;473;L;1;2;G208;89;87;64;4;
495;5;486;L;1;2;G208;94;51;91;4;
495;5;417;L;1;2;G208;49;50;51;4;
495;5;427;L;1;2;G208;59;60;50;4;
495;5;401;L;1;2;G307;734;43;36;4;
495;5;932;L;1;2;G307;208;30;77;4;
495;5;535;L;1;4;;12;732;104;4;
495;5;939;L;1;4;;30;709;687;4;
495;5;935;L;1;2;G307;30;208;708;4;
495;5;405;L;1;2;G307;36;734;12;4;
495;5;928;L;1;4;;77;73;710;4;
495;5;517;L;1;2;G307;50;150;73;4;
495;5;508;L;1;3;S104;99;97;653;4;
495;5;572;L;1;3;S103;132;130;133;4;
495;5;502;L;1;4;;97;98;200;4;
495;5;640;L;1;4;;117;734;155;4;
495;5;691;L;1;4;;107;50;58;4;
495;5;528;L;1;4;;732;1258;734;4;
495;5;954;L;1;4;;57;686;73;4;
495;5;108;L;1;1;S50;671;596;617;4;
495;5;831;L;1;4;X247;31;68;230;4;
495;5;665;L;1;4;X257;165;155;41;4;
495;5;922;L;1;4;;207;206;138;4;
495;5;1159;L;1;4;;644;73;687;4;
495;5;1190;L;1;4;;717;148;57;4;
495;5;1063;L;1;4;;206;140;57;4;
495;5;628;L;1;4;;148;17;42;4;
495;5;586;L;1;4;;137;60;684;4;
495;5;814;L;1;4;;72;137;68;4;
495;5;581;L;1;4;;136;67;60;4;
495;5;811;L;1;4;;186;185;137;4;
495;5;671;L;1;4;;41;596;165;4;
495;5;785;L;1;4;;32;35;263;4;
495;5;777;L;1;4;;67;702;35;4;
495;5;772;L;1;4;;44;596;659;4;
495;5;1166;L;1;4;;646;36;117;4;
495;5;1174;L;1;4;;647;648;646;4;
495;5;1170;L;1;4;;648;36;117;4;
495;5;677;L;1;4;;168;90;60;4;
495;5;919;L;1;4;;174;107;206;4;
495;5;1013;L;1;4;;103;118;99;4;
495;5;550;L;1;4;;240;103;117;4;
495;5;789;L;1;4;;159;157;218;4;
495;5;752;L;1;4;;70;136;68;4;
495;5;909;L;1;4;;173;107;206;4;
495;5;1120;L;1;4;;80;78;231;4;
495;5;1046;L;1;4;;195;52;53;4;
495;5;107;L;1;1;;607;614;737;4;
495;5;749;L;1;4;;179;177;136;4;
495;5;894;L;1;4;;76;107;73;4;
495;5;889;L;1;4;;54;154;107;4;
495;5;612;L;1;4;;681;12;83;4;
495;5;899;L;1;4;;151;148;49;4;
495;5;903;L;1;4;;55;49;202;4;
495;5;656;L;1;4;;101;99;155;4;
495;5;650;L;1;4;;157;116;99;4;
495;5;792;L;1;4;;120;218;12;4;
495;5;945;L;1;4;;257;258;35;4;
495;5;1117;L;1;4;;92;79;78;4;
495;5;686;L;1;4;;170;60;50;4;
495;5;1038;L;1;4;;205;151;58;4;
495;5;979;L;1;4;;96;148;51;4;
495;5;975;L;1;4;;155;101;690;4;
495;5;1023;L;1;4;;194;50;196;4;
495;5;1019;L;1;4;;150;62;50;4;
495;5;1133;L;1;4;;133;148;35;4;
495;5;18051;L;1;1;;1293;1290;734;7;
495;5;12051;L;1;1;;1281;1278;1290;6;
495;5;24051;L;1;1;;1309;1302;729;8;
495;5;70;L;1;1;;608;729;674;4;
495;5;30051;L;1;1;;1312;734;729;9;
495;5;6051;L;1;1;;1270;1271;1278;5;
495;5;1109;L;1;4;;192;31;229;4;
495;5;853;L;1;4;;171;107;108;4;
495;5;806;L;1;4;;62;148;170;4;
495;5;915;L;1;4;;56;148;49;4;
495;5;1057;L;1;4;;224;197;76;4;
495;5;1053;L;1;4;;108;50;197;4;
495;5;705;L;1;4;;620;693;35;4;
495;5;1086;L;1;4;;188;187;50;4;
495;5;1043;L;1;4;;106;50;52;4;
495;5;761;L;1;4;;60;694;68;4;
495;5;755;L;1;4;;118;157;153;4;
495;5;1163;L;1;4;;645;12;36;4;
495;5;716;L;1;4;;64;89;35;4;
495;5;713;L;1;4;;683;36;696;4;
495;5;1153;L;1;4;;627;219;162;4;
495;5;997;L;1;4;;200;218;220;4;
495;5;986;L;1;4;;218;44;99;4;
495;5;817;L;1;4;;187;137;68;4;
495;5;1093;L;1;4;;189;69;50;4;
495;5;869;L;1;4;;197;108;138;4;
495;5;738;L;1;4;;65;63;68;4;
495;5;1049;L;1;4;;185;61;50;4;
495;5;30055;L;1;1;;1315;1258;734;9;
495;5;556;L;1;4;;87;124;89;4;
495;5;552;L;1;4;;123;84;124;4;
495;5;872;L;1;4;;139;138;198;4;
495;5;1060;L;1;4;;624;76;140;4;
495;5;967;L;1;4;;58;148;73;4;
495;5;1184;L;1;4;;715;163;117;4;
495;5;1193;L;1;4;;686;148;57;4;
495;5;1187;L;1;4;;716;163;216;4;
495;5;1105;L;1;4;;191;712;75;4;
495;5;803;L;1;4;;71;137;68;4;
495;5;796;L;1;4;;61;148;137;4;
495;5;844;L;1;4;;193;148;52;4;
495;5;849;L;1;4;;52;49;171;4;
495;5;1113;L;1;4;;230;668;75;4;
495;5;121;L;1;1;;1365;1367;596;4;
495;5;116;L;1;1;G5;672;597;677;4;
495;5;1032;L;1;4;;105;50;151;4;
495;5;1028;L;1;4;;184;61;50;4;
495;5;856;L;1;4;;196;148;49;4;
495;5;1079;L;1;4;;177;64;60;4;
495;5;1070;L;1;4;;176;48;225;4;
495;5;619;L;1;4;;125;123;84;4;
495;5;616;L;1;4;;86;83;123;4;
495;5;982;L;1;4;;100;99;670;4;
495;5;841;L;1;4;;160;101;200;4;
495;5;745;L;1;4;;66;63;177;4;
495;5;730;L;1;4;;178;63;169;4;
495;5;1123;L;1;4;;231;80;713;4;
495;5;1126;L;1;4;;697;231;596;4;
495;5;836;L;1;4;;75;73;230;4;
495;5;826;L;1;4;;74;684;73;4;
495;5;1090;L;1;4;;698;50;74;4;
495;5;591;L;1;4;;684;137;138;4;
495;5;1096;L;1;4;;699;50;74;4;
495;5;595;L;1;4;;138;684;58;4;
495;5;733;L;1;4;;169;168;134;4;
495;5;576;L;1;3;;134;700;67;4;
495;5;622;L;1;4;;129;84;146;4;
495;5;625;L;1;4;;146;129;35;4;
495;5;906;L;1;4;;203;204;107;4;
495;5;700;L;1;4;;104;99;162;4;
495;5;647;L;1;4;;116;156;12;4;
495;5;532;L;1;4;;605;596;99;4;
495;5;925;L;1;4;;141;138;73;4;
495;5;1102;L;1;4;;198;227;139;4;
495;5;1099;L;1;4;;190;74;227;4;
495;5;606;L;1;4;;42;93;268;4;
495;5;912;L;1;4;;140;624;138;4;
