CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
495;5;78;L;3;0;;597;26;631;77;;4
495;5;81;L;3;0;;599;631;1258;77;;4
495;5;88;L;3;0;;601;1258;38;77;;4
495;5;94;L;3;0;;604;38;26;77;;4
495;5;63;L;3;0;;607;614;596;107;;4
495;5;71;L;3;0;;607;642;737;107;;4
495;5;18052;L;3;0;;1293;1290;1302;18051;;7
495;5;18062;L;3;0;;1293;1268;734;18051;;7
495;5;51;L;3;0;;608;729;12;70;;4
495;5;67;L;3;0;;608;673;674;70;;4
495;5;702;L;3;0;;104;99;1370;700;;4
495;5;1002;L;3;0;;104;199;162;700;;4
