CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
496;6;1319;496;6;2995
496;6;2995;496;6;2997
496;6;2997;496;6;1319
496;6;822;496;6;1042
496;6;1042;496;6;1451
496;6;1451;496;6;2741
496;6;2741;496;6;822
496;6;2998;496;6;3000
496;6;3000;496;6;2998
496;6;815;496;6;817
496;6;817;496;6;815
496;6;821;496;6;2486
496;6;2486;496;6;821
496;6;825;496;6;3004
496;6;3004;496;6;825
496;6;6497;496;6;6499
496;6;6499;496;6;6645
496;6;6645;496;6;6497
496;6;6646;496;6;6865
496;6;6865;496;6;6867
496;6;6867;496;6;6646
496;6;7035;496;6;7372
496;6;7372;496;6;7035
496;6;6473;496;6;6671
496;6;6671;496;6;6672
496;6;6672;496;6;6473
496;6;6727;496;6;8687
496;6;8687;496;6;6727
496;6;6728;496;6;8693
496;6;8693;496;6;8695
496;6;8695;496;6;6728
496;6;8706;496;6;8828
496;6;8828;496;6;8706
496;6;6729;496;6;8772
496;6;8772;496;6;6729
496;6;8603;496;6;8616
496;6;8616;496;6;8618
496;6;8618;496;6;8603
496;6;6706;496;6;6730
496;6;6730;496;6;6810
496;6;6810;496;6;8961
496;6;8961;496;6;6706
496;6;6711;496;6;6731
496;6;6731;496;6;6812
496;6;6812;496;6;8800
496;6;8800;496;6;6711
496;6;6732;496;6;7165
496;6;7165;496;6;6732
496;6;6631;496;6;6734
496;6;6734;496;6;7044
496;6;7044;496;6;6631
496;6;6768;496;6;7697
496;6;7697;496;6;6768
496;6;2714;496;6;6736
496;6;6736;496;6;2714
496;6;326;496;6;827
496;6;827;496;6;326
496;6;2715;496;6;2717
496;6;2717;496;6;2715
496;6;2131;496;6;2132
496;6;2132;496;6;2131
496;6;1343;496;6;2119
496;6;2119;496;6;1343
496;6;196;496;6;928
496;6;928;496;6;1345
496;6;1345;496;6;196
496;6;1450;496;6;2670
496;6;2670;496;6;2740
496;6;2740;496;6;1450
496;6;321;496;6;1028
496;6;1028;496;6;321
496;6;1012;496;6;1029
496;6;1029;496;6;1012
496;6;1030;496;6;2023
496;6;2023;496;6;1030
496;6;152;496;6;1031
496;6;1031;496;6;1597
496;6;1597;496;6;152
496;6;1033;496;6;1443
496;6;1443;496;6;1033
496;6;1034;496;6;1435
496;6;1435;496;6;1034
496;6;1035;496;6;1392
496;6;1392;496;6;1035
496;6;8964;496;6;8965
496;6;8965;496;6;8964
496;6;2983;496;6;8953
496;6;8953;496;6;2983
496;6;2818;496;6;2819
496;6;2819;496;6;2818
496;6;2024;496;6;2038
496;6;2038;496;6;2024
496;6;121;496;6;1363
496;6;1363;496;6;2671
496;6;2671;496;6;121
496;6;136;496;6;2006
496;6;2006;496;6;3053
496;6;3053;496;6;136
496;6;138;496;6;2104
496;6;2104;496;6;138
496;6;141;496;6;1401
496;6;1401;496;6;141
496;6;2446;496;6;2449
496;6;2449;496;6;3003
496;6;3003;496;6;2446
496;6;117;496;6;119
496;6;119;496;6;1287
496;6;1287;496;6;2905
496;6;2905;496;6;117
496;6;122;496;6;1374
496;6;1374;496;6;122
496;6;188;496;6;3005
496;6;3005;496;6;188
496;6;189;496;6;1348
496;6;1348;496;6;1350
496;6;1350;496;6;189
496;6;190;496;6;1641
496;6;1641;496;6;190
496;6;192;496;6;2871
496;6;2871;496;6;192
496;6;182;496;6;184
496;6;184;496;6;2457
496;6;2457;496;6;182
496;6;185;496;6;1359
496;6;1359;496;6;185
496;6;46;496;6;133
496;6;133;496;6;2531
496;6;2531;496;6;46
496;6;47;496;6;146
496;6;146;496;6;47
496;6;48;496;6;227
496;6;227;496;6;835
496;6;835;496;6;48
496;6;51;496;6;1197
496;6;1197;496;6;51
496;6;31;496;6;421
496;6;421;496;6;31
496;6;36;496;6;56
496;6;56;496;6;36
496;6;2837;496;6;2971
496;6;2971;496;6;2837
496;6;38;496;6;2810
496;6;2810;496;6;38
496;6;44;496;6;1019
496;6;1019;496;6;44
496;6;2801;496;6;2804
496;6;2804;496;6;2801
496;6;2799;496;6;2940
496;6;2940;496;6;2799
496;6;2798;496;6;6115
496;6;6115;496;6;2798
496;6;6095;496;6;6105
496;6;6105;496;6;8875
496;6;8875;496;6;6095
496;6;6106;496;6;6113
496;6;6113;496;6;6106
496;6;2803;496;6;6118
496;6;6118;496;6;2803
496;6;6054;496;6;6090
496;6;6090;496;6;9018
496;6;9018;496;6;6054
496;6;2690;496;6;7704
496;6;7704;496;6;2690
496;6;63;496;6;1014
496;6;1014;496;6;1576
496;6;1576;496;6;63
496;6;3028;496;6;3035
496;6;3035;496;6;3028
496;6;1016;496;6;1585
496;6;1585;496;6;1016
496;6;1548;496;6;2416
496;6;2416;496;6;1548
496;6;1543;496;6;1545
