CID;LID;NID;NAME;NCOMMENT
496;1;1;亚洲;
496;1;2;中国;
496;1;1178;广东省;
496;1;7523;佛山市;
496;1;1179;广州市;
496;1;1223;白云大道北;
496;1;1186;白云大道南;
496;1;15236;陈太路;
496;1;391;同泰路;
496;1;858;东平大道;
496;1;397;下塘西路;
496;1;871;景云路;
496;1;15235;金钟横路;
496;1;15269;云城中一路;
496;1;15237;广从一路;
496;1;860;龙河西路;
496;1;859;龙兴中路;
496;1;7285;文华中路;
496;1;7300;魁奇二路;
496;1;7268;文华北路;
496;1;7373;绿景三路;
496;1;7563;彩虹路;
496;1;7550;Ｇ１０５佛山段;
496;1;14231;同安村;
496;1;15019;钟林收费站;
496;1;14361;南国西路;
496;1;7400;文海西路;
496;1;14746;桂洲大道东;
496;1;2167;桥东路;
496;1;7402;兴顺路;
496;1;14501;近良路;
496;1;14362;环市北路;
496;1;7525;龙洲公路;
496;1;7553;世纪大道;
496;1;7310;三乐西路;
496;1;14363;美的大道;
496;1;7360;陈村大道;
496;1;14277;广珠西线高速公路;
496;1;15119;Ｇ１０５广州段;
496;1;869;竹料大道东;
496;1;14716;广州绕城高速公路;
496;1;14230;北太路;
496;1;863;大沥路;
496;1;864;太和北路;
496;1;865;Ｘ２７２;
496;1;15161;罗窑路;
496;1;867;乌溪路;
496;1;15275;良沙一路;
496;1;966;南洲路;
496;1;14323;禺山西路;
496;1;15276;市广路;
496;1;15020;飘峰山庄;
496;1;15021;Ｓ２９６;
496;1;1268;大涌路;
496;1;15277;迎宾路;
496;1;14659;北环路;
496;1;177;Ｇ１０６;
496;1;1020;广花一路;
496;1;15023;平步大道东;
496;1;14767;华南快速;
496;1;1021;百花岭北街;
496;1;544;新石路;
496;1;1282;龙兴西路;
496;1;1022;Ｓ１１６;
496;1;15163;方华公路（人和大马路）;
496;1;1025;机场高速公路;
496;1;15278;赤坎地;
496;1;252;迎宾大道;
496;1;1028;商业大道;
496;1;14235;三东大道东;
496;1;8029;Ｓ２６７;
496;1;15281;桂和公路;
496;1;1330;Ｓ１１８;
496;1;1024;方华公路;
496;1;15039;西湖西街;
496;1;15249;云高生态公园;
496;1;14727;大广高速公路;
496;1;14263;人和大马路;
496;1;26;Ｇ１０７;
496;1;14236;汇彩路（黄埔大道东）;
496;1;25;中山大道东;
496;1;18;广清高速公路;
496;1;320;鸦岗大道;
496;1;14677;广清大道;
496;1;321;江石西路;
496;1;14757;Ｙ１４７;
496;1;324;神山大道西;
496;1;325;农新路;
496;1;326;平步大道中;
496;1;1409;狮岭服务区;
496;1;14758;山前旅游大道;
496;1;14274;广深大道西;
496;1;558;开创大道;
496;1;15015;沈海高速公路;
496;1;15;黄埔大道东;
496;1;270;车陂路;
496;1;14678;蟹山西路;
496;1;14739;广州环城高速公路;
496;1;308;汇彩路;
496;1;14674;黄埔东路;
496;1;15238;港湾路;
496;1;365;丰乐中路;
496;1;366;石化路;
496;1;15239;信华路;
496;1;370;开发大道;
496;1;2085;珠吉路;
496;1;363;茅岗路;
496;1;15211;广州环城高速公路东段;
496;1;234;黄村立交;
496;1;255;土华立交;
496;1;235;东圃立交;
496;1;236;新洲立交;
496;1;1161;南沙港快速路;
496;1;15212;广州环城高速公路南段;
496;1;241;海南立交;
496;1;982;新光快速路;
496;1;239;三滘立交;
496;1;14773;东新高速公路;
496;1;15213;广州环城高速公路西段;
496;1;245;沙贝立交;
496;1;243;黄岐立交;
