CID;LID;NID;NTRANSLATION
496;2;1;ya zhou
496;3;1;Asia
496;2;2;zhong guo
496;3;2;China
496;2;10;dong feng xi lu
496;3;10;Dongfeng West Rd
496;2;12;dong feng dong lu
496;3;12;Dongfeng East Rd
496;2;14;huang pu da dao zhong
496;3;14;Huangpu Blvd M
496;2;15;huang pu da dao dong
496;3;15;Huangpu Blvd E
496;2;16;jin sha zhou lu
496;3;16;Jinshazhou Rd
496;2;17;song nan lu
496;3;17;Songnan Rd
496;2;18;guang qing gao su gong lu
496;3;18;Guangqing Hwy
496;2;21;huan shi dong lu
496;3;21;Huanshi East Rd
496;2;23;zhong shan da dao xi
496;3;23;Zhongshan Blvd W
496;2;24;zhong shan da dao zhong
496;3;24;Zhongshan Blvd M
496;2;25;zhong shan da dao dong
496;3;25;Zhongshan Blvd E
496;2;26;G107
496;3;26;G107
496;2;27;guang zhou da dao nan
496;3;27;Guangzhou Blvd S
496;2;31;guang yuan zhong lu
496;3;31;Guangyuan Middle Rd
496;2;32;guang yuan xi lu
496;3;32;Guangyuan West Rd
496;2;33;san yuan li da dao
496;3;33;Sanyuanli Blvd
496;2;36;zhong shan liu lu
496;3;36;Zhongshanliu Rd
496;2;38;zhong shan si lu
496;3;38;Zhongshansi Rd
496;2;43;lu hu lu
496;3;43;Luhu Rd
496;2;45;xian lie zhong lu
496;3;45;Xianlie Middle Rd
496;2;54;G324
496;3;54;G324
496;2;55;da guan nan lu
496;3;55;Daguan South Rd
496;2;61;jie fang bei lu
496;3;61;Jiefang North Rd
496;2;64;S114
496;3;64;S114
496;2;66;li wan lu
496;3;66;Liwan Rd
496;2;67;bao hua lu
496;3;67;Baohua Rd
496;2;68;long jin zhong lu
496;3;68;Longjin Middle Rd
496;2;73;wen ming lu
496;3;73;Wenming Rd
496;2;75;dong hua dong lu
496;3;75;Donghua East Rd
496;2;77;chang shou dong lu
496;3;77;Changshou East Rd
496;2;79;shang jiu lu
496;3;79;Shangjiu Rd
496;2;80;da de lu
496;3;80;Dade Rd
496;2;81;he ping zhong lu
496;3;81;Heping Middle Rd
496;2;82;he ping dong lu
496;3;82;Heping East Rd
496;2;83;yi de lu
496;3;83;Yide Rd
496;2;85;bei jing lu
496;3;85;Beijing Rd
496;2;93;shi ba fu bei lu
496;3;93;Shibafu North Rd
496;2;99;ren min nan lu
496;3;99;Renmin South Rd
496;2;101;kang wang bei lu
496;3;101;Kangwang North Rd
496;2;104;tong qing lu
496;3;104;Tongqing Rd
496;2;105;jie fang nan lu
496;3;105;Jiefang South Rd
496;2;110;wen de lu
496;3;110;Wende Rd
496;2;114;bin jiang dong lu
496;3;114;Binjiang East Rd
496;2;117;guang jiu da ma lu
496;3;117;Guangjiuda Rd
496;2;118;bai yun lu
496;3;118;Baiyun Rd
496;2;121;da tong lu
496;3;121;Datong Rd
