CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
496;6;2997;;822
496;6;822;2997;823
496;6;823;822;2998
496;6;2998;823;
496;6;817;;818
496;6;818;817;819
496;6;819;818;821
496;6;821;819;2995
496;6;2995;821;
496;6;3000;;824
496;6;824;3000;825
496;6;825;824;
496;6;6645;;6646
496;6;6646;6645;7035
496;6;7035;6646;6672
496;6;6672;7035;
496;6;6726;;6727
496;6;6727;6726;6728
496;6;6728;6727;8828
496;6;8828;6728;6729
496;6;6729;8828;8603
496;6;8603;6729;6730
496;6;6730;8603;
496;6;6731;;6732
496;6;6732;6731;6733
496;6;6733;6732;6734
496;6;6734;6733;6431
496;6;6431;6734;7697
496;6;7697;6431;6735
496;6;6735;7697;6736
496;6;6736;6735;
496;6;3004;;826
496;6;826;3004;827
496;6;827;826;828
496;6;828;827;829
496;6;829;828;830
496;6;830;829;831
496;6;831;830;832
496;6;832;831;833
496;6;833;832;834
496;6;834;833;
496;6;2714;;2715
496;6;2715;2714;2132
496;6;2132;2715;1340
496;6;1340;2132;1341
496;6;1341;1340;1342
496;6;1342;1341;1343
496;6;1343;1342;1344
496;6;1344;1343;1345
496;6;1345;1344;
496;6;1026;;2670
496;6;2670;1026;1027
496;6;1027;2670;1232
496;6;1232;1027;1322
496;6;1322;1232;1028
496;6;1028;1322;1029
496;6;1029;1028;1030
496;6;1030;1029;1031
496;6;1031;1030;1032
496;6;1032;1031;1033
496;6;1033;1032;1034
496;6;1034;1033;1035
496;6;1035;1034;1036
496;6;1036;1035;
496;6;8965;;8541
496;6;8541;8965;8953
496;6;8953;8541;
496;6;2819;;2022
496;6;2022;2819;2023
496;6;2023;2022;2024
496;6;2024;2023;
496;6;2671;;2604
496;6;2604;2671;
496;6;136;;137
496;6;137;136;138
496;6;138;137;139
496;6;139;138;140
496;6;140;139;141
496;6;141;140;142
496;6;142;141;1571
496;6;1571;142;1572
496;6;1572;1571;1573
496;6;1573;1572;
496;6;2446;;2447
496;6;2447;2446;
496;6;119;;120
496;6;120;119;121
496;6;121;120;122
496;6;122;121;
496;6;188;;189
496;6;189;188;190
496;6;190;189;191
496;6;191;190;192
496;6;192;191;3003
496;6;3003;192;
496;6;184;;185
496;6;185;184;2605
496;6;2605;185;3005
496;6;3005;2605;
496;6;31;51;2679
496;6;2679;31;32
496;6;32;2679;33
496;6;33;32;34
496;6;34;33;36
496;6;36;34;2837
496;6;2837;36;37
496;6;37;2837;38
496;6;38;37;39
496;6;39;38;41
496;6;41;39;42
496;6;42;41;43
496;6;43;42;44
496;6;44;43;46
496;6;46;44;47
496;6;47;46;48
496;6;48;47;49
496;6;49;48;50
496;6;50;49;51
496;6;51;50;31
496;6;2801;;2800
496;6;2800;2801;2799
496;6;2799;2800;2798
496;6;2798;2799;2797
496;6;2797;2798;2796
496;6;2796;2797;2795
496;6;2795;2796;2941
496;6;2941;2795;6095
496;6;6095;2941;6096
496;6;6096;6095;6106
496;6;6106;6096;6097
496;6;6097;6106;6098
496;6;6098;6097;2803
496;6;2803;6098;6099
496;6;6099;2803;6090
496;6;6090;6099;6091
496;6;6091;6090;6092
496;6;6092;6091;6093
496;6;6093;6092;1607
496;6;1607;6093;2690
496;6;2690;1607;1009
496;6;1009;2690;1010
496;6;1010;1009;1011
496;6;1011;1010;1012
496;6;1012;1011;1013
496;6;1013;1012;1014
496;6;1014;1013;3035
496;6;3035;1014;1015
496;6;1015;3035;1016
496;6;1016;1015;2416
496;6;2416;1016;
496;6;1545;;1546
496;6;1546;1545;2942
496;6;2942;1546;1547
496;6;1547;2942;1548
496;6;1548;1547;
496;6;98;;99
496;6;99;98;100
496;6;100;99;103
496;6;103;100;104
496;6;104;103;105
496;6;105;104;
496;6;6804;;6805
496;6;6805;6804;
496;6;6709;;6710
496;6;6710;6709;6711
496;6;6711;6710;
496;6;2278;;
496;6;1519;;1520
496;6;1520;1519;1521
496;6;1521;1520;
496;6;1275;;1276
