CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
496;6;2997;P;1;7;;1223;1186;;3;;;2996;1;1;1;1;1;1;;;+11328732;+2320051;0;1
496;6;822;P;1;7;;1223;391;;3;;;2996;1;1;1;1;1;1;;;+11329862;+2322209;0;0
496;6;823;P;1;10;;1223;858;;3;;;2996;1;1;1;1;1;1;;;+11331634;+2324855;0;0
496;6;2998;P;1;10;;1223;15236;;3;;;2996;1;1;1;1;1;1;;;+11332160;+2325792;0;0
496;6;817;P;1;12;;1186;397;;3;;;2994;1;1;1;1;1;1;;;+11327128;+2316100;0;1
496;6;818;P;1;7;;1186;871;;3;;;2994;1;1;1;1;1;1;;;+11327308;+2316479;0;1
496;6;819;P;1;7;;1186;15235;;3;;;2994;1;1;1;1;1;1;;;+11327407;+2316954;0;1
496;6;821;P;1;12;;1186;15269;;3;;;2994;1;1;1;1;1;1;;;+11327951;+2318415;0;1
496;6;2995;P;1;6;;1186;1223;;3;;;2994;1;1;1;1;1;1;;;+11328732;+2320051;0;1
496;6;3000;P;1;10;;15237;15236;;3;;;2999;1;1;1;1;1;1;;;+11332160;+2325792;0;0
496;6;824;P;1;10;;15237;859;;3;;;2999;1;1;1;1;1;1;;;+11332486;+2326816;0;0
496;6;825;P;1;10;;15237;860;;3;;;2999;1;1;1;1;1;1;;;+11332643;+2327478;0;0
496;6;6645;P;1;10;;7285;7300;;8477;;;6644;1;1;1;1;1;1;;;+11313150;+2299197;0;1
496;6;6646;P;1;10;;7285;7373;;8477;;;6644;1;1;1;1;1;1;;;+11312955;+2300186;0;1
496;6;7035;P;1;10;;7285;7563;;8477;;;6644;1;1;1;1;1;1;;;+11312940;+2300830;0;1
496;6;6672;P;1;10;;7285;7268;;8477;;;6644;1;1;1;1;1;1;;;+11312944;+2301210;0;1
496;6;6726;P;1;12;;7550;14231;;8477;;6724;;1;1;1;1;1;1;;;+11325723;+2272807;0;0
496;6;6727;P;1;6;;7550;7400;;8477;;6724;;1;1;1;1;1;1;;;+11327981;+2274879;0;0
496;6;6728;P;1;6;;7550;14746;;8477;;6724;;1;1;1;1;1;1;;;+11328273;+2275561;0;0
496;6;8828;P;1;12;;7550;2167;;8477;;6724;;1;1;1;1;1;1;;;+11328741;+2277487;0;0
496;6;6729;P;1;10;;7550;7402;;8477;;6724;;1;1;1;1;1;1;;;+11328496;+2279286;0;1
496;6;8603;P;1;6;;7550;14501;;8477;;6724;;1;1;1;1;1;1;;;+11326643;+2280495;0;1
496;6;6730;P;1;6;;7550;14361;;8477;;6724;;1;1;1;1;1;1;;;+11324815;+2281822;6731;1
496;6;6731;P;1;10;;7550;14362;;8477;;6725;;1;1;1;1;1;1;;;+11323913;+2284759;6730;1
496;6;6732;P;1;6;;7550;7525;;8477;;6725;;1;1;1;1;1;1;;;+11322735;+2286277;0;1
496;6;6733;P;1;6;;7550;7553;;8477;;6725;;1;1;1;1;1;1;;;+11321167;+2288323;0;1
496;6;6734;P;1;6;;7550;7310;;8477;;6725;;1;1;1;1;1;1;;;+11321443;+2290552;0;0
496;6;6431;P;1;12;;7550;14363;;8477;;6725;;1;1;1;1;1;1;;;+11322537;+2293278;0;0
496;6;7697;P;1;8;;7550;7360;;8477;;6725;;1;1;1;1;1;1;;;+11324357;+2294096;0;0
496;6;6735;P;1;3;;7550;14277;;8477;;6725;;1;1;1;1;1;1;;;+11325094;+2294343;0;0
496;6;6736;P;1;12;;7550;15019;;8477;;6725;;1;1;1;1;1;1;;;+11327277;+2295469;0;0
496;6;3004;P;1;10;;15119;860;;3;;;816;1;1;1;1;1;1;;;+11332643;+2327478;0;0
496;6;826;P;1;3;;15119;14716;;3;;;816;1;1;1;1;1;1;;;+11333656;+2328735;0;0
496;6;827;P;1;10;;15119;14230;;3;;;816;1;1;1;1;1;1;;;+11334427;+2329591;0;0
496;6;828;P;1;10;;15119;863;;3;;;816;1;1;1;1;1;1;;;+11334670;+2329863;0;0
496;6;829;P;1;11;;15119;864;;3;;;816;1;1;1;1;1;1;;;+11335269;+2330543;0;0
496;6;830;P;1;10;;15119;865;;3;;;816;1;1;1;1;1;1;;;+11335766;+2331812;0;0
496;6;831;P;1;10;;15119;15161;;3;;;816;1;1;1;1;1;1;;;+11335974;+2332330;0;0
496;6;832;P;1;10;;15119;867;;3;;;816;1;1;1;1;1;1;;;+11336586;+2334086;0;0
496;6;833;P;1;10;;15119;15275;;3;;;816;1;1;1;1;1;1;;;+11337131;+2335470;0;0
496;6;834;P;1;10;;15119;869;;3;;;816;1;1;1;1;1;1;;;+11337554;+2335929;0;0
496;6;2714;P;1;12;;15119;15019;;3;;;1339;1;1;1;1;1;1;;;+11327277;+2295469;0;0
496;6;2715;P;1;10;;15119;14323;;3;;;1339;1;1;1;1;1;1;;;+11328721;+2295611;0;0
496;6;2132;P;1;10;;15119;15276;;3;;;1339;1;1;1;1;1;1;;;+11330908;+2299557;0;1
496;6;1340;P;1;12;;15119;15020;;3;;;1339;1;1;1;1;1;1;;;+11330650;+2300072;0;0
496;6;1341;P;1;10;;15119;15021;;3;;;1339;1;1;1;1;1;1;;;+11331287;+2301407;0;0
496;6;1342;P;1;10;;15119;1268;;3;;;1339;1;1;1;1;1;1;;;+11331210;+2302193;0;0
496;6;1343;P;1;12;;15119;15277;;3;;;1339;1;1;1;1;1;1;;;+11331194;+2303646;0;0
496;6;1344;P;1;6;;15119;14659;;3;;;1339;1;1;1;1;1;1;;;+11330042;+2304576;0;0
496;6;1345;P;1;10;;15119;966;;3;;;1339;1;1;1;1;1;1;;;+11330733;+2306387;0;1
496;6;1026;P;1;12;;177;1020;;3;;;1025;1;1;1;1;1;1;;;+11326375;+2320859;0;1
496;6;2670;P;1;10;;177;14767;;3;;;1025;1;1;1;1;1;1;;;+11327346;+2322949;0;0
496;6;1027;P;1;10;;177;1021;;3;;;1025;1;1;1;1;1;1;;;+11327547;+2323165;0;0
496;6;1232;P;1;11;;177;544;;3;;;1025;1;1;1;1;1;1;;;+11329120;+2325603;0;0
496;6;1322;P;1;10;;177;1282;;3;;;1025;1;1;1;1;1;1;;;+11330311;+2327558;0;0
496;6;1028;P;1;10;;177;1022;;3;;;1025;1;1;1;1;1;1;;;+11329839;+2329534;0;0
496;6;1029;P;1;3;;177;14716;;3;;;1025;1;1;1;1;1;1;;;+11329927;+2330089;0;0
496;6;1030;P;1;10;;177;15163;;3;;;1025;1;1;1;1;1;1;;;+11329426;+2333694;0;0
496;6;1031;P;1;3;;177;1025;;3;;;1025;1;1;1;1;1;1;;;+11327738;+2334619;0;0
496;6;1032;P;1;10;;177;15278;;3;;;1025;1;1;1;1;1;1;;;+11327059;+2335926;0;0
496;6;1033;P;1;10;;177;252;;3;;;1025;1;1;1;1;1;1;;;+11326772;+2336982;0;0
496;6;1034;P;1;10;;177;1028;;3;;;1025;1;1;1;1;1;1;;;+11325991;+2339764;0;0
496;6;1035;P;1;10;;177;14235;;3;;;1025;1;1;1;1;1;1;;;+11326163;+2340932;0;0
496;6;1036;P;1;10;;177;15023;;3;;;1025;1;1;1;1;1;1;;;+11326496;+2342648;0;0
496;6;8965;P;1;12;;8029;15281;;8477;;;6793;1;1;1;1;1;1;;;+11309568;+2329324;0;0
496;6;8541;P;1;3;;8029;14716;;8477;;;6793;1;1;1;1;1;1;;;+11310283;+2331051;0;0
496;6;8953;P;1;10;;8029;1330;;8477;;;6793;1;1;1;1;1;1;;;+11310844;+2332856;0;0
496;6;2819;P;1;1;;1024;15039;;3;;;2020;1;1;1;1;1;1;;;+11325963;+2329536;0;0
496;6;2022;P;1;7;;1024;14727;;3;;;2020;1;1;1;1;1;1;;;+11327375;+2331276;0;0
496;6;2023;P;1;10;;1024;14263;;3;;;2020;1;1;1;1;1;1;;;+11329426;+2333694;0;0
496;6;2024;P;1;12;;1024;15249;;3;;;2020;1;1;1;1;1;1;;;+11330518;+2336194;0;0
496;6;2671;P;1;12;;26;14236;;3;;;186;1;1;1;1;1;1;;;+11341751;+2310337;0;1
496;6;2604;P;1;12;;26;25;;3;;;186;1;1;1;1;1;1;;;+11343350;+2310272;0;1
496;6;136;P;1;3;;18;320;;3;;;132;1;1;1;1;1;1;;;+11321008;+2323016;0;0
496;6;137;P;1;3;;18;321;;3;;;132;1;1;1;1;1;1;;;+11321162;+2327373;0;0
496;6;138;P;1;3;;18;14757;;3;;;132;1;1;1;1;1;1;;;+11320212;+2330398;0;0
496;6;139;P;1;1;;18;14716;;3;;;132;1;1;1;1;1;1;;;+11320182;+2331461;0;0
496;6;140;P;1;3;;18;324;;3;;;132;1;1;1;1;1;1;;;+11319974;+2333314;0;0
496;6;141;P;1;3;;18;325;;3;;;132;1;1;1;1;1;1;;;+11319085;+2337840;0;0
496;6;142;P;1;3;;18;326;;3;;;132;1;1;1;1;1;1;;;+11318986;+2342773;0;0
496;6;1571;P;3;3;;18;1409;;3;;;132;1;1;1;1;1;1;;;+11316385;+2344972;0;0
496;6;1572;P;1;3;;18;14758;;3;;;132;1;1;1;1;1;1;;;+11313819;+2346919;0;0
496;6;1573;P;1;3;;18;14677;;3;;;132;1;1;1;1;1;1;;;+11310921;+2352140;0;0
496;6;2446;P;1;10;;14274;558;;3;;;3001;1;1;1;1;1;1;;;+11354640;+2310185;0;0
496;6;2447;P;1;3;;14274;15015;;3;;;3001;1;1;1;1;1;1;;;+11356868;+2312037;0;0
496;6;119;P;1;10;;15;270;;3;;;118;1;1;1;1;1;1;;;+11339011;+2311571;0;1
496;6;120;P;1;10;;15;14739;;3;;;118;1;1;1;1;1;1;;;+11340324;+2310879;0;1
496;6;121;P;1;12;;15;308;;3;;;118;1;1;1;1;1;1;;;+11341751;+2310337;0;1
496;6;122;P;1;10;;15;14678;;3;;;118;1;1;1;1;1;1;;;+11343550;+2309558;0;1
496;6;188;P;1;10;;14674;15238;;3;;;3002;1;1;1;1;1;1;;;+11344817;+2310045;0;1
496;6;189;P;1;10;;14674;365;;3;;;3002;1;1;1;1;1;1;;;+11345578;+2310139;0;1
496;6;190;P;1;10;;14674;366;;3;;;3002;1;1;1;1;1;1;;;+11346703;+2309786;0;1
496;6;191;P;1;10;;14674;15239;;3;;;3002;1;1;1;1;1;1;;;+11348201;+2309229;0;1
496;6;192;P;1;6;;14674;370;;3;;;3002;1;1;1;1;1;1;;;+11352272;+2308394;0;0
496;6;3003;P;1;10;;14674;558;;3;;;3002;1;1;1;1;1;1;;;+11354640;+2310185;0;0
496;6;184;P;1;12;;25;2085;;3;;;183;1;1;1;1;1;1;;;+11342643;+2311316;0;1
496;6;185;P;1;12;;25;363;;3;;;183;1;1;1;1;1;1;;;+11343274;+2310424;0;1
496;6;2605;P;1;12;;25;26;;3;;;183;1;1;1;1;1;1;;;+11343740;+2310112;0;1
496;6;3005;P;1;10;;25;15238;;3;;;183;1;1;1;1;1;1;;;+11344817;+2310045;0;1
496;6;31;P;1;1;;15211;234;;3;;30;;1;1;1;1;1;1;;;+11339816;+2315166;0;1
496;6;2679;P;1;3;;15211;270;;3;;30;;1;1;1;1;1;1;;;+11340490;+2313806;0;1
496;6;32;P;1;3;;15211;235;;3;;30;;1;1;1;1;1;1;;;+11340553;+2311317;0;1
496;6;33;P;1;3;;15211;236;;3;;30;;1;1;1;1;1;1;;;+11339430;+2309547;0;1
496;6;34;P;1;1;;15211;1161;;3;;30;;1;1;1;1;1;1;;;+11336792;+2307668;0;1
496;6;36;P;1;1;;15212;255;;3;;35;;1;1;1;1;1;1;;;+11334383;+2306711;0;1
496;6;2837;P;1;1;;15212;982;;3;;35;;1;1;1;1;1;1;;;+11332800;+2306352;0;1
496;6;37;P;1;3;;15212;239;;3;;35;;1;1;1;1;1;1;;;+11329975;+2306133;0;1
496;6;38;P;1;1;;15212;14773;;3;;35;;1;1;1;1;1;1;;;+11325600;+2305330;0;1
496;6;39;P;1;1;;15212;14277;;3;;35;;1;1;1;1;1;1;;;+11322436;+2305023;0;1
496;6;41;P;1;3;;15213;241;;3;;40;;1;1;1;1;1;1;;;+11320659;+2307326;0;1
496;6;42;P;1;3;;15213;243;;3;;40;;1;1;1;1;1;1;;;+11319953;+2310297;0;1
496;6;43;P;1;3;;15213;244;;3;;40;;1;1;1;1;1;1;;;+11319798;+2314368;0;1
496;6;44;P;1;1;;15213;14719;;3;;40;;1;1;1;1;1;1;;;+11319929;+2315599;0;1
496;6;46;P;1;1;;15214;245;;3;;45;;1;1;1;1;1;1;;;+11322336;+2316359;0;1
496;6;47;P;1;1;;15214;1025;;3;;45;;1;1;1;1;1;1;;;+11325656;+2316272;0;1
496;6;48;P;1;3;;15214;31;;3;;45;;1;1;1;1;1;1;;;+11328008;+2315969;0;1
496;6;49;P;1;3;;15214;249;;3;;45;;1;1;1;1;1;1;;;+11332806;+2316676;0;1
496;6;50;P;1;1;;15214;250;;3;;45;;1;1;1;1;1;1;;;+11336149;+2316371;0;1
496;6;51;P;1;3;;15214;304;;3;;45;;1;1;1;1;1;1;;;+11338007;+2315182;0;1
496;6;2801;P;1;1;;14716;14720;;3;;;1008;1;1;1;1;1;1;;;+11348772;+2287056;0;0
496;6;2800;P;1;3;;14716;14726;;3;;;1008;1;1;1;1;1;1;;;+11335282;+2286169;0;0
496;6;2799;P;1;1;;14716;14277;;3;;;1008;1;1;1;1;1;1;;;+11329119;+2286208;0;0
496;6;2798;P;1;1;;14716;14725;;3;;;1008;1;1;1;1;1;1;;;+11318999;+2284445;0;0
496;6;2797;P;3;3;;14716;14724;;3;;;1008;1;1;1;1;1;1;;;+11316479;+2284169;0;0
496;6;2796;P;1;3;;14716;7386;;3;;;1008;1;1;1;1;1;1;;;+11311678;+2283110;0;0
