CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
496;6;2996;L;1;2;G105;1223;1186;15236;3;
496;6;2994;L;1;2;G105;1186;397;1223;3;
496;6;2999;L;1;2;G105;15237;15236;860;3;
496;6;6644;L;1;4;;7285;7300;7268;8477;
496;6;6723;L;1;2;G105;7550;14231;15019;8477;
496;6;816;L;1;2;;15119;860;869;3;
496;6;1339;L;1;2;;15119;15019;966;3;
496;6;1025;L;1;2;G106;177;1020;15023;3;
496;6;6793;L;1;3;S267;8029;15281;1330;8477;
496;6;2020;L;1;3;S267;1024;15039;15249;3;
496;6;186;L;1;2;G107;26;14236;25;3;
496;6;132;L;1;1;G107;18;320;14677;3;
496;6;3001;L;1;2;G107;14274;558;15015;3;
496;6;118;L;1;2;G107;15;270;14678;3;
496;6;3002;L;1;2;G107;14674;15238;558;3;
496;6;183;L;1;3;;25;2085;15238;3;
496;6;29;L;2;1;G15;14739;;;3;
496;6;1008;L;1;1;G15;14716;14720;15015;3;
496;6;1544;L;1;1;G15;14716;15416;15015;3;
496;6;101;L;1;3;;12;289;295;3;
496;6;6803;L;1;4;X514;7422;7247;7423;8477;
496;6;8954;L;1;4;;14362;14530;400;8477;
496;6;2277;L;7;0;;;233;1903;3;
496;6;1518;L;1;2;G321;233;1212;1741;3;
496;6;1274;L;1;4;;1212;15027;1214;3;
496;6;7022;L;1;2;G321;7237;7320;1214;8477;
496;6;6747;L;1;2;G321;14369;7313;233;8477;
496;6;6401;L;1;2;;7541;7248;14370;8477;
496;6;2075;L;1;4;;1266;555;1258;3;
496;6;8506;L;1;4;;7257;15282;8042;8477;
496;6;6084;L;1;2;G324;54;14770;14722;8477;
496;6;159;L;1;4;;21;1279;344;3;
496;6;8955;L;1;4;;21;7391;14530;8477;
496;6;8624;L;1;4;;21;14508;7391;8477;
496;6;154;L;1;3;;439;61;1279;3;
496;6;3007;L;1;2;G324;1957;1507;15285;3;
496;6;340;L;1;2;G324;54;15478;14716;3;
496;6;1426;L;1;3;;1261;1266;15164;3;
496;6;3006;L;1;2;G324;490;488;1957;3;
496;6;7515;L;7;0;;;7913;14785;8477;
496;6;6762;L;1;2;G325;7313;7578;14369;8477;
496;6;6757;L;1;2;G325;7915;14753;7458;8477;
496;6;7102;L;1;2;G325;7578;7458;7313;8477;
496;6;6746;L;1;2;;7546;15015;14753;8477;
496;6;1584;L;1;1;G35;14715;14716;1425;3;
496;6;1575;L;1;1;G4;14291;14716;177;3;
496;6;1596;L;1;1;G45;14727;1025;473;3;
496;6;143;L;1;1;G45;1025;1420;336;3;
496;6;1556;L;1;1;G4W;14720;14294;15416;3;
496;6;6051;L;1;1;G55;14722;252;14716;8477;
496;6;6116;L;1;1;G80;14770;7222;14716;8477;
496;6;1568;L;1;1;G4W;14748;14720;1377;3;
496;6;75;L;1;1;S105;1161;304;1309;3;
496;6;2111;L;1;3;S111;14278;15483;14767;3;
496;6;6698;L;1;3;S112;7385;7386;15246;8477;
496;6;6737;L;1;4;X520;7406;389;7410;8477;
496;6;6742;L;1;4;;7368;7410;14416;8477;
496;6;6767;L;1;3;S112;7360;473;7385;8477;
496;6;7002;L;1;3;S112;7391;21;7406;8477;
496;6;8960;L;1;3;S112;14361;15251;14551;8477;
496;6;8958;L;1;3;S112;14551;473;7391;8477;
496;6;8558;L;1;3;S113;7247;14484;14486;8477;
496;6;6439;L;1;3;S113;7247;14387;7422;8477;
496;6;7467;L;1;3;S113;7210;15050;7266;8477;
496;6;6446;L;1;3;S113;7266;7210;7320;8477;
496;6;8822;L;1;3;S113;14387;14486;7210;8477;
496;6;408;L;1;3;S114;64;15036;555;3;
496;6;3011;L;1;3;S114;15108;544;64;3;
496;6;402;L;1;3;S114;1020;1225;544;3;
496;6;1415;L;1;3;S114;1259;1261;67;3;
496;6;1412;L;1;3;S114;1262;555;1261;3;
496;6;320;L;1;3;S116;1022;177;480;3;
496;6;334;L;1;3;S116;480;497;1022;3;
496;6;2448;L;1;3;S117;558;2080;54;3;
496;6;2632;L;1;3;S120;2167;2166;2161;3;
496;6;8680;L;1;4;;14506;7400;15055;8477;
496;6;935;L;1;4;;159;1004;27;3;
496;6;633;L;1;4;;704;10;282;3;
496;6;1904;L;1;4;;1512;882;295;3;
496;6;2543;L;1;3;S242;645;181;561;3;
496;6;8482;L;1;4;;14328;14740;14739;8477;
496;6;7297;L;1;4;;15074;7313;7283;8477;
496;6;2115;L;1;4;;15277;14278;473;3;
496;6;493;L;1;4;;970;765;1002;3;
496;6;7342;L;1;4;;970;7578;7469;8477;
496;6;2792;L;1;4;;970;1420;765;3;
496;6;7406;L;1;4;;7417;7673;7320;8477;
496;6;90;L;1;3;S256;841;61;289;3;
496;6;2777;L;7;0;;;1572;982;3;
496;6;2128;L;1;3;S257;15276;1565;473;3;
496;6;681;L;1;4;;110;642;38;3;
496;6;7667;L;7;0;;;8029;14787;8477;
496;6;6547;L;1;3;S267;7328;7320;14303;8477;
496;6;6551;L;1;3;S267;7973;14303;7331;8477;
496;6;6555;L;1;3;S267;7331;7330;7333;8477;
496;6;6788;L;1;3;S267;14370;233;7418;8477;
496;6;2017;L;1;3;S267;1540;1539;15039;3;
496;6;6559;L;1;3;S267;7334;7333;7326;8477;
496;6;8513;L;1;4;;7320;7417;15486;8477;
496;6;6542;L;1;4;;14276;7326;7327;8477;
496;6;2014;L;1;3;S267;1539;1537;1540;3;
496;6;7157;L;1;3;S268;7386;14413;7621;8477;
496;6;270;L;1;3;S268;879;293;295;3;
496;6;7140;L;1;3;S269;7206;7611;7612;8477;
496;6;8844;L;1;3;S269;14721;15051;15050;8477;
496;6;7137;L;1;3;S269;7611;14440;7207;8477;
496;6;8562;L;1;3;S269;14486;7247;14487;8477;
496;6;6813;L;1;3;S269;7594;7610;54;8477;
496;6;2606;L;1;4;;2154;14312;1565;3;
496;6;7386;L;1;4;;7376;15302;8058;8477;
496;6;1758;L;1;4;;223;762;1420;3;
496;6;7224;L;1;4;;7633;15303;7312;8477;
496;6;7228;L;1;4;;639;7642;7633;8477;
496;6;668;L;1;4;;639;723;794;3;
496;6;266;L;1;3;S286;787;783;293;3;
496;6;261;L;1;3;S286;874;289;787;3;
496;6;255;L;1;3;S286;38;824;874;3;
496;6;251;L;1;3;S286;824;61;85;3;
496;6;460;L;1;4;;73;643;593;3;
