CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
496;6;6724;L;3;0;G105;7550;14231;14361;6723;;8477
496;6;6725;L;3;0;G105;7550;14362;15019;6723;;8477
496;6;30;L;3;0;;15211;234;255;29;;3
496;6;35;L;3;0;;15212;255;241;29;;3
496;6;40;L;3;0;;15213;241;245;29;;3
496;6;45;L;3;0;;15214;245;234;29;;3
496;6;7129;L;3;0;S113;7210;15050;14387;7467;;8477
496;6;6443;L;3;0;S113;7210;7422;7266;7467;;8477
496;6;6202;L;3;0;;14780;7730;7236;6201;;8477
496;6;6222;L;3;0;;14781;7236;7601;6201;;8477
496;6;6223;L;3;0;;14782;7601;7207;6201;;8477
496;6;6224;L;3;0;;14783;7207;7730;6201;;8477
496;6;2945;L;3;0;;282;703;10;2947;;3
496;6;602;L;3;0;;282;15207;400;2947;;3
496;6;6990;L;3;0;X507;7458;14303;14753;6923;;8477
496;6;6998;L;3;0;X507;7458;15113;7330;6923;;8477
496;6;6991;L;3;0;X507;7458;1565;7469;6923;;8477
496;6;8973;L;3;0;X507;7458;970;7470;6923;;8477
496;6;7431;L;3;0;;7593;7328;15433;7430;;8477
496;6;7432;L;3;0;;7593;14303;14753;7430;;8477
496;6;7433;L;3;0;;7593;14465;7589;7430;;8477
496;6;8575;L;3;0;;14490;7458;7970;8574;;8477
496;6;8578;L;3;0;;14490;15115;7973;8574;;8477
496;6;3132;L;3;0;;15354;15339;15352;3131;;3
496;6;1128;L;3;0;;15354;15340;15341;3131;;3
496;6;2498;L;3;0;;15391;1161;15386;2497;;3
496;6;2499;L;3;0;;15391;15358;15394;2497;;3
496;6;1256;L;3;0;;288;38;841;2990;;3
496;6;1259;L;3;0;;288;15231;438;2990;;3
496;6;852;L;3;0;;2139;1510;887;3125;;3
496;6;3080;L;3;0;;2139;895;15473;3125;;3
496;6;791;L;3;0;;286;824;841;2991;;3
496;6;795;L;3;0;;286;15232;838;2991;;3
496;6;2572;L;3;0;;813;1002;1420;2577;;3
496;6;2578;L;3;0;;813;15116;759;2577;;3
496;6;7354;L;3;0;;7566;7297;7282;7359;;8477
496;6;7360;L;3;0;;7566;15117;7441;7359;;8477
496;6;2040;L;3;0;;1553;1549;1550;3126;;3
496;6;2685;L;3;0;;1553;1550;15378;3126;;3
496;6;779;L;3;0;;285;824;841;2992;;3
496;6;783;L;3;0;;285;15233;838;2992;;3
496;6;2255;L;3;0;;817;104;125;2254;;3
496;6;1236;L;3;0;;817;819;762;2254;;3
496;6;2466;L;3;0;;1164;1163;961;3127;;3
496;6;1634;L;3;0;;1164;15396;304;3127;;3
496;6;9057;L;3;0;;7330;7458;7591;9056;;8477
496;6;8581;L;3;0;;7330;7970;7331;9056;;8477
496;6;868;L;3;0;;346;896;383;2993;;3
496;6;871;L;3;0;;346;15234;384;2993;;3
496;6;1436;L;3;0;;252;18;1250;3134;;3
496;6;3135;L;3;0;;252;15075;177;3134;;3
496;6;7364;L;3;0;;7573;7578;15118;7363;;8477
496;6;7365;L;3;0;;7573;7298;7354;7363;;8477
496;6;1501;L;3;0;;289;874;841;3128;;3
496;6;1505;L;3;0;;289;12;287;3128;;3
496;6;1775;L;3;0;;1471;787;1529;1774;;3
496;6;1778;L;3;0;;1471;12;292;1774;;3
