CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
496;6;6724;;6725
496;6;6725;6724;
496;6;30;45;35
496;6;35;30;40
496;6;40;35;45
496;6;45;40;30
496;6;7129;;6443
496;6;6443;7129;
496;6;6202;6224;6222
496;6;6222;6202;6223
496;6;6223;6222;6224
496;6;6224;6223;6202
496;6;2945;;602
496;6;602;2945;
496;6;6990;;6998
496;6;6998;6990;6991
496;6;6991;6998;8973
496;6;8973;6991;
496;6;7431;;7432
496;6;7432;7431;7433
496;6;7433;7432;
496;6;8575;;8578
496;6;8578;8575;
496;6;3132;;1128
496;6;1128;3132;
496;6;2498;;2499
496;6;2499;2498;
496;6;1256;;1259
496;6;1259;1256;
496;6;852;;3080
496;6;3080;852;
496;6;791;;795
496;6;795;791;
496;6;2572;;2578
496;6;2578;2572;
496;6;7354;;7360
496;6;7360;7354;
496;6;2040;;2685
496;6;2685;2040;
496;6;779;;783
496;6;783;779;
496;6;2255;;1236
496;6;1236;2255;
496;6;2466;;1634
496;6;1634;2466;
496;6;9057;;8581
496;6;8581;9057;
496;6;868;;871
496;6;871;868;
496;6;1436;;3135
496;6;3135;1436;
496;6;7364;;7365
496;6;7365;7364;
496;6;1501;;1505
496;6;1505;1501;
496;6;1775;;1778
496;6;1778;1775;
