CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
497;7;85;497;7;95
497;7;95;497;7;85
497;7;52;497;7;97
497;7;97;497;7;52
497;7;208;497;7;725
497;7;725;497;7;208
497;7;55;497;7;209
497;7;209;497;7;55
497;7;59;497;7;215
497;7;215;497;7;59
497;7;203;497;7;410
497;7;410;497;7;203
497;7;1988;497;7;1989
497;7;1989;497;7;1988
497;7;583;497;7;724
497;7;724;497;7;1933
497;7;1933;497;7;1999
497;7;1999;497;7;583
497;7;581;497;7;956
497;7;956;497;7;581
497;7;582;497;7;925
497;7;925;497;7;582
497;7;1884;497;7;1886
497;7;1886;497;7;1884
497;7;1223;497;7;1887
497;7;1887;497;7;1223
497;7;244;497;7;252
497;7;252;497;7;244
497;7;248;497;7;258
497;7;258;497;7;248
497;7;246;497;7;254
497;7;254;497;7;246
497;7;1580;497;7;1581
497;7;1581;497;7;1935
497;7;1935;497;7;1580
497;7;824;497;7;1475
497;7;1475;497;7;824
497;7;1272;497;7;1274
497;7;1274;497;7;1466
497;7;1466;497;7;1272
497;7;1276;497;7;1472
497;7;1472;497;7;1276
497;7;449;497;7;451
497;7;451;497;7;697
497;7;697;497;7;449
497;7;452;497;7;969
497;7;969;497;7;971
497;7;971;497;7;452
497;7;453;497;7;907
497;7;907;497;7;909
497;7;909;497;7;453
497;7;454;497;7;962
497;7;962;497;7;454
497;7;455;497;7;486
497;7;486;497;7;455
497;7;256;497;7;260
497;7;260;497;7;256
497;7;242;497;7;250
497;7;250;497;7;242
497;7;240;497;7;282
497;7;282;497;7;240
497;7;238;497;7;284
497;7;284;497;7;238
497;7;545;497;7;686
497;7;686;497;7;688
497;7;688;497;7;1310
497;7;1310;497;7;1420
497;7;1420;497;7;545
497;7;689;497;7;798
497;7;798;497;7;689
497;7;568;497;7;690
497;7;690;497;7;568
497;7;691;497;7;813
497;7;813;497;7;691
497;7;605;497;7;692
497;7;692;497;7;605
497;7;428;497;7;741
497;7;741;497;7;428
497;7;429;497;7;819
497;7;819;497;7;429
497;7;73;497;7;825
497;7;825;497;7;73
497;7;954;497;7;955
497;7;955;497;7;954
497;7;1392;497;7;1484
497;7;1484;497;7;1392
497;7;591;497;7;1388
497;7;1388;497;7;591
497;7;592;497;7;668
497;7;668;497;7;670
497;7;670;497;7;592
497;7;431;497;7;1385
497;7;1385;497;7;431
497;7;593;497;7;600
497;7;600;497;7;602
497;7;602;497;7;631
497;7;631;497;7;738
497;7;738;497;7;831
497;7;831;497;7;1953
497;7;1953;497;7;593
497;7;957;497;7;1043
497;7;1043;497;7;957
497;7;1934;497;7;1962
497;7;1962;497;7;1934
497;7;403;497;7;480
497;7;480;497;7;403
497;7;1135;497;7;1512
497;7;1512;497;7;1135
497;7;404;497;7;505
497;7;505;497;7;404
497;7;405;497;7;512
497;7;512;497;7;405
497;7;406;497;7;447
497;7;447;497;7;406
497;7;407;497;7;465
497;7;465;497;7;1200
497;7;1200;497;7;407
497;7;411;497;7;413
497;7;413;497;7;411
497;7;264;497;7;266
497;7;266;497;7;264
497;7;262;497;7;268
497;7;268;497;7;262
497;7;759;497;7;761
497;7;761;497;7;767
497;7;767;497;7;777
497;7;777;497;7;759
497;7;432;497;7;772
497;7;772;497;7;432
497;7;762;497;7;1184
497;7;1184;497;7;762
497;7;433;497;7;1243
497;7;1243;497;7;433
497;7;681;497;7;763
497;7;763;497;7;1412
497;7;1412;497;7;681
497;7;64;497;7;525
497;7;525;497;7;64
497;7;462;497;7;464
497;7;464;497;7;678
497;7;678;497;7;680
497;7;680;497;7;765
497;7;765;497;7;462
497;7;466;497;7;468
497;7;468;497;7;698
497;7;698;497;7;466
497;7;1079;497;7;1477
497;7;1477;497;7;1079
497;7;1055;497;7;1080
497;7;1080;497;7;1055
497;7;1049;497;7;1051
497;7;1051;497;7;1081
497;7;1081;497;7;1049
497;7;1889;497;7;1893
497;7;1893;497;7;1889
