CID;LID;NID;NAME;NCOMMENT
497;1;2046;亚洲;
497;1;2047;中国;
497;1;2048;吉林省;
497;1;1324;长春市;
497;1;1291;四平市;
497;1;1271;松原市;
497;1;1887;长春绕城高速公路;
497;1;2644;长春绕城高速公路南段;
497;1;1893;抚长高速公路;
497;1;1900;十家子;
497;1;1345;长春服务区;
497;1;2645;长春绕城高速公路西段;
497;1;2131;青年路;
497;1;1618;大众街;
497;1;1337;Ｓ１０６;
497;1;2642;长春绕城高速公路北段;
497;1;2063;Ｓ１０１;
497;1;2630;卢家屯;
497;1;1340;春城服务区;
497;1;1891;京哈高速公路;
497;1;2643;长春绕城高速公路东段;
497;1;1876;珲乌高速公路;
497;1;1344;净月大街;
497;1;2056;Ｇ１０２;
497;1;1698;Ｘ０６３;
497;1;1469;西小孤树;
497;1;1414;长沈路;
497;1;2652;安龙泉互通立交桥;
497;1;1825;北四环路;
497;1;1474;Ｘ００９;
497;1;1364;德大路;
497;1;2618;长吉北线;
497;1;1386;东环城路;
497;1;1467;东荣大路;
497;1;1653;团结路;
497;1;2653;白菊路（西五条街）;
497;1;1417;人民大街;
497;1;1503;康平街;
497;1;1339;Ｇ３０２;
497;1;1908;长春绕城高速公路Ｇ３０２入口匝道;
497;1;1905;长春绕城高速公路内圈;
497;1;1906;长春绕城高速公路内圈Ｇ３０２入口匝道;
497;1;1901;长春绕城高速公路外圈;
497;1;1903;长春绕城高速公路外圈Ｇ３０２入口匝道;
497;1;2655;北四环路（青年路）;
497;1;1883;Ｘ００５;
497;1;2654;长春绕城高速公路（青年路）;
497;1;1802;长吉南线;
497;1;2658;吉林大路（长吉公路）;
497;1;1387;施家村;
497;1;2657;龙双公路;
497;1;1664;民安路;
497;1;1450;长春大街;
497;1;1854;华罗庚学校民安路校区;
497;1;1402;西安大路;
497;1;1407;青荫路;
497;1;1507;台北大街;
497;1;1409;新月路;
497;1;1361;北环城路;
497;1;1749;Ｇ３０２东侧;
497;1;1911;长春绕城高速公路Ｇ３０２东侧入口匝道;
497;1;1747;Ｇ３０２西侧;
497;1;1912;长春绕城高速公路Ｇ３０２西侧入口匝道;
497;1;1272;大广高速公路;
497;1;1275;Ｓ２０１;
497;1;1311;郭尔罗斯大路;
497;1;1273;Ｇ２０３;
497;1;1294;大洼服务区;
497;1;1312;班德收费站;
497;1;2689;政府大街;
497;1;1851;李家店;
497;1;1510;中山大街;
497;1;1739;Ｓ１０１北侧;
497;1;1934;长春绕城高速公路内圈Ｓ１０１北侧入口匝道;
497;1;1742;Ｓ１０１南侧;
497;1;1935;长春绕城高速公路外圈Ｓ１０１南侧入口匝道;
497;1;1449;吉林大路;
497;1;1444;亚泰大街;
497;1;1489;临河街;
497;1;1462;东盛大街;
497;1;1502;乐群街;
497;1;1388;世纪大街;
497;1;1389;洋浦大街;
497;1;2659;长吉公路;
497;1;1834;Ｓ１０４;
497;1;1804;邢家屯;
497;1;1478;新城大街;
497;1;1681;柳莺西路;
497;1;1477;福祉大路;
497;1;1438;南环城路;
497;1;1679;博硕路;
497;1;1348;皓月大路;
497;1;2660;龙三街;
497;1;1350;安达街;
497;1;1584;警备路;
497;1;2531;西四环路;
497;1;1351;西环城路;
497;1;1498;和平大街;
497;1;1352;春城大街;
497;1;1353;正阳街;
497;1;1354;普阳街;
497;1;1355;土家屯;
497;1;1356;长白公路;
497;1;1761;Ｓ１０６北侧;
497;1;1914;长春绕城高速公路外圈Ｓ１０６北侧入口匝道;
497;1;1763;Ｓ１０６南侧;
497;1;1915;长春绕城高速公路内圈Ｓ１０６南侧入口匝道;
497;1;1499;新民大街;
497;1;1439;自由大路;
497;1;1412;解放大路;
497;1;1518;桂林路;
497;1;1517;清华路;
