CID;LID;NID;NTRANSLATION
497;2;1263;he li cun
497;3;1263;Heli Village
497;2;1265;kai fa qu da lu
497;3;1265;Kaifaqu Rd
497;2;1267;X053
497;3;1267;X053
497;2;1269;gong zhu ling shou fei zhan
497;3;1269;Gongzhuling Tollgate
497;2;1271;song yuan shi
497;3;1271;Songyuan
497;2;1272;da guang gao su gong lu
497;3;1272;Daguang Hwy
497;2;1273;G203
497;3;1273;G203
497;2;1275;S201
497;3;1275;S201
497;2;1279;S301
497;3;1279;S301
497;2;1280;fu yu fu wu qu
497;3;1280;Fuyu Service Area
497;2;1289;hun wu gao su gong lu song yuan duan
497;3;1289;Hunwu Hwy Songyuan Sect
497;2;1290;la lin he fu wu qu
497;3;1290;Lalinhe Service Area
497;2;1291;si ping shi
497;3;1291;Siping
497;2;1293;jing ha gao su gong lu song yuan duan
497;3;1293;Jingha Hwy Songyuan Sect
497;2;1294;da wa fu wu qu
497;3;1294;Dawa Service Area Daguang Expwy
497;2;1295;jing ha gao su gong lu si ping duan
497;3;1295;Jingha Hwy Siping Sect
497;2;1311;guo er luo si da lu
497;3;1311;Guoerluosi Rd
497;2;1312;ban de shou fei zhan
497;3;1312;Bande Tollgate
497;2;1317;si ping fu wu qu
497;3;1317;Siping Service Area
497;2;1318;kao shan tun fu wu qu
497;3;1318;Kaoshantun Service Area
497;2;1319;gong zhu ling fu wu qu
497;3;1319;Gongzhuling Service Area
497;2;1320;tao jia tun fu wu qu
497;3;1320;Taojiatun Service Area
497;2;1324;chang chun shi
497;3;1324;Changchun
497;2;1327;mi sha zi fu wu qu
497;3;1327;Mishazi Service Area
497;2;1333;S206
497;3;1333;S206
497;2;1334;X001
497;3;1334;X001
497;2;1337;S106
497;3;1337;S106
497;2;1339;G302
497;3;1339;G302
497;2;1340;chun cheng fu wu qu
497;3;1340;Chuncheng Service Area
497;2;1344;jing yue da jie
497;3;1344;Jingyue Ave
497;2;1345;chang chun fu wu qu
497;3;1345;Changchun Service Area
497;2;1347;teng fei da lu
497;3;1347;Tengfei Rd
497;2;1348;hao yue da lu
497;3;1348;Haoyue Rd
497;2;1350;an da jie
497;3;1350;Anda St
497;2;1351;xi huan cheng lu
497;3;1351;W Huancheng Rd
497;2;1352;chun cheng da jie
497;3;1352;Chuncheng Ave
497;2;1353;zheng yang jie
497;3;1353;Zhengyang St
497;2;1354;pu yang jie
497;3;1354;Puyang St
497;2;1355;tu jia tun
497;3;1355;Tujiatun
497;2;1356;chang bai gong lu
497;3;1356;Changbai Hwy
497;2;1361;bei huan cheng lu
497;3;1361;N Huancheng Rd
497;2;1363;de hui fu wu qu
497;3;1363;Dehui Service Area
497;2;1364;de da lu
497;3;1364;Deda Rd
497;2;1365;cai yuan zi shou fei zhan
497;3;1365;Caiyuanzi Tollgate
497;2;1366;tao lai zhao shou fei zhan
497;3;1366;Taolaizhao Tollgate
497;2;1371;shi tou kou men fu wu qu
497;3;1371;Shitoukoumen Service Area
497;2;1386;dong huan cheng lu
497;3;1386;E Huancheng Rd
497;2;1387;shi jia cun
497;3;1387;Shijia Village
497;2;1388;shi ji da jie
497;3;1388;Shiji Ave
497;2;1389;yang pu da jie
497;3;1389;Yangpu Ave
497;2;1395;dong feng da jie
497;3;1395;Dongfeng Ave
497;2;1397;xi hu da lu
497;3;1397;Xihu Rd
497;2;1398;xing shun lu
497;3;1398;Xingshun Rd
497;2;1399;ben chi lu
497;3;1399;Benchi Rd
497;2;1400;yue ye lu
497;3;1400;Yueye Rd
497;2;1401;chang qing lu
497;3;1401;Changqing Rd
497;2;1402;xi an da lu
497;3;1402;Xi'an Rd
497;2;1403;hu xi lu
497;3;1403;Huxi Rd
497;2;1404;jing yang da lu
497;3;1404;Jingyang Rd
497;2;1407;qing yin lu
497;3;1407;Qingyin Rd
497;2;1409;xin yue lu
497;3;1409;Xinyue Rd
497;2;1410;kai yun jie
497;3;1410;Kaiyun St
497;2;1411;da xin lu
497;3;1411;Daxin Rd
497;2;1412;jie fang da lu
497;3;1412;Jiefang Rd
497;2;1413;wei shan lu
497;3;1413;Weishan Rd
497;2;1414;chang shen lu
497;3;1414;Changshen Rd
497;2;1415;kuan ping da lu
497;3;1415;Kuanping Rd
497;2;1416;liao ning lu
497;3;1416;Liaoning Rd
497;2;1417;ren min da jie
497;3;1417;Renmin Ave
497;2;1418;fu rong lu
497;3;1418;Furong Rd
497;2;1419;xi guang da jie
497;3;1419;Xiguang Ave
497;2;1421;chuang ye da jie
497;3;1421;Chuangye Ave
497;2;1422;zi li jie
497;3;1422;Zili St
497;2;1423;ji long bei jie
497;3;1423;Jilong North St
497;2;1425;kai xuan lu
497;3;1425;Kaixuan Rd
497;2;1427;qian jin da jie
497;3;1427;Qianjin Ave
497;2;1428;nan hu da lu
497;3;1428;Nanhu Rd
497;2;1429;wei xing lu
497;3;1429;Weixing Rd
497;2;1430;hu guang lu
497;3;1430;Huguang Rd
497;2;1431;hong qi jie
497;3;1431;Hongqi St
497;2;1432;ji long nan jie
497;3;1432;Jilong South St
497;2;1433;xin zhu lu
497;3;1433;Xinzhu Rd
497;2;1434;ji long zhong jie
497;3;1434;Jilong Middle St
497;2;1435;hua lian lu
497;3;1435;Hualian Rd
497;2;1436;sheng li da jie
497;3;1436;Shengli Ave
497;2;1438;nan huan cheng lu
497;3;1438;S Huancheng Rd
497;2;1439;zi you da lu
497;3;1439;Ziyou Rd
497;2;1440;min kang lu
497;3;1440;Minkang Rd
497;2;1441;chong qing lu
497;3;1441;Chongqing Rd
497;2;1442;xin fa lu
497;3;1442;Xinfa Rd
497;2;1443;bei jing da jie
497;3;1443;Beijing Ave
497;2;1444;ya tai da jie
497;3;1444;Yatai Ave
497;2;1445;hei shui lu
497;3;1445;Heishui Rd
497;2;1446;fan rong lu
497;3;1446;Fanrong Rd
497;2;1447;ti bei lu
497;3;1447;Tibei Rd
497;2;1448;dong ling jie
497;3;1448;Dongling St
497;2;1449;ji lin da lu
497;3;1449;Jilin Rd
497;2;1450;chang chun da jie
497;3;1450;Changchun Ave
497;2;1451;dong wu ma lu
497;3;1451;Dongwu Rd
497;2;1452;guang fu lu
497;3;1452;Guangfu Rd
497;2;1453;chang jiang lu
497;3;1453;Changjiang Rd
497;2;1455;chang xin jie
497;3;1455;Changxin St
497;2;1456;xiao nan jie
497;3;1456;Xiaonan St
497;2;1457;cai yu da jie
497;3;1457;Caiyu Ave
497;2;1458;xian tai da jie
497;3;1458;Xiantai Ave
497;2;1459;bei hai lu
497;3;1459;Beihai Rd
497;2;1461;si tong lu
497;3;1461;Sitong Rd
497;2;1462;dong sheng da jie
497;3;1462;Dongsheng Ave
497;2;1463;ling dong lu
497;3;1463;Lingdong Rd
497;2;1464;yuan da da jie
497;3;1464;Yuanda Ave
497;2;1465;he bei tun
497;3;1465;Hebeitun
497;2;1466;he dong lu
497;3;1466;Hedong Rd
497;2;1467;dong rong da lu
497;3;1467;Dongrong Rd
497;2;1469;xi xiao gu shu
497;3;1469;Xixiaogushu
497;2;1474;X009
