CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
497;7;98;L;2;1;G0102;1887;;;4;
497;7;576;L;1;2;G102;2056;1698;1469;4;
497;7;1932;L;1;2;G102;2618;1386;2652;4;
497;7;1885;L;1;4;;1653;2653;1417;4;
497;7;251;L;7;0;;;1339;1887;4;
497;7;257;L;7;0;;;1339;1905;4;
497;7;253;L;7;0;;;1339;1901;4;
497;7;417;L;1;2;G302;1339;2655;1883;4;
497;7;1480;L;1;2;G302;1802;2658;1387;4;
497;7;1273;L;1;4;;1664;1417;1450;4;
497;7;450;L;1;3;;2131;1402;1825;4;
497;7;255;L;7;0;;;1749;1887;4;
497;7;249;L;7;0;;;1747;1887;4;
497;7;6051;L;1;1;G45;1272;1876;1275;5;
497;7;723;L;1;3;S101;2063;2652;1851;4;
497;7;239;L;7;0;;;1739;1905;4;
497;7;283;L;7;0;;;1742;1901;4;
497;7;822;L;1;4;X003;1449;1444;1876;4;
497;7;587;L;1;3;S104;1834;1804;1478;4;
497;7;590;L;1;3;S104;1478;1834;1344;4;
497;7;401;L;1;3;S105;1348;2660;1350;4;
497;7;408;L;1;3;S106;1337;1355;1356;4;
497;7;265;L;7;0;;;1761;1901;4;
497;7;267;L;7;0;;;1763;1905;4;
497;7;760;L;1;4;;1499;1439;1412;4;
497;7;60;L;1;1;S26;2646;1333;1417;4;
497;7;463;L;1;4;;1350;1412;1402;4;
497;7;1078;L;1;4;;1623;1395;2619;4;
497;7;1159;L;1;4;;1601;1402;1603;4;
497;7;1672;L;1;4;;1970;1439;1412;4;
497;7;1224;L;1;4;;1538;1416;1501;4;
497;7;874;L;1;4;;1541;1417;1501;4;
497;7;826;L;1;4;;1459;1489;1429;4;
497;7;485;L;1;3;;1361;2662;1464;4;
497;7;845;L;1;4;;1443;1535;1536;4;
497;7;1429;L;1;4;;1826;1361;1825;4;
497;7;994;L;1;4;;1554;1587;1507;4;
497;7;1719;L;1;4;;1981;1980;1982;4;
497;7;1557;L;1;3;;1825;1356;2056;4;
497;7;1091;L;1;4;;1399;1414;1943;4;
497;7;1994;L;1;4;;2686;1398;1617;4;
497;7;1583;L;1;4;;1944;1945;1344;4;
497;7;1384;L;1;4;;1679;1478;1344;4;
497;7;669;L;1;4;;1497;1478;1344;4;
497;7;1776;L;1;4;;2003;1438;2004;4;
497;7;557;L;1;4;;1457;1948;1429;4;
497;7;1787;L;1;4;;2004;1438;1429;4;
497;7;1891;L;1;4;;2032;2033;1402;4;
497;7;412;L;1;3;;1356;1337;1351;4;
497;7;1169;L;1;4;;1552;1436;1444;4;
497;7;706;L;1;4;;1450;1440;1672;4;
497;7;243;L;7;0;;;1887;1339;4;
497;7;247;L;7;0;;;1887;1749;4;
497;7;245;L;7;0;;;1887;1747;4;
497;7;271;L;7;0;;;1887;1618;4;
497;7;229;L;7;0;;;1887;1344;4;
497;7;231;L;7;0;;;1887;1718;4;
497;7;234;L;7;0;;;1887;1735;4;
497;7;259;L;7;0;;;1905;1339;4;
497;7;233;L;7;0;;;1905;2063;4;
497;7;263;L;7;0;;;1905;1337;4;
497;7;269;L;7;0;;;1905;1618;4;
497;7;236;L;7;0;;;1905;1344;4;
497;7;241;L;7;0;;;1901;1339;4;
497;7;281;L;7;0;;;1901;2063;4;
497;7;261;L;7;0;;;1901;1337;4;
497;7;273;L;7;0;;;1901;1618;4;
497;7;227;L;7;0;;;1901;1344;4;
497;7;944;L;1;4;;1453;1436;1953;4;
497;7;1065;L;1;4;;1414;2056;1410;4;
497;7;1316;L;1;4;;1543;1444;1672;4;
497;7;1695;L;1;4;;2683;1455;1464;4;
497;7;929;L;1;4;;1455;1425;2683;4;
497;7;1791;L;1;3;;1937;1414;1417;4;
497;7;1765;L;1;4;;1994;1995;1937;4;
497;7;1978;L;1;4;;2641;2640;1483;4;
497;7;1809;L;1;4;;2008;2131;2010;4;
497;7;1054;L;1;4;;1421;1623;1353;4;
497;7;501;L;1;4;;1352;2665;1402;4;
497;7;1074;L;1;4;;1411;1937;1410;4;
497;7;840;L;1;4;;1501;1444;1535;4;
497;7;1309;L;1;4;;1506;1412;1535;4;
497;7;275;L;7;0;;;1618;1887;4;
497;7;277;L;7;0;;;1618;1905;4;
497;7;279;L;7;0;;;1618;1901;4;
497;7;1029;L;1;4;;1618;1584;2666;4;
497;7;1111;L;1;4;;1486;1483;1410;4;
497;7;1016;L;1;4;;1612;1611;1552;4;
497;7;1238;L;1;4;;1651;1650;1417;4;
497;7;1326;L;1;4;;1672;1461;1675;4;
497;7;1688;L;1;4;;1972;1506;1444;4;
497;7;1286;L;1;4;;1605;1535;1552;4;
497;7;953;L;1;4;;1395;1618;1353;4;
497;7;601;L;1;3;;1386;1388;1464;4;
497;7;1333;L;1;4;;1615;1676;1980;4;
497;7;1329;L;1;4;;1675;1481;1676;4;
497;7;835;L;1;4;;1448;2668;1444;4;
497;7;832;L;1;4;;1533;1429;1428;4;
497;7;1209;L;1;4;;1650;1503;1412;4;
497;7;1013;L;1;4;;1953;1958;1611;4;
497;7;921;L;1;3;;1467;1982;2618;4;
497;7;1302;L;1;4;;1668;1506;1669;4;
497;7;1626;L;1;4;;1960;1506;1543;4;
497;7;1603;L;1;4;;1955;1535;1552;4;
497;7;565;L;1;3;;1462;1439;1481;4;
497;7;1643;L;1;4;;1964;1506;1444;4;
497;7;1234;L;1;4;;1656;1506;1543;4;
497;7;1344;L;1;4;;1671;1669;1952;4;
497;7;1691;L;1;4;;2667;1444;1669;4;
497;7;1039;L;1;4;;1451;1506;1543;4;
497;7;1355;L;1;4;;1526;1814;1386;4;
497;7;1900;L;1;4;;2034;1650;1417;4;
497;7;1100;L;1;4;;1446;1485;1489;4;
497;7;1088;L;1;4;;1871;1937;1413;4;
