CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
497;7;99;L;3;0;G0102;2644;1893;1900;98;;4
497;7;100;L;3;0;G0102;2645;1900;2131;98;;4
497;7;201;L;3;0;G0102;2642;2131;2063;98;;4
497;7;206;L;3;0;G0102;2643;2063;1893;98;;4
497;7;577;L;3;0;G102;2056;1698;1414;576;;4
497;7;580;L;3;0;G102;2056;2652;1469;576;;4
497;7;897;L;3;0;;1453;1436;1444;944;;4
497;7;945;L;3;0;;1453;1954;1953;944;;4
497;7;1627;L;3;0;;1960;1506;1444;1626;;4
497;7;1630;L;3;0;;1960;1961;1543;1626;;4
497;7;1750;L;3;0;;1526;1814;1462;1355;;4
497;7;1749;L;3;0;;1526;1502;1386;1355;;4
497;7;1840;L;3;0;;1485;1413;1410;1083;;4
497;7;1841;L;3;0;;1485;1414;1942;1083;;4
497;7;1003;L;3;0;;1611;1417;2043;1002;;4
497;7;1009;L;3;0;;1611;1444;1612;1002;;4
497;7;92;L;3;0;;1880;1941;2633;83;;4
497;7;93;L;3;0;;1880;1449;2636;83;;4
497;7;94;L;3;0;;2616;1698;1887;51;;4
497;7;57;L;3;0;;2616;1892;1366;51;;4
497;7;1446;L;3;0;;1705;1805;2629;1445;;4
497;7;1959;L;3;0;;1705;1438;1429;1445;;4
497;7;1451;L;3;0;;1705;1842;1843;1445;;4
497;7;1464;L;3;0;;1705;1402;1443;1445;;4
497;7;1337;L;3;0;;1461;1543;1525;1552;;4
497;7;1540;L;3;0;;1461;1462;1824;1552;;4
497;7;1724;L;3;0;;1606;1587;1425;1723;;4
497;7;1730;L;3;0;;1606;1941;1981;1723;;4
497;7;1798;L;3;0;;2007;1402;1407;1797;;4
497;7;1802;L;3;0;;2007;2685;1606;1797;;4
497;7;1939;L;3;0;;2041;2622;2623;1938;;4
497;7;1920;L;3;0;;2041;2042;1361;1938;;4
497;7;1990;L;3;0;;2041;2694;1825;1938;;4
497;7;1614;L;3;0;;1957;1417;1444;1613;;4
497;7;1619;L;3;0;;1957;1954;1958;1613;;4
