CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
497;7;99;206;100
497;7;100;99;201
497;7;201;100;206
497;7;206;201;99
497;7;577;;580
497;7;580;577;
497;7;897;;945
497;7;945;897;
497;7;1627;;1630
497;7;1630;1627;
497;7;1750;;1749
497;7;1749;1750;
497;7;1840;;1841
497;7;1841;1840;
497;7;1003;;1009
497;7;1009;1003;
497;7;92;;93
497;7;93;92;
497;7;94;;57
497;7;57;94;
497;7;1446;;1959
497;7;1959;1446;1451
497;7;1451;1959;1464
497;7;1464;1451;
497;7;1337;;1540
497;7;1540;1337;
497;7;1724;;1730
497;7;1730;1724;
497;7;1798;;1802
497;7;1802;1798;
497;7;1939;;1920
497;7;1920;1939;1990
497;7;1990;1920;
497;7;1614;;1619
497;7;1619;1614;
